Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
1024,125.65,125.65,-30.3549,-88.9176,33.9476
512,179.795,179.795,-48.1003,-14.9619,27.6244
256,21.1306,21.1306,-58.6701,-66.8976,15.6173
768,125.855,125.855,-40.3661,-72.9523,31.0977
640,52.0844,52.0844,-45.4751,-85.287,9.28529
384,122.138,122.138,-51.2726,-51.403,37.0391
896,255.561,255.561,-34.3398,-30.7611,1.58806
1088,96.5421,96.5421,-25.196,-75.7392,21.5791
576,120.727,120.727,-45.8745,-21.2652,2.22876
832,107.349,107.349,-37.904,-48.5965,16.8272
192,154.402,154.402,-58.4812,-63.2589,5.67613
704,138.42,138.42,-41.7022,-27.5022,37.8929
448,174.878,174.878,-48.2612,-16.4208,34.9376
960,131.301,131.301,-32.6323,-77.6745,25.5602
1056,218.729,218.729,-24.1797,-11.8159,6.86269
288,137.321,137.321,-54.6047,-79.4909,32.0359
800,116.014,116.014,-40.0291,-29.339,16.9072
672,136.34,136.34,-42.673,-34.6456,8.73965
416,175.65,175.65,-50.533,-41.6249,10.2885
928,87.6451,87.6451,-35.3977,-1.83074,18.1062
96,213.643,213.643,-64.0069,-23.2313,23.6792
608,120.388,120.388,-46.2875,-35.0594,17.3836
352,158.99,158.99,-53.461,-36.702,17.4543
224,169.051,169.051,-57.2329,-72.5163,12.6167
736,152.538,152.538,-40.8288,-50.0689,29.8795
992,234.492,234.492,-31.3182,-10.0795,21.7828
1040,227.708,227.708,-27.8497,-19.9304,17.0947
528,257.579,257.579,-45.5323,-75.5062,22.2401
272,224.141,224.141,-54.7282,-31.0288,13.3956
784,107.64,107.64,-40.0554,-24.2086,17.3979
144,122.729,122.729,-62.1448,-81.6397,28.0039
400,140.596,140.596,-50.4337,-88.8433,40.3757
912,120.624,120.624,-35.3428,-20.3045,23.0053
1104,85.2719,85.2719,-23.9507,-68.5815,15.5753
336,168.089,168.089,-54.082,-50.9411,18.5601
848,177.187,177.187,-36.8561,-36.6839,6.88671
208,81.592,81.592,-59.3962,-57.9786,16.2844
720,163.201,163.201,-40.8639,-70.4293,26.5219
464,126.576,126.576,-49.3615,5.51287,29.0948
976,117.181,117.181,-32.5652,-9.9867,7.55355
560,103.88,103.88,-46.6211,-21.7201,25.6651
304,102.252,102.252,-56.2655,-44.238,27.7484
816,151.64,151.64,-39.4576,-63.6525,17.5981
176,117.743,117.743,-60.05,-43.1749,26.683
688,118.14,118.14,-41.6545,-9.4028,29.7758
944,187.013,187.013,-33.9877,-34.1996,23.2859
112,120.731,120.731,-64.4994,-65.1121,5.42241
1136,112.362,112.362,-20.2666,-70.8107,17.1135
624,148.669,148.669,-44.3587,-30.9674,15.6908
368,139.963,139.963,-53.1694,-24.6299,18.4189
240,279.814,279.814,-55.0277,-13.7742,4.94794
752,210.036,210.036,-41.0382,-44.9283,22.3838
1008,227.517,227.517,-27.1803,-88.3406,28.9988
1032,234.855,234.855,-28.7758,-35.1167,19.6617
520,89.582,89.582,-49.0612,-16.9143,18.2828
264,95.6947,95.6947,-56.7259,-72.0741,29.6565
136,102.401,102.401,-62.6809,-62.9796,22.5175
904,100.277,100.277,-35.8184,-4.75905,25.5755
584,105.383,105.383,-45.8094,-36.1761,25.4036
328,176.63,176.63,-52.762,-34.267,12.0673
200,138.098,138.098,-59.2232,-47.0143,20.7394
712,130.85,130.85,-41.6795,-33.5959,19.9138
808,22.0267,22.0267,-39.8142,-77.6693,43.0664
680,139.164,139.164,-43.3791,-66.6113,15.226
424,77.8341,77.8341,-51.8838,-3.78518,18.0639
936,131.108,131.108,-34.4746,-39.1605,29.1741
104,244.056,244.056,-63.6903,-30.411,13.727
616,121.468,121.468,-45.4939,-20.9184,17.4031
360,154.351,154.351,-52.2476,-57.1342,29.2705
872,100.17,100.17,-37.2446,-41.7817,33.7384
232,128.7,128.7,-57.7649,-44.8705,32.4023
744,128.644,128.644,-41.592,-66.9308,22.6202
488,158.417,158.417,-48.5752,-46.3675,19.6462
1000,146.832,146.832,-30.3876,-76.7053,18.7078
1048,119.987,119.987,-28.382,-7.85934,23.6379
536,153.793,153.793,-47.5702,-40.4098,19.0215
280,169.905,169.905,-54.7082,-76.1339,31.2256
152,143.763,143.763,-60.8504,-26.9663,4.83923
408,163.258,163.258,-49.9251,-81.2606,8.67019
88,106.533,106.533,-66.5243,-70.3578,25.3223
600,156.467,156.467,-44.6178,-65.8897,33.9505
344,201.689,201.689,-50.0741,-26.6573,37.7304
856,134.695,134.695,-36.6425,-57.6623,13.1168
216,212.493,212.493,-57.3946,-23.273,17.1428
728,23.8587,23.8587,-42.3171,-91.1419,42.928
472,170.951,170.951,-49.4969,-63.5226,16.2019
568,148.063,148.063,-46.1352,-65.5879,7.01077
824,163.937,163.937,-37.0357,-18.9902,5.0222
184,128.54,128.54,-60.3739,-54.0598,25.859
696,180.334,180.334,-41.7261,-39.3621,15.531
952,101.858,101.858,-33.8952,-56.4531,19.8604
120,208.795,208.795,-62.7504,-74.9857,20.8588
632,145.696,145.696,-44.2161,-41.3953,6.92832
376,181.335,181.335,-51.7513,-40.8766,37.4597
888,93.6131,93.6131,-36.2042,-20.4361,29.3449
248,197.215,197.215,-56.4213,-73.0669,23.2835
760,198.826,198.826,-39.2764,-67.9311,4.27123
504,159.94,159.94,-47.6898,-82.1169,17.0612
1028,111.417,111.417,-30.313,-68.2647,21.9214
516,110.273,110.273,-47.7682,-0.751107,13.7243
772,105.942,105.942,-41.0645,-56.9972,22.0653
644,176.357,176.357,-43.7306,-43.5412,15.6432
388,164.706,164.706,-51.8574,-27.1855,6.29036
900,107.511,107.511,-35.4989,-60.2702,11.6242
1092,152.091,152.091,-23.9541,-85.5259,24.7404
580,137.689,137.689,-45.5396,-29.3631,19.6128
324,188.092,188.092,-54.2134,-56.6456,16.7972
836,133.017,133.017,-38.3687,-28.0902,25.3058
196,135.363,135.363,-59.941,-75.918,16.4462
708,72.0787,72.0787,-42.827,-20.2102,15.9908
452,158.467,158.467,-50.3225,-71.8258,22.33
964,217.65,217.65,-32.5126,-30.9744,25.624
548,132.597,132.597,-47.1577,-25.6928,18.0514
292,158.626,158.626,-54.656,-49.0202,25.4118
164,189.121,189.121,-60.3227,-68.1972,19.7725
676,68.7033,68.7033,-43.5061,-72.418,5.19437
420,104.805,104.805,-50.9588,-88.437,31.3261
932,129.474,129.474,-33.5448,-64.0607,6.94074
100,126.299,126.299,-65.0876,-65.506,15.7801
1124,130.083,130.083,-21.7699,-80.6676,25.0786
612,160.011,160.011,-43.7314,10.8457,28.8769
356,169.234,169.234,-51.6177,-31.9584,31.9671
868,166.743,166.743,-36.2183,-65.8986,11.835
228,135.674,135.674,-57.2713,-38.7861,33.1222
740,129.408,129.408,-40.6993,-53.6497,29.1757
484,100.359,100.359,-48.5375,-9.42821,28.6464
532,142.279,142.279,-48.5125,-13.5941,21.4648
276,126.297,126.297,-56.7989,-56.6773,24.6128
788,425.165,425.165,-36.3297,-8.77544,-2.37306
148,172.943,172.943,-60.2546,-24.0499,30.797
404,84.1528,84.1528,-51.8884,-10.3127,17.9712
916,194.089,194.089,-34.6601,-11.0767,13.0258
1108,294.461,294.461,-21.0479,-19.7494,15.1242
596,74.9374,74.9374,-47.229,-36.3613,22.4515
340,78.2157,78.2157,-53.5738,-80.4965,42.2504
852,106.428,106.428,-37.7658,-8.68894,24.1993
212,177.395,177.395,-58.6074,-42.347,20.4823
468,161.38,161.38,-49.7254,-79.5067,26.3929
980,14.2724,14.2724,-34.435,-65.9881,23.214
564,111.216,111.216,-46.5745,-46.8311,38.6747
180,116.117,116.117,-60.6723,-88.2444,41.2378
692,179.393,179.393,-42.2384,-81.5737,10.2705
436,169.748,169.748,-50.2287,-76.0942,17.8649
948,336.616,336.616,-30.8044,-31.492,12.2361
116,106.231,106.231,-64.7939,-73.4703,27.6868
628,205.085,205.085,-43.2486,-75.713,25.9607
372,176.146,176.146,-52.1235,-51.1771,31.2574
500,129.356,129.356,-48.5506,-37.5138,13.4518
524,138.983,138.983,-46.9944,-77.5294,31.3619
268,213.09,213.09,-55.8209,-22.4167,9.77804
652,129.688,129.688,-44.6945,-38.7523,11.2181
396,177.226,177.226,-50.9706,-73.6706,26.7961
908,130.15,130.15,-35.1978,-50.2255,22.4024
588,114.796,114.796,-46.3661,-26.1233,27.4885
332,150.967,150.967,-53.9041,-80.1139,26.6316
844,189.897,189.897,-35.534,-34.4695,35.0786
204,187.134,187.134,-58.7533,-37.5553,19.0044
716,150.144,150.144,-42.1577,-82.0788,41.157
460,150.897,150.897,-48.568,-80.4011,32.0061
972,258.868,258.868,-31.0713,-30.0859,7.2798
556,90.5344,90.5344,-47.3311,-7.89556,17.2712
812,119.453,119.453,-39.4214,-83.2461,37.79
684,120.416,120.416,-41.0163,-13.3798,31.9053
428,135.185,135.185,-50.1318,-45.4938,11.7795
940,108.804,108.804,-34.6966,-84.1994,35.5829
108,190.506,190.506,-64.6566,-15.4124,9.9413
1132,151.942,151.942,-20.98,-84.6527,35.2931
364,182.379,182.379,-51.3372,-11.7339,32.3499
876,60.4701,60.4701,-37.4936,-82.0584,11.7767
236,299.794,299.794,-55.9919,-80.5959,21.9565
1004,105.145,105.145,-29.7617,-14.8826,21.0041
540,170.591,170.591,-47.0304,-45.2829,32.873
796,118.095,118.095,-39.6243,-10.5539,19.2092
156,223.455,223.455,-60.292,-23.1143,2.62259
1180,129.774,129.774,-15.9844,-73.4524,19.4382
668,51.4905,51.4905,-43.8415,-85.6585,43.0234
924,167.937,167.937,-34.9909,-46.1051,22.5897
604,111.816,111.816,-45.2332,-62.0518,35.1353
860,92.9062,92.9062,-38.03,-21.5949,21.4154
220,177.957,177.957,-58.4734,-12.0681,22.9371
732,232.188,232.188,-39.7701,-8.49222,5.31248
476,146.733,146.733,-49.1853,-33.34,16.8539
988,96.6676,96.6676,-32.1999,-61.5089,16.9955
1084,169.69,169.69,-24.7977,-17.0993,24.5144
572,31.8987,31.8987,-47.7234,-72.8897,14.7253
316,248.6,248.6,-51.7217,-68.2554,3.67674
828,156.834,156.834,-37.6918,6.58783,20.0957
188,74.0505,74.0505,-60.724,-64.2896,26.6862
700,208.244,208.244,-41.5979,-31.48,-1.49561
444,80.4569,80.4569,-51.3708,-54.6172,22.3784
956,161.075,161.075,-31.6895,-14.0303,13.4533
636,154.632,154.632,-43.0571,-32.8901,34.0198
380,285.599,285.599,-49.8827,-89.1555,17.2696
892,143.838,143.838,-34.7943,-74.8627,26.3822
252,109.2,109.2,-56.8973,-87.631,42.3213
764,140.574,140.574,-40.9868,-26.0972,21.9684
508,116.802,116.802,-48.1534,3.47693,15.7927
1020,98.2542,98.2542,-30.3685,-65.215,10.179
1026,134.278,134.278,-29.437,-73.5394,22.694
514,214.355,214.355,-48.842,-45.8347,27.6567
