Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
1024,102.327,102.327,-30.3726,-88.9421,33.9592
512,158.022,158.022,-48.1044,-15.0064,27.5246
256,4.08915,4.08915,-58.7104,-66.8147,15.5875
768,102.794,102.794,-40.3299,-72.9586,31.145
640,26.704,26.704,-45.4365,-85.2885,9.30801
384,93.7702,93.7702,-51.2029,-51.4374,37.0972
896,302.809,302.809,-34.3082,-30.8296,1.55573
1088,67.1867,67.1867,-25.1725,-75.7461,21.547
576,98.8596,98.8596,-45.8413,-21.2364,2.20851
832,81.8112,81.8112,-37.8936,-48.5914,16.8325
192,145.842,145.842,-58.4373,-63.2589,5.60534
704,127.088,127.088,-41.7097,-27.4747,37.9117
448,176.601,176.601,-48.3637,-16.4183,35.0302
960,101.264,101.264,-32.6309,-77.6998,25.5871
1056,197.244,197.244,-24.0575,-11.8132,6.80832
288,120.407,120.407,-54.6768,-79.5557,32.012
800,87.376,87.376,-40.0462,-29.3742,16.9959
672,111.139,111.139,-42.6875,-34.6388,8.73819
416,173.746,173.746,-50.5864,-41.637,10.3423
928,55.4672,55.4672,-35.318,-1.80735,18.1345
96,225.936,225.936,-63.9819,-23.2577,23.7189
608,99.2101,99.2101,-46.2791,-35.107,17.3596
352,144.07,144.07,-53.4737,-36.607,17.4614
224,149.797,149.797,-57.1475,-72.606,12.6465
736,137.873,137.873,-40.8131,-50.0862,29.8671
992,241.309,241.309,-31.3294,-10.0582,21.667
1040,253.053,253.053,-27.8182,-20.0195,17.0836
528,256.126,256.126,-45.6155,-75.6987,22.1518
272,241.092,241.092,-54.7256,-31.0288,13.4994
784,82.6125,82.6125,-40.0176,-24.2179,17.3937
144,97.7038,97.7038,-62.1609,-81.6621,27.9992
400,111.524,111.524,-50.508,-88.9701,40.3771
912,98.7386,98.7386,-35.3118,-20.2412,23.019
1104,56.2728,56.2728,-23.9914,-68.5527,15.5734
336,167.836,167.836,-54.0415,-50.8922,18.5947
848,173.464,173.464,-36.8388,-36.7465,6.9071
208,56.0802,56.0802,-59.3945,-58.0367,16.2748
720,152.01,152.01,-40.8467,-70.4517,26.5308
464,101.904,101.904,-49.4233,5.4926,29.099
976,93.6205,93.6205,-32.5207,-9.96335,7.5309
560,82.7948,82.7948,-46.6175,-21.7319,25.6543
304,67.758,67.758,-56.2377,-44.1487,27.85
816,135.218,135.218,-39.4736,-63.7561,17.6384
176,98.4596,98.4596,-60.1054,-43.22,26.7348
688,83.7082,83.7082,-41.7021,-9.42269,29.8542
944,177.068,177.068,-33.9932,-34.2971,23.4064
112,103.101,103.101,-64.5552,-65.0886,5.44281
1136,82.4604,82.4604,-20.3644,-70.8565,17.2899
624,126.673,126.673,-44.3481,-31.0015,15.7068
368,110.479,110.479,-53.1367,-24.7399,18.3397
240,318.116,318.116,-55.0236,-13.731,4.87526
752,206.187,206.187,-41.0043,-44.9408,22.2894
1008,220.516,220.516,-27.1758,-88.3846,28.9432
1032,257.09,257.09,-28.7884,-35.1287,19.4456
520,50.4857,50.4857,-48.9845,-16.932,18.2179
264,72.6383,72.6383,-56.7668,-72.1002,29.682
136,77.4574,77.4574,-62.7033,-62.9958,22.5849
904,65.5044,65.5044,-35.8642,-4.83087,25.7718
584,78.7692,78.7692,-45.8108,-36.2595,25.4559
328,147.216,147.216,-52.7877,-34.419,12.2749
200,127.074,127.074,-59.2511,-47.0105,20.7626
712,112.367,112.367,-41.6979,-33.5825,19.8852
808,6.58712,6.58712,-39.847,-77.6557,43.0456
680,117.924,117.924,-43.3241,-66.5469,15.2222
424,47.1213,47.1213,-51.9041,-3.75517,18.0247
936,112.434,112.434,-34.4868,-39.1602,29.2096
104,277.692,277.692,-63.7728,-30.3378,13.8545
616,99.6727,99.6727,-45.5025,-20.9152,17.3716
360,144.946,144.946,-52.2793,-57.1892,29.2414
872,78.143,78.143,-37.2198,-41.7994,33.7437
232,112.037,112.037,-57.822,-44.8605,32.4098
744,110.002,110.002,-41.6086,-66.9126,22.6282
488,153.562,153.562,-48.5784,-46.4002,19.6684
1000,127.868,127.868,-30.2692,-76.5706,18.6589
1048,76.8674,76.8674,-28.3774,-7.84474,23.8568
536,144.309,144.309,-47.5546,-40.4324,19.0547
280,154.739,154.739,-54.7843,-76.1124,31.2539
152,117.254,117.254,-61.0233,-27.0154,4.83159
408,143.447,143.447,-49.937,-81.2629,8.60686
88,81.2832,81.2832,-66.6139,-70.3549,25.4211
600,155.81,155.81,-44.597,-65.9216,33.9803
344,196.284,196.284,-50.0388,-26.6628,37.84
856,116.297,116.297,-36.6284,-57.6323,13.0995
216,234.76,234.76,-57.4352,-23.3179,17.1164
728,6.61883,6.61883,-42.3993,-91.1328,42.92
472,143.241,143.241,-49.538,-63.4492,16.201
568,129.387,129.387,-46.12,-65.5653,7.10966
824,153.717,153.717,-37.0047,-19.0096,5.03551
184,114.801,114.801,-60.4312,-54.075,25.9151
696,177.316,177.316,-41.7079,-39.3579,15.5719
952,70.9809,70.9809,-33.8169,-56.4295,19.8927
120,230.403,230.403,-62.7863,-74.9925,20.9741
632,130.82,130.82,-44.2363,-41.4057,6.84828
376,196.838,196.838,-51.7963,-40.8511,37.5293
888,59.1734,59.1734,-36.295,-20.4148,29.2054
248,202.332,202.332,-56.4063,-73.0419,23.2688
760,201.046,201.046,-39.2293,-67.9365,4.3408
504,135.206,135.206,-47.6142,-82.0977,17.0273
1028,84.3752,84.3752,-30.3067,-68.2635,21.9566
516,88.6781,88.6781,-47.7626,-0.738844,13.6957
772,75.2009,75.2009,-41.0899,-57.0698,22.2194
644,174.784,174.784,-43.7439,-43.5578,15.6361
388,166.557,166.557,-51.8733,-27.2357,6.30011
900,79.1598,79.1598,-35.521,-60.2916,11.5995
1092,139.998,139.998,-23.974,-85.5279,24.7507
580,119.859,119.859,-45.526,-29.4106,19.6703
324,194.566,194.566,-54.234,-56.6612,16.8439
836,102.583,102.583,-38.3709,-28.1647,25.2413
196,106.422,106.422,-60.0268,-75.8592,16.4523
708,41.5244,41.5244,-42.7851,-20.2007,15.9889
452,131.367,131.367,-50.3659,-72.1215,22.2494
964,212.866,212.866,-32.5091,-30.9715,25.5592
548,110.999,110.999,-47.1218,-25.6533,18.0244
292,142.431,142.431,-54.6465,-49.0032,25.4105
164,176.948,176.948,-60.3374,-68.2552,19.867
676,38.8792,38.8792,-43.5579,-72.3861,5.1976
420,74.7974,74.7974,-51.0503,-88.4635,31.3829
932,102.994,102.994,-33.5303,-64.0559,6.91964
100,109.176,109.176,-65.1564,-65.5516,15.7675
1124,108.327,108.327,-21.7641,-80.7279,25.2384
612,148.088,148.088,-43.7482,10.8874,28.8633
356,153.675,153.675,-51.6423,-31.9528,32.0264
868,149.181,149.181,-36.2605,-65.8619,11.8577
228,106.106,106.106,-57.2709,-38.8043,33.1814
740,110.763,110.763,-40.7355,-53.6577,29.186
484,70.2948,70.2948,-48.6257,-9.35686,28.5932
532,110.711,110.711,-48.4954,-13.6274,21.4529
276,103.936,103.936,-56.7993,-56.7376,24.6743
788,571.098,571.098,-36.3496,-8.64621,-2.47957
148,160.829,160.829,-60.3734,-24.0675,30.7251
404,49.6236,49.6236,-51.9084,-10.2282,18.0342
916,179.887,179.887,-34.6354,-11.0518,13.1047
1108,370.937,370.937,-21.0003,-19.5885,15.1058
596,40.6231,40.6231,-47.2389,-36.4121,22.4291
340,47.2359,47.2359,-53.5379,-80.3263,42.2166
852,65.1687,65.1687,-37.8169,-8.70965,24.3207
212,186.951,186.951,-58.6217,-42.3509,20.4986
468,158.586,158.586,-49.7308,-79.5467,26.3759
980,2.84926,2.84926,-34.4367,-66.0332,23.1265
564,93.1073,93.1073,-46.6146,-46.8673,38.7484
180,95.7654,95.7654,-60.6873,-88.3331,41.2405
692,178.014,178.014,-42.2139,-81.5641,10.2214
436,165.201,165.201,-50.1729,-76.084,17.8965
948,455.534,455.534,-30.6192,-31.5085,12.3681
116,82.2218,82.2218,-64.7865,-73.4861,27.7141
628,216.811,216.811,-43.2382,-75.6622,25.9693
372,175.923,175.923,-52.1086,-51.2194,31.2366
500,113.933,113.933,-48.5676,-37.5237,13.4755
524,102.842,102.842,-46.9582,-77.5211,31.316
268,232.784,232.784,-55.7803,-22.4347,9.75716
652,104.897,104.897,-44.6506,-38.7745,11.1612
396,181.637,181.637,-50.9623,-73.6575,26.8449
908,109.182,109.182,-35.1701,-50.2288,22.399
588,79.8686,79.8686,-46.3064,-26.1444,27.3171
332,131.04,131.04,-54.0374,-80.0913,26.6458
844,193.228,193.228,-35.4842,-34.538,35.1011
204,178.973,178.973,-58.7807,-37.5925,19.0961
716,143.427,143.427,-42.1728,-82.0103,41.1902
460,130.951,130.951,-48.6291,-80.4668,32.0389
972,303.686,303.686,-31.0151,-30.1256,7.24539
556,58.2887,58.2887,-47.3192,-7.84215,17.3307
812,98.4676,98.4676,-39.3999,-83.2363,37.8064
684,90.827,90.827,-40.8804,-13.2977,31.906
428,115.292,115.292,-50.1143,-45.4861,11.7798
940,79.3597,79.3597,-34.7452,-84.203,35.6417
108,196.409,196.409,-64.645,-15.3461,9.8703
1132,129.183,129.183,-21.014,-84.686,35.2131
364,189.173,189.173,-51.3693,-11.6505,32.3837
876,31.1204,31.1204,-37.4743,-82.1661,11.6282
236,394.976,394.976,-56.0375,-80.6555,21.9119
1004,66.1481,66.1481,-29.6551,-14.7707,20.9909
540,160.2,160.2,-47.0626,-45.324,32.9049
