Label, Parent Label
512,4
256,7
768,7
384,7
896,1
576,6
832,7
192,7
704,1
448,3
960,7
1056,1
288,7
800,6
672,6
416,7
928,5
96,1
608,6
352,6
224,7
736,7
992,4
1040,2
528,7
272,6
784,6
912,3
1104,7
336,7
848,1
208,7
720,7
464,5
976,3
560,3
304,7
816,7
176,7
688,5
944,10
624,6
368,3
240,2
752,7
1032,1
520,5
264,7
136,7
904,5
584,6
328,6
200,7
712,6
680,7
424,5
936,1
104,1
616,6
360,7
872,7
232,7
744,7
488,7
1000,7
1048,4
536,6
280,7
152,1
88,7
600,7
344,1
856,7
216,2
472,7
568,7
824,6
184,7
696,6
952,7
120,7
632,7
376,7
888,3
248,7
760,7
1028,7
516,5
772,7
644,7
388,6
900,7
580,6
324,7
836,2
708,6
452,7
964,10
548,6
292,7
164,7
932,7
100,7
612,5
356,10
868,7
228,7
740,7
484,5
532,5
276,7
788,1
148,1
404,5
916,4
1108,1
596,6
852,5
212,7
468,7
980,7
564,7
436,7
948,1
116,7
628,7
372,7
500,6
524,7
268,2
652,6
396,7
908,7
588,2
332,7
844,1
204,7
460,7
972,1
556,5
684,4
428,7
108,1
364,4
236,7
1004,3
540,7
796,5
156,1
924,7
604,7
860,3
220,4
732,3
476,6
988,7
1084,2
828,5
188,7
700,1
444,7
956,3
636,10
892,7
764,6
508,5
1020,7
1026,7
514,7
770,5
642,5
386,3
898,7
834,4
194,1
706,1
450,7
1058,7
290,3
802,7
162,7
674,7
418,7
930,7
610,7
226,7
738,7
482,3
530,5
658,7
402,7
594,10
210,7
722,7
466,7
978,7
562,3
306,7
818,7
178,7
690,6
434,6
946,3
114,7
626,7
370,3
882,3
754,7
1010,3
1034,7
522,1
266,2
650,4
394,7
906,3
714,7
458,6
970,3
298,3
810,1
682,5
426,4
938,7
618,7
874,5
746,6
1002,2
538,5
794,7
154,7
666,4
410,5
602,10
346,7
218,6
730,7
1082,1
570,7
314,4
826,4
698,4
442,3
634,5
378,7
250,7
762,3
1030,1
518,2
262,4
774,3
134,1
646,7
390,7
582,7
326,3
838,7
198,2
454,1
550,7
806,7
678,5
422,5
102,1
742,6
486,3
998,7
1046,2
278,7
790,10
150,7
662,3
406,7
918,7
598,7
854,1
726,5
982,1
1078,2
566,5
822,7
182,10
694,5
438,10
950,1
118,1
374,7
886,4
246,7
758,7
1014,2
526,6
782,1
142,7
398,1
910,7
1102,1
590,7
334,1
846,7
718,2
462,7
974,4
1070,1
558,7
814,6
686,7
942,3
110,1
622,7
366,2
878,6
750,4
494,7
1054,1
542,7
798,1
158,7
670,5
414,4
94,1
862,7
222,1
734,2
478,7
990,1
574,7
318,3
830,2
638,7
382,10
894,4
254,10
766,7
510,5
513,2
641,5
897,1
833,5
705,6
449,7
545,3
801,10
673,7
417,7
929,7
97,1
609,7
865,7
737,3
993,7
273,7
785,7
145,7
401,7
593,3
337,3
849,1
465,3
977,6
1073,1
561,6
305,7
817,5
177,7
689,1
433,5
945,7
625,7
369,7
881,5
753,7
1009,3
1033,1
521,6
265,3
393,1
905,4
585,7
841,7
713,7
969,4
1065,1
425,5
937,7
105,7
1129,1
617,6
361,7
873,7
233,7
1049,7
537,7
89,7
601,4
345,2
217,7
729,7
473,7
569,7
825,7
185,7
953,7
1145,1
633,7
377,7
889,7
249,10
1017,3
517,2
133,7
645,7
389,1
581,7
549,7
293,7
165,7
677,7
421,5
933,7
613,7
357,7
229,7
741,5
485,2
997,7
533,6
277,7
789,6
149,1
661,5
405,7
917,3
597,7
853,1
981,10
1077,1
309,3
821,3
181,2
117,2
373,7
885,3
245,2
757,4
1013,4
525,5
269,7
781,5
653,7
397,3
909,7
589,6
845,7
205,7
717,1
461,6
557,7
813,5
173,1
685,1
429,7
109,1
621,7
365,4
877,6
493,5
1005,10
1053,7
541,7
797,6
157,7
413,5
925,7
93,7
349,7
861,6
221,1
733,3
477,6
989,2
317,7
829,5
189,7
701,7
957,7
637,7
381,1
253,3
765,7
509,5
1021,7
515,7
259,7
771,6
643,6
387,3
899,7
1091,7
579,5
835,3
195,7
707,6
451,7
963,1
291,10
803,7
163,2
675,5
419,5
931,3
99,1
355,1
867,5
739,7
483,5
1043,1
531,3
275,7
403,4
915,5
595,6
339,7
211,1
1075,7
563,10
691,1
947,1
115,1
371,7
883,7
755,7
499,5
1035,1
779,7
139,2
651,4
395,7
907,10
331,7
843,6
715,7
459,2
971,2
299,10
811,7
171,1
683,5
427,1
619,7
875,7
747,7
1003,1
539,6
283,7
795,5
667,10
411,7
923,1
1115,1
603,1
347,7
859,5
731,5
475,5
987,7
1083,1
571,7
315,7
827,7
187,7
699,6
443,7
955,4
635,6
891,10
251,7
763,6
1019,3
519,5
263,4
775,6
135,1
647,7
903,5
327,1
839,6
199,1
711,5
455,7
967,5
1063,3
295,7
807,7
679,6
423,1
935,5
1127,1
359,6
871,4
743,6
487,6
279,7
791,7
663,7
407,7
919,7
599,7
855,7
471,3
1079,1
567,6
183,1
695,5
439,7
951,7
887,3
759,6
1015,7
527,7
783,6
655,7
911,5
591,7
335,10
847,2
207,2
719,7
559,7
303,7
815,7
175,1
687,5
943,3
623,5
367,2
751,3
1055,7
287,7
671,6
415,6
95,1
607,5
351,4
863,7
223,7
735,2
479,7
831,6
703,1
447,5
639,7
383,7
895,4
255,7
767,7
511,4
