Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
2048,147.49,147.49,17.8536,-40.3886,25.5535
1408,350.325,350.325,-1.92995,-36.0686,-7.72693
1920,150.427,150.427,13.0345,-55.1874,28.6919
1600,174.003,174.003,1.57153,-28.5272,9.18087
1344,160.665,160.665,-5.95123,-50.7801,29.7863
1856,103.507,103.507,10.7114,-10.6164,-2.42607
1216,182.476,182.476,-12.8819,-26.1015,1.88124
1728,144.649,144.649,5.6882,-64.796,30.2573
1312,137.891,137.891,-7.51369,-60.3854,27.4866
1824,155.293,155.293,10.1567,-40.4836,33.0358
1696,172.049,172.049,4.95234,-23.7116,-3.74162
1440,249.839,249.839,-2.72088,-20.9127,-0.669733
1952,183.401,183.401,14.4783,-28.6788,-0.619468
2144,266.374,266.374,25.9925,-22.9193,25.8465
1248,82.4814,82.4814,-11.2576,-37.3046,23.1527
1504,84.1217,84.1217,-2.19972,-16.1388,9.14687
2016,175.611,175.611,16.319,-59.7445,10.9682
2064,152.003,152.003,18.1065,-70.7447,12.1455
1808,184.9,184.9,8.57034,-39.706,8.30027
2192,190.961,190.961,27.9279,-10.3795,12.1497
1680,154.215,154.215,5.08739,-62.9215,0.773202
1424,147.489,147.489,-4.16864,-63.365,12.8124
1616,72.7197,72.7197,2.44942,-13.7646,16.8424
1360,145.128,145.128,-5.09493,-22.5062,19.0585
1872,169.109,169.109,11.877,-54.9772,22.304
1232,339.551,339.551,-9.08868,-36.1786,1.69073
2096,244.859,244.859,20.9054,-20.1229,26.0641
1584,86.3718,86.3718,0.877403,-5.94404,9.50442
1328,117.521,117.521,-7.49061,-33.2186,14.4225
1712,168.275,168.275,5.62131,-46.7719,13.0113
1968,234.355,234.355,15.0516,-15.0102,2.13221
1648,192.413,192.413,5.29763,-26.4105,31.356
1904,51.8501,51.8501,11.9996,-13.2817,19.3503
1264,106.979,106.979,-11.2137,-56.9856,16.5937
1544,265.391,265.391,1.72099,-15.1989,-6.74206
1800,140.299,140.299,8.28026,-65.9774,24.6698
2184,233.243,233.243,27.7746,-10.0746,2.40024
1672,131.623,131.623,4.60182,-82.1843,24.4863
1416,228.865,228.865,-2.57638,-40.3288,23.8108
1928,178.356,178.356,13.259,-72.1797,8.86352
1608,116.525,116.525,2.47142,-71.4923,2.26819
1352,197.655,197.655,-3.69393,-9.88654,2.35427
1864,93.3035,93.3035,10.1263,-24.8372,20.7098
1224,79.3783,79.3783,-13.1176,-70.0444,20.9261
1736,161.051,161.051,6.83631,-56.1622,32.0725
1480,166.656,166.656,-0.916135,-48.0277,4.28587
1992,128.117,128.117,15.2947,-41.1948,16.75
1320,285.625,285.625,-4.0856,-13.8166,-10.4399
1832,48.2939,48.2939,7.20039,-73.916,15.342
1704,110.374,110.374,4.36794,-48.7988,4.86709
1448,331.188,331.188,-0.68517,-30.229,-10.4174
1960,127.251,127.251,13.2437,-51.2767,15.2487
2152,231.674,231.674,25.5954,-23.4974,-0.526214
1384,190.635,190.635,-4.79185,-17.3687,11.5953
1896,233.872,233.872,13.1365,-13.7425,-14.2524
1256,72.4637,72.4637,-11.6945,-73.7989,23.3072
2072,113.314,113.314,17.8799,-69.4054,4.59175
1816,92.3524,92.3524,7.90578,-21.0741,18.5503
1688,182.558,182.558,6.28438,-25.9303,27.085
1944,120.577,120.577,13.7441,-76.3234,20.4015
1368,193.789,193.789,-4.90944,-39.9201,31.0859
1880,215.227,215.227,12.1716,-36.4145,33.054
1752,86.7432,86.7432,6.12753,-68.8542,29.3231
1496,80.9604,80.9604,-1.78528,-42.7812,8.4344
2008,166.188,166.188,17.7606,-10.5881,1.29022
1592,175.526,175.526,1.4192,-37.5167,17.5507
1848,165.946,165.946,9.17286,-72.4057,10.5486
1720,155.789,155.789,5.98544,-59.6387,31.3714
1464,134.651,134.651,-0.90044,-51.7922,4.24472
1976,158.913,158.913,15.3552,-37.0163,21.5419
1656,143.455,143.455,2.59008,-44.9904,9.06125
1400,146.17,146.17,-4.05383,-51.9747,23.9843
1272,93.5892,93.5892,-10.4704,-58.5026,12.5504
2040,192.309,192.309,16.4386,-14.283,13.3022
1540,165.99,165.99,0.96431,-31.5359,20.7612
1284,111.139,111.139,-9.85271,-54.1706,12.9933
1796,243.554,243.554,8.17749,-34.5463,28.9334
2180,307.379,307.379,29.0712,-22.8005,5.09554
1668,170.791,170.791,4.10486,-40.6915,20.7378
1924,134.881,134.881,13.1922,-23.3969,3.1894
2116,217.66,217.66,22.5801,-40.0242,5.01477
1604,205.975,205.975,2.06373,-66.224,20.1315
1348,106.35,106.35,-7.29037,-23.1809,6.95292
1860,166.557,166.557,10.6579,-43.3595,8.77909
1732,101.628,101.628,5.63214,-30.0045,16.1241
1988,98.9684,98.9684,14.3352,-23.1925,21.9992
2084,259.273,259.273,21.5794,-12.6916,-8.7628
1572,107.018,107.018,-0.182008,-23.4001,18.6287
1316,137.399,137.399,-7.94648,-69.4715,-3.09011
1828,153.866,153.866,8.88732,-51.8812,16.2935
1636,197.592,197.592,1.59386,-47.7911,14.589
1380,139.245,139.245,-4.21109,-72.8064,23.412
1892,169.698,169.698,11.8572,-61.8018,13.5436
1764,104.621,104.621,8.0188,-7.20033,4.24654
1508,180.15,180.15,-1.4507,-34.4156,1.27161
2020,104.337,104.337,16.074,-24.8344,6.86711
2068,260.758,260.758,19.7137,-33.0104,9.13763
1556,157.263,157.263,1.87867,-16.2968,16.3629
1812,278.012,278.012,9.06013,-31.7811,-1.83362
1172,236.228,236.228,-16.0976,-19.0987,9.02295
1684,81.169,81.169,3.29282,-16.3638,8.50749
1428,81.4606,81.4606,-3.9926,-81.8909,25.7566
1940,260.194,260.194,14.0924,-26.0394,-9.50331
2132,306.892,306.892,23.8621,-35.0338,2.2432
1620,88.9595,88.9595,1.58912,-67.6195,15.2394
1364,113.956,113.956,-6.42248,-62.9098,21.8845
1236,189.453,189.453,-10.9494,-39.6183,17.8389
1492,118.762,118.762,-1.52849,-70.5998,12.9521
2004,120.464,120.464,14.6487,-20.2427,7.3522
1588,165.065,165.065,2.37319,-45.2749,27.9807
1844,29.4971,29.4971,9.1153,-17.9812,1.86597
1204,267.716,267.716,-13.3233,-17.7106,-1.35943
1716,235.293,235.293,6.33756,-38.3313,-9.50014
1460,144.446,144.446,-2.69458,4.20262,18.4341
1972,132.564,132.564,14.0379,-20.5029,19.0608
1652,117.183,117.183,3.27546,-41.8512,5.39962
1396,109.601,109.601,-5.32891,-58.5182,4.27288
1780,200.144,200.144,7.07896,-45.9045,18.5738
1524,146.333,146.333,0.592157,-48.6624,33.8603
2036,99.9713,99.9713,16.6458,-64.2335,8.92178
2060,95.2042,95.2042,17.3187,-22.2891,19.266
1548,75.9361,75.9361,-0.00414814,-25.1314,23.9095
1804,583.076,583.076,10.6436,-11.8326,-8.0244
1676,147.178,147.178,4.41233,-25.584,13.8667
1420,182.639,182.639,-4.17612,-77.5765,21.3258
1932,152.212,152.212,12.0574,-18.0288,13.3338
1356,71.705,71.705,-6.37928,-67.4793,4.51183
1868,110.729,110.729,9.57271,-78.5674,23.1116
1740,8.41429,8.41429,4.7308,-18.7516,0.767566
1484,159.522,159.522,-0.769149,-78.1736,10.0915
1996,113.01,113.01,15.6778,-15.0353,26.3212
2092,225.47,225.47,20.6717,-28.6384,19.1082
1580,105.073,105.073,0.347564,-53.4279,11.0726
1324,113.202,113.202,-7.70482,-54.5421,7.92973
1708,165.206,165.206,5.09233,-63.0111,23.6208
1452,133.274,133.274,-2.15298,-54.6222,4.04168
1964,150.226,150.226,13.975,-16.3045,18.8819
1900,124.176,124.176,11.7385,-0.551247,11.4201
1260,103.933,103.933,-11.1436,-62.1862,20.5267
1772,94.4234,94.4234,6.14589,-71.1995,8.72323
1516,335.144,335.144,1.44043,-42.2498,-4.07114
2028,163.357,163.357,16.7254,-36.7019,29.1378
1308,135.795,135.795,-7.41791,-75.4828,26.2636
1820,109.889,109.889,8.3707,-31.9498,5.60204
1692,190.99,190.99,5.79376,-55.0705,4.24304
1436,110.378,110.378,-3.56249,-26.2427,14.1139
1948,90.4789,90.4789,12.6903,-66.0899,25.183
2140,252.086,252.086,23.9559,-22.1128,16.845
1628,110.901,110.901,2.03029,-59.7259,16.8153
1372,173.273,173.273,-3.77817,-35.2467,32.6636
1756,169.018,169.018,7.53525,-12.7588,7.25673
