Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
2048,134.194,134.194,17.8461,-40.4188,25.5299
1408,506.182,506.182,-2.02216,-36.1159,-7.65798
1920,140.9,140.9,13.0176,-55.2189,28.7653
1600,170.165,170.165,1.62239,-28.5336,9.18342
1344,160.42,160.42,-5.97771,-50.7861,29.8328
1856,73.5537,73.5537,10.7318,-10.6834,-2.43593
1216,177.111,177.111,-12.9514,-26.082,1.92184
1728,130.907,130.907,5.68971,-64.8071,30.33
1312,109.443,109.443,-7.5974,-60.439,27.4942
1824,141.173,141.173,10.0796,-40.46,33.0932
1696,160.539,160.539,4.95032,-23.7741,-3.81557
1440,262.082,262.082,-2.63039,-20.8808,-0.953572
1952,184.783,184.783,14.4779,-28.6794,-0.661731
2144,282.765,282.765,26.1184,-22.8947,25.8398
1248,54.6699,54.6699,-11.4241,-37.3081,23.1052
1504,48.2715,48.2715,-2.19356,-15.9915,9.09266
2016,186.688,186.688,16.3594,-59.7429,10.9041
2064,142.802,142.802,18.1401,-70.7208,12.1678
1808,163.155,163.155,8.59784,-39.5935,8.31588
2192,190.731,190.731,27.9162,-10.2748,12.1726
1680,137.578,137.578,5.06371,-62.9334,0.665788
1424,127.507,127.507,-4.20276,-63.3611,12.7961
1616,35.0807,35.0807,2.59968,-13.7748,16.9381
1360,107.779,107.779,-5.08584,-22.4878,18.8896
1872,147.576,147.576,11.9723,-54.9911,22.3754
1232,422.539,422.539,-9.17507,-36.2838,1.82425
2096,245.525,245.525,20.8305,-20.1269,26.0672
1584,58.3989,58.3989,0.850305,-5.95059,9.52664
1328,90.8878,90.8878,-7.50427,-33.2773,14.3594
1712,168.905,168.905,5.66306,-46.8005,13.0378
1968,238.094,238.094,15.1266,-14.9481,2.16935
1648,172.64,172.64,5.19251,-26.3596,31.3663
1904,23.6513,23.6513,12.0047,-13.2551,19.3791
1264,87.4615,87.4615,-11.2677,-56.9415,16.5995
1544,318.684,318.684,1.74411,-15.1336,-6.79588
1800,124.125,124.125,8.29059,-65.9919,24.6968
2184,255.374,255.374,27.8217,-10.0394,2.36641
1672,110.378,110.378,4.56041,-82.1857,24.5167
1416,266.917,266.917,-2.57711,-40.3721,23.8274
1928,154.616,154.616,13.268,-72.2981,8.91796
1608,94.6915,94.6915,2.4797,-71.5088,2.28465
1352,185.987,185.987,-3.61993,-9.81762,2.43348
1864,66.365,66.365,10.1743,-24.903,20.7235
1224,54.2332,54.2332,-13.1428,-70.0585,20.9846
1736,148.873,148.873,6.88438,-56.172,32.1328
1480,154.491,154.491,-0.939751,-48.0897,4.31731
1992,111.538,111.538,15.3271,-41.1636,16.7455
1320,322.369,322.369,-4.24202,-13.8186,-10.3697
1832,22.7224,22.7224,7.23961,-73.9254,15.3269
1704,83.8684,83.8684,4.32941,-48.7961,4.89713
1448,475.212,475.212,-0.718789,-30.273,-10.5329
1960,110.146,110.146,13.2487,-51.262,15.2799
2152,257.627,257.627,25.6733,-23.3913,-0.666066
1384,176.403,176.403,-4.82828,-17.3663,11.6304
1896,262.362,262.362,13.1254,-13.6972,-14.4316
1256,44.4808,44.4808,-11.7195,-73.8171,23.1955
2072,83.8497,83.8497,17.913,-69.3102,4.51432
1816,66.0152,66.0152,7.89699,-21.1011,18.5636
1688,154.827,154.827,6.38744,-26.0071,27.1531
1944,98.032,98.032,13.7179,-76.3912,20.4152
1368,217.52,217.52,-4.95184,-39.8911,31.1638
1880,255.059,255.059,12.1781,-36.3689,33.1189
1752,58.4955,58.4955,6.07552,-68.8893,29.3868
1496,54.0712,54.0712,-1.72247,-42.6991,8.47283
2008,141.29,141.29,17.9099,-10.594,1.36976
1592,149.674,149.674,1.49964,-37.3658,17.4866
1848,156.672,156.672,9.14888,-72.4529,10.6148
1720,144.533,144.533,5.97957,-59.6896,31.4283
1464,112.765,112.765,-0.813492,-51.8106,4.20338
1976,144.791,144.791,15.3861,-37.046,21.5784
1656,128.396,128.396,2.59345,-44.9752,9.09651
1400,139.215,139.215,-4.07018,-51.9821,24.0173
1272,65.5544,65.5544,-10.508,-58.4152,12.5298
2040,173.311,173.311,16.4534,-14.3467,13.3025
1540,144.145,144.145,1.01034,-31.5826,20.6716
1284,89.3492,89.3492,-9.90543,-54.1694,12.9926
1796,277.226,277.226,8.22318,-34.5237,29.0295
2180,404.33,404.33,29.0312,-22.7218,5.12461
1668,162.644,162.644,4.04479,-40.7814,20.7544
1924,110.692,110.692,13.2563,-23.4725,3.20121
2116,240.342,240.342,22.6071,-40.0521,4.95422
1604,192.067,192.067,2.07008,-66.0693,20.1603
1348,82.1935,82.1935,-7.3022,-23.187,6.98645
1860,161.442,161.442,10.6377,-43.3927,8.81263
1732,68.4958,68.4958,5.70484,-30.0818,16.1171
1988,62.3934,62.3934,14.3084,-23.2115,22.0035
2084,294.697,294.697,21.6086,-12.6071,-8.90686
1572,82.3496,82.3496,-0.172623,-23.3351,18.635
1316,110.952,110.952,-7.91989,-69.4048,-3.08283
1828,133.636,133.636,8.88017,-51.8744,16.2816
1636,142.489,142.489,1.66006,-47.552,14.5041
1380,116.854,116.854,-4.2222,-72.8421,23.4484
