Label, Parent Label
2048,1
1408,1
1920,7
1600,6
1344,7
1856,3
1216,1
1728,7
1312,7
1824,1
1696,2
1440,2
1952,6
2144,1
1248,1
1504,5
2016,7
2064,7
1808,6
2192,2
1680,7
1424,7
1616,5
1360,3
1872,7
1232,1
2096,2
1584,5
1328,10
1712,7
1968,3
1648,2
1904,5
1264,7
1544,2
1800,7
2184,1
1672,7
1416,10
1928,7
1608,7
1352,4
1864,3
1224,7
1736,7
1480,7
1992,6
1320,1
1832,7
1704,7
1448,1
1960,7
2152,1
1384,4
1896,1
1256,7
2072,7
1816,4
1688,2
1944,7
1368,1
1880,1
1752,7
1496,6
2008,3
1592,6
1848,7
1720,7
1464,7
1976,10
1656,6
1400,7
1272,7
2040,4
1540,10
1284,7
1796,10
2180,1
1668,10
1924,6
2116,1
1604,7
1348,2
1860,6
1732,6
1988,3
2084,1
1572,3
1316,7
1828,7
1636,7
1380,7
1892,7
1764,5
1508,6
2020,6
2068,6
1556,5
1812,6
1172,1
1684,5
1428,7
1940,1
2132,1
1620,7
1364,7
1236,1
1492,7
2004,3
1588,7
1844,4
1204,1
1716,1
1460,5
1972,4
1652,6
1396,7
1780,7
1524,7
2036,7
2060,3
1548,3
1804,2
1676,6
1420,7
1932,5
1356,7
1868,7
1740,6
1484,7
1996,3
2092,10
1580,7
1324,7
1708,7
1452,7
1964,4
1900,5
1260,7
1772,7
1516,1
2028,1
1308,7
1820,6
1692,7
1436,2
1948,7
2140,2
1628,7
1372,1
1756,5
1500,7
2012,7
2108,2
1596,7
1340,2
1212,7
1468,7
1980,7
1660,5
1404,10
1916,6
1276,7
1788,1
2050,1
1538,4
1282,4
1794,6
1666,5
1410,7
1602,5
1858,2
1730,5
1474,10
1986,3
2082,2
1570,5
1314,10
1826,1
1186,1
1698,7
1442,7
1954,7
2146,1
1634,1
1378,10
1890,7
1250,7
1762,7
1506,3
2018,5
2066,2
1426,3
1938,1
1618,1
1746,7
1490,5
2002,4
2098,7
1586,6
1330,7
1842,7
1714,7
1970,7
2162,2
1650,7
1394,2
1906,1
1266,7
1778,6
1522,5
2034,6
2058,1
1546,2
1290,1
2186,1
1674,5
1610,6
1354,7
1866,10
1738,7
1482,7
1578,5
1322,7
1834,6
1194,2
1450,5
1962,5
1642,5
1386,7
1898,7
1770,6
1514,4
2026,2
1562,10
1306,7
1818,7
2202,1
1690,5
1434,5
1946,7
1626,6
1882,7
1242,1
1498,7
2010,6
2106,1
1594,3
1338,3
1978,1
1914,2
1274,3
1786,5
1530,2
2042,7
1542,7
1286,7
1798,1
1670,7
1926,6
1606,3
1222,1
1734,7
1478,5
1990,3
2086,3
1574,7
1318,7
1830,7
2214,1
1446,5
1638,7
1254,1
1766,6
1558,6
1302,7
1686,7
1430,1
1942,10
1366,7
1878,5
1750,3
1494,7
2006,6
1334,3
1846,7
1718,10
1462,7
1910,7
1270,7
1782,7
1526,7
2062,1
1550,7
1294,7
1806,3
1678,6
1422,3
1934,7
1358,7
1870,5
1230,1
1742,7
1486,1
1326,7
1838,7
1710,6
1454,3
1966,6
2158,2
1390,7
1518,7
2030,1
1566,4
1310,3
1182,1
1950,4
2142,1
1630,7
1374,7
1886,6
1758,7
2014,5
1854,7
1214,1
1726,3
1470,5
1982,1
1662,7
1918,6
1790,6
1534,5
2046,6
1537,3
1665,7
1409,7
1921,7
1601,7
1857,3
1217,7
1473,5
1985,5
1313,1
2209,1
1697,2
1441,1
1953,7
1633,6
1761,5
1505,4
2017,7
1297,7
1809,7
1681,7
2129,2
1617,2
1873,7
1233,7
1745,7
2001,5
2097,1
1585,5
1329,7
1713,7
1969,6
1649,7
1905,1
1265,7
1777,5
1521,5
2057,2
1545,2
1289,2
2185,1
1673,7
1417,10
2121,4
1353,4
1865,2
1737,5
1993,1
1321,10
1833,4
1193,7
1449,7
1385,10
1897,4
1769,4
1513,3
1561,5
1305,4
1817,6
1177,7
1689,7
1945,6
1369,7
1881,7
1497,7
2009,2
1593,7
1337,1
1849,7
1209,1
1977,10
1657,7
1401,7
1913,5
1273,1
1529,5
2053,7
1541,10
1285,7
1797,7
1925,1
2117,3
1349,1
1861,7
1221,7
1733,1
1477,5
1989,2
2085,1
1573,1
1317,1
1829,7
2149,3
1893,7
1253,10
1765,5
1509,10
2021,7
1557,6
1301,2
1813,1
1685,6
1941,6
2133,1
1749,5
1493,7
2005,1
1845,2
1717,5
1461,2
1973,7
2165,1
1653,7
1781,7
1525,7
2037,7
2061,6
1549,6
1293,3
1805,5
2189,2
1677,7
1421,2
1933,6
1357,3
