Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
3072,121.256,121.256,66.7099,-74.7127,10.6241
2304,208.142,208.142,39.8348,-33.5174,-16.2843
2816,114.586,114.586,57.3027,-74.7837,19.3411
3200,231.846,231.846,75.7408,-30.6723,9.68072
2432,277.328,277.328,46.3942,-84.5246,-6.87332
2944,12.028,12.028,59.8005,-16.2148,3.99315
3136,155.482,155.482,70.3318,-23.1764,-5.18603
2624,87.9042,87.9042,50.5546,-32.1503,-6.71565
2368,156.303,156.303,41.696,-75.9122,-5.07387
2880,130.74,130.74,59.1089,-15.1408,0.482897
2752,170.78,170.78,55.5668,-48.5404,16.5427
2496,181.928,181.928,46.5579,-73.1711,12.2235
3008,246.678,246.678,66.7225,-28.2635,13.1476
3104,280.398,280.398,70.4707,-80.3903,-13.7395
2592,134.476,134.476,51.3648,-37.7923,-4.24845
2336,83.9865,83.9865,39.9602,-61.6924,13.892
2848,168.826,168.826,58.276,-53.5737,-1.04826
2720,123.387,123.387,54.0246,-20.8572,-10.3641
2976,113.44,113.44,62.7399,-77.8875,14.7611
3168,153.755,153.755,71.177,-18.5758,-14.1309
2656,150.092,150.092,52.4386,-52.5587,22.9833
2400,97.9688,97.9688,43.2873,-71.2474,-7.39311
2912,102.78,102.78,60.5186,-78.1133,7.28523
2784,87.9033,87.9033,56.9045,-2.65592,5.66633
3040,193.276,193.276,66.7048,-20.571,-11.1317
3088,129.558,129.558,67.7546,-75.548,-5.68925
2576,110.937,110.937,48.8954,-59.064,7.33124
2320,313.466,313.466,40.7209,-22.1593,-4.87872
2832,25.4919,25.4919,56.2611,-64.0065,3.9184
2448,215.507,215.507,44.467,-13.5064,-1.54715
2640,136.279,136.279,51.8015,-87.6007,-5.40074
2384,137.555,137.555,42.4875,-73.4199,-10.1796
2896,197.932,197.932,60.9244,-23.6793,-17.5678
2768,151.018,151.018,57.187,-26.0723,8.89982
2512,174.453,174.453,48.082,-61.7206,16.7685
2608,103.349,103.349,50.2821,-4.65732,-8.57663
2864,217.852,217.852,60.4964,-77.7814,-2.31548
2736,142.172,142.172,55.0697,-40.8062,20.5966
2480,155.083,155.083,46.6888,-50.1077,21.3049
2992,165.682,165.682,65.0051,-36.5219,17.3787
2672,110.521,110.521,52.5873,-20.6075,4.55773
2416,138.97,138.97,45.4321,-83.76,-16.482
2928,165.356,165.356,61.4543,-42.7879,18.9817
3056,159.195,159.195,66.8363,-14.8986,6.68245
3080,140.051,140.051,66.6529,-60.4737,8.75254
2312,120.375,120.375,38.5646,-63.8822,4.63169
2824,261.105,261.105,59.2899,-42.002,-21.5464
2696,138.338,138.338,54.0351,-62.4668,-6.23336
2952,140.465,140.465,62.3663,-63.9008,18.5586
2632,134.745,134.745,51.1086,-48.0084,5.31423
2376,206.956,206.956,42.8335,-45.5418,-1.96707
2888,168.731,168.731,60.4576,-51.4883,13.286
2248,134.639,134.639,34.6247,-30.3343,-1.24131
2760,109.607,109.607,55.9452,-1.9404,1.8767
3016,169.073,169.073,64.6645,-4.64492,3.4791
2600,190.514,190.514,53.1808,-12.7323,-29.5634
2856,149.568,149.568,58.302,-59.3109,23.6951
2728,200.256,200.256,54.4752,-50.4525,-6.60292
2472,281.908,281.908,47.7576,-42.2757,-16.6054
2984,134.109,134.109,63.2008,-14.2316,3.4059
3176,221.23,221.23,73.5625,-87.0367,-1.41358
2664,145.174,145.174,52.3928,-58.1252,-0.138114
2408,161.203,161.203,43.8503,-37.3001,14.5958
2920,191.911,191.911,60.9455,-32.8968,-16.6054
2280,98.9808,98.9808,35.9722,-70.7809,4.77359
2792,82.1243,82.1243,55.851,-46.0145,1.3369
2536,104.374,104.374,48.7225,-27.8303,-6.29773
3048,84.6615,84.6615,64.5287,-68.3318,15.0599
3096,193.344,193.344,67.3822,-19.3495,-2.352
2584,155.575,155.575,50.122,-9.84917,-9.41107
2328,88.494,88.494,39.0687,-58.8202,6.26528
2840,193.974,193.974,58.3608,-60.1724,3.79688
3224,119.718,119.718,75.6404,-80.8528,-6.39428
2712,116.089,116.089,53.8976,-55.7226,-4.95771
2456,192.158,192.158,46.0937,-55.2771,21.9784
2968,142.733,142.733,62.8457,4.31609,-3.73974
3160,215.227,215.227,71.6255,-13.5303,-0.0602202
2392,234.549,234.549,43.0638,-26.6771,9.16189
2904,196.57,196.57,62.7114,-43.1008,-6.22462
2776,51.4863,51.4863,57.4345,-79.677,-18.1021
2520,163.481,163.481,48.7783,-56.1405,17.1602
3032,86.9917,86.9917,64.5762,-24.0101,-5.52092
3128,166.949,166.949,68.7486,-44.3598,-3.79898
2872,175.044,175.044,59.3764,-46.7914,20.8742
3256,206.297,206.297,78.7678,-20.6153,-7.43508
2744,154.047,154.047,56.5913,3.66684,-6.81253
2488,182.062,182.062,46.8627,-32.3742,-9.75727
3000,101.906,101.906,63.3348,-23.693,-1.72533
3192,229.205,229.205,73.7015,-16.2329,-25.1009
2680,156.621,156.621,52.2937,-32.034,6.70068
2808,161.023,161.023,56.9761,-65.7279,23.2366
2552,130.778,130.778,50.1405,-24.8511,8.53316
3064,154.305,154.305,66.1772,-67.6575,-1.15738
3076,181.251,181.251,68.7287,-30.3783,-5.38782
2564,173.701,173.701,51.0011,-22.3235,9.82371
2308,279.975,279.975,40.3251,-29.2647,-21.3821
2820,172.199,172.199,57.7425,-67.8839,2.23409
3204,363.574,363.574,76.8354,-28.8984,-19.1542
2692,122.731,122.731,52.8625,-78.8895,-0.909941
