Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
3072,91.1627,91.1627,66.7028,-74.7018,10.685
2304,190.09,190.09,39.7388,-33.5187,-16.2507
2816,94.8834,94.8834,57.3098,-74.8057,19.3703
3200,242.946,242.946,75.8681,-30.756,9.71191
2432,290.181,290.181,46.337,-84.6121,-6.73073
2944,3.13432,3.13432,59.7739,-16.2238,3.98688
3136,133.076,133.076,70.226,-23.1763,-5.15971
2624,60.7586,60.7586,50.5541,-32.1629,-6.70438
2368,141.93,141.93,41.7059,-75.8869,-5.02377
2880,104.894,104.894,59.0854,-15.1301,0.484367
2752,172.246,172.246,55.5631,-48.5246,16.5614
2496,182.946,182.946,46.6231,-73.1516,12.3511
3008,270.949,270.949,66.7982,-28.1573,13.2777
3104,-466.221,-466.221,35.4685,-43.2692,-13.5634
2592,101.293,101.293,51.4685,-37.668,-4.32042
2336,56.3584,56.3584,39.9534,-61.6145,13.9077
2848,148.37,148.37,58.2916,-53.6238,-1.07412
2720,95.8891,95.8891,54.0082,-20.9221,-10.3389
2976,90.2748,90.2748,62.7526,-77.9655,14.8124
3168,134.001,134.001,71.216,-18.615,-14.0345
2656,135.754,135.754,52.4046,-52.6009,23.0706
2400,75.1021,75.1021,43.2994,-71.2241,-7.3776
2912,73.1336,73.1336,60.4885,-78.1752,7.22607
2784,52.9094,52.9094,56.8009,-2.64893,5.68569
3040,146.359,146.359,66.785,-20.6522,-11.0658
3088,115.051,115.051,67.8082,-75.5434,-5.6755
2576,85.6704,85.6704,48.8782,-59.1533,7.3186
2320,325.898,325.898,40.5925,-22.1434,-5.11896
2832,7.60245,7.60245,56.2561,-64.0371,4.01903
2448,222.145,222.145,44.53,-13.4802,-1.50989
2640,125.311,125.311,51.7857,-87.6348,-5.38803
2384,112.941,112.941,42.3063,-73.4209,-10.3251
2896,206.93,206.93,60.9307,-23.6928,-17.5721
2768,112.693,112.693,57.1988,-26.085,8.90962
2512,152.395,152.395,48.0931,-61.7587,16.8329
2608,76.5543,76.5543,50.2509,-4.63745,-8.6286
2864,239.161,239.161,60.466,-77.7933,-2.25213
2736,127.28,127.28,55.0442,-40.8448,20.6355
2480,149.137,149.137,46.6469,-50.1583,21.3378
2992,143.959,143.959,65.0745,-36.5964,17.378
2672,85.9947,85.9947,52.5548,-20.637,4.55374
2416,-1049.89,-1049.89,32.9754,-60.2254,-13.203
2928,157.275,157.275,61.4822,-42.834,19.0148
3056,136.607,136.607,66.8339,-14.7576,6.72726
3080,113.581,113.581,66.6345,-60.5147,8.92611
2312,101.709,101.709,38.4897,-63.8481,4.58291
