Label, Parent Label
3072,7
2304,1
2816,7
3200,1
2432,9
2944,5
3136,3
2624,6
2368,9
2880,5
2752,7
2496,7
3008,2
3104,9
2592,6
2336,7
2848,7
2720,5
2976,7
3168,3
2656,7
2400,7
2912,7
2784,5
3040,4
3088,7
2576,7
2320,2
2832,7
2448,4
2640,9
2384,9
2896,3
2768,3
2512,7
2608,5
2864,9
2736,1
2480,7
2992,1
2672,4
2416,9
2928,1
3056,4
3080,7
2312,7
2824,1
2696,7
2952,7
2632,7
2376,1
2888,7
2248,1
2760,5
3016,5
2600,2
2856,7
2728,1
2472,1
2984,5
3176,9
2664,7
2408,1
2920,6
2280,7
2792,6
2536,6
3048,7
3096,4
2584,5
2328,7
2840,7
3224,9
2712,7
2456,7
2968,5
3160,4
2392,2
2904,6
2776,9
2520,7
3032,6
3128,1
2872,7
3256,2
2744,5
2488,6
3000,4
3192,1
2680,2
2808,7
2552,3
3064,7
3076,6
2564,3
2308,1
2820,7
3204,1
2692,7
2436,4
3140,4
2372,7
3268,9
2756,5
2500,7
3012,7
2596,5
2340,7
2852,1
2724,7
2468,9
3172,3
2660,5
2916,7
2788,7
2532,1
3044,6
2580,4
2324,7
2836,4
2196,9
2708,5
2452,9
2964,3
3156,1
2644,7
2388,7
2260,9
3284,9
2772,9
2516,4
3028,1
2612,7
2356,1
2740,5
2484,4
3188,7
2676,5
2420,6
2932,7
2804,9
2548,7
3084,7
2316,1
2828,1
3212,9
2700,6
2444,1
2956,1
3148,6
2636,6
2380,7
2892,7
3020,1
3116,5
2604,6
2860,6
2220,9
2732,7
2476,9
2988,7
2412,7
2924,3
2796,3
2540,6
3100,4
2588,10
2844,2
2204,9
2716,7
3164,2
2652,7
2908,5
2268,1
2780,6
2524,7
3036,6
2620,7
2876,2
3260,9
2492,7
3004,9
3196,3
2684,6
2428,2
2940,5
2812,1
2556,2
3068,6
3074,5
2562,3
2306,2
2818,5
2178,9
3202,3
2690,7
2434,7
2946,7
3138,1
2626,7
2370,1
2882,6
2242,1
3266,1
2498,7
3010,7
3106,5
2594,7
2850,7
2722,6
2466,10
2978,7
3170,7
2658,9
2402,7
2914,6
2786,6
2530,7
3090,5
2578,7
3218,1
2706,6
2450,7
2386,6
2258,9
2770,10
2514,9
3026,5
2610,6
2354,3
2866,6
2738,9
3186,9
2674,7
2930,9
2802,10
2546,10
3058,6
2570,7
2314,9
2826,7
3210,1
2698,7
3146,1
2378,7
2762,6
2506,7
3018,5
3114,3
2602,4
2346,3
2858,9
2218,9
3242,1
2730,6
2474,7
2986,6
3178,1
2666,7
2410,4
2282,1
2538,9
3050,7
3098,7
2586,3
2330,7
2842,9
2714,5
2458,7
2906,7
2266,1
2778,1
2618,7
2362,7
2234,9
2746,7
2490,7
3002,1
2682,7
2298,7
2810,5
2554,6
3066,5
3078,9
2566,9
2310,7
2822,1
2694,6
2950,10
2630,6
2886,9
2246,9
2758,7
2502,7
3014,9
3110,1
2598,7
2854,2
3238,1
2470,6
2982,9
3174,2
2662,5
2406,7
2790,5
2534,7
3046,1
3094,9
2582,5
2838,2
2710,6
2454,7
2966,6
2646,9
2902,6
3286,9
2774,7
2518,6
3030,9
3126,3
2614,6
2358,7
2742,9
2998,4
2678,4
2422,9
2934,7
2806,10
3062,1
3086,6
2574,9
2318,7
2830,7
3214,3
2702,7
2446,7
2638,7
2894,7
2254,1
2510,1
3022,4
3118,3
2606,7
2350,6
2862,7
3246,1
2414,7
2926,6
2286,1
2798,7
2542,7
