Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
1024,398.123,398.123,23.9836,17.7969,5.19663
512,1.35151,1.35151,-16.0275,16.1726,11.6234
768,230.736,230.736,3.62812,-10.7236,-16.6062
640,242.542,242.542,-5.15095,-0.631081,-22.4141
896,118.133,118.133,12.2855,-1.66379,4.68151
1088,138.828,138.828,30.917,0.100482,-5.48558
1056,46.0997,46.0997,24.1138,-3.44103,-6.33508
800,179.939,179.939,5.69197,-8.81905,-12.7032
672,150.11,150.11,-4.38538,3.68571,18.3075
608,76.4133,76.4133,-9.32685,13.125,8.75231
352,207.237,207.237,-27.7502,12.6595,-5.05999
864,149.634,149.634,10.1435,10.3902,2.94504
736,163.007,163.007,0.708569,-16.8827,1.99597
480,118.377,118.377,-17.3744,20.0848,-2.72671
992,208.616,208.616,21.0363,11.3352,6.85515
1040,111.326,111.326,23.7528,10.8385,2.77086
784,215.237,215.237,4.74692,5.01731,15.2299
656,104.295,104.295,-4.0743,4.08534,7.88174
400,101.12,101.12,-22.8095,16.595,-4.81846
912,211,211,12.9446,9.74229,13.6845
848,51.7999,51.7999,7.58285,-3.85333,-6.59255
720,94.4952,94.4952,-0.560949,-5.20113,3.6319
976,79.925,79.925,17.6411,-13.7188,-16.9305
1072,7.42936,7.42936,26.2077,8.29618,10.0053
304,216.344,216.344,-34.5755,10.0561,3.47285
816,134.553,134.553,6.22802,-21.1927,-2.71575
944,82.6106,82.6106,15.0421,-22.0808,-6.87907
624,136.635,136.635,-7.38883,-9.76497,-14.3506
368,146.804,146.804,-24.4893,6.85606,7.99508
880,157.469,157.469,10.7985,-8.19528,15.0537
752,147.987,147.987,1.26836,3.98818,-8.54672
1008,79.002,79.002,19.7683,-1.3735,2.08322
1032,361.642,361.642,23.9571,2.10791,13.0276
520,220.008,220.008,-12.4455,20.2215,1.49751
776,116.348,116.348,2.54372,-18.2904,-9.35268
648,181.9,181.9,-5.3552,7.11679,11.6186
904,400.335,400.335,14.3192,12.813,-22.7431
1096,309.631,309.631,32.6772,2.52746,2.9882
584,387.044,387.044,-8.53669,6.07863,-18.6793
328,128.548,128.548,-29.5942,15.8276,3.97962
840,124.251,124.251,7.83932,5.16977,2.22771
712,184.59,184.59,-0.485932,-5.22908,-21.3209
968,210.888,210.888,19.1844,8.52319,4.1283
808,160.821,160.821,6.36136,-17.1514,7.72133
680,87.8266,87.8266,-3.10851,0.913255,3.48762
424,171.755,171.755,-20.5695,-2.64657,-7.35429
936,105.656,105.656,13.2554,14.3419,8.77336
872,121.778,121.778,10.968,-2.25681,-13.684
744,139.236,139.236,0.320144,-12.1269,5.42375
1000,148.735,148.735,19.6111,0.593055,-17.7033
1048,83.7124,83.7124,23.251,-9.20667,-0.667099
792,113.682,113.682,4.06149,6.49806,-7.48186
600,124.732,124.732,-8.71058,20.2017,-2.61015
856,102.562,102.562,8.4408,-14.3767,5.26131
728,295.706,295.706,1.79946,19.1936,-16.7472
472,49.2071,49.2071,-18.3945,18.3075,2.45407
984,545.364,545.364,20.3921,8.79127,21.9082
1080,170.651,170.651,28.0755,-22.0494,-13.46
568,168.766,168.766,-10.219,-3.8373,6.70763
824,55.2227,55.2227,5.54527,-1.75386,9.02132
952,80.2145,80.2145,15.3947,9.68037,10.1613
888,219.943,219.943,12.5614,-7.14577,-18.9479
760,132.835,132.835,3.17821,1.97141,-13.5408
504,185.386,185.386,-13.8475,-0.294813,17.0807
1016,29.71,29.71,19.6036,-9.98866,4.71009
1028,118.912,118.912,22.7401,-14.8247,-17.5065
772,170.954,170.954,2.71924,-10.9221,3.09981
644,157.4,157.4,-6.03446,-5.73619,-20.1198
900,201.079,201.079,12.7076,14.005,2.7549
1092,213.398,213.398,32.3279,12.2448,-6.33016
580,123.9,123.9,-10.2961,9.72358,6.0495
836,304.028,304.028,8.51932,-7.05718,25.227
964,270.903,270.903,18.2142,4.59051,15.3298
1060,124.261,124.261,25.6542,-22.7925,-3.24103
548,277.941,277.941,-11.5062,-14.4881,-3.34163
804,132.048,132.048,4.69848,-5.11372,-10.1522
420,166.876,166.876,-20.9389,-8.38033,7.22222
932,86.9857,86.9857,13.7326,-6.80629,-13.6534
868,58.7908,58.7908,8.41461,-11.8663,-0.557219
740,114.011,114.011,0.988441,7.83753,6.51243
484,37.9836,37.9836,-14.924,6.93444,5.73367
996,153.421,153.421,19.2936,-6.61642,1.06318
532,119.041,119.041,-13.0872,-7.78717,4.8642
660,333.056,333.056,-2.91089,17.2673,-13.3334
404,171.762,171.762,-23.1668,-0.826122,-5.67219
916,89.3045,89.3045,13.3768,-10.6651,6.86331
