Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
512,307.773,307.773,19.7398,-19.9172,-2.72923
256,117.285,117.285,1.32306,-5.77561,7.23108
128,80.1886,80.1886,-5.67173,32.4074,-14.0332
384,138.809,138.809,9.72754,-12.0876,9.70744
576,226.617,226.617,24.5413,-2.49963,13.933
320,162.575,162.575,4.95006,-0.574053,1.87587
192,237.247,237.247,0.661667,7.21002,-24.7096
448,175.325,175.325,14.5558,17.6329,0.576349
32,170.679,170.679,-14.6608,18.7359,-2.09643
544,161.445,161.445,21.6706,16.2849,2.01418
288,109.957,109.957,3.69427,-12.556,7.34732
160,208.272,208.272,-2.86344,0.682815,8.89803
416,120.438,120.438,10.735,-16.2672,7.25268
96,235.016,235.016,-6.23263,17.4576,4.94224
608,389.306,389.306,34.118,-0.220413,-3.29797
352,113.437,113.437,6.58357,18.8672,-2.05278
224,100.833,100.833,0.800288,6.04518,-9.98867
480,80.6513,80.6513,14.7607,-7.83408,-6.73749
528,200.316,200.316,19.0074,0.698566,17.4085
272,111.524,111.524,2.11878,-10.7357,12.8694
144,129.062,129.062,-4.4246,-7.51683,-2.60843
400,197.912,197.912,11.1045,-0.470668,-3.12635
80,257.328,257.328,-7.87452,8.94905,9.09539
592,191.942,191.942,29.8869,10.2024,-5.98845
336,181.127,181.127,6.32757,21.3618,-13.1909
208,68.1123,68.1123,-1.44628,-5.17866,6.46429
464,170.279,170.279,15.0522,14.6723,-7.31101
48,149.297,149.297,-13.0747,20.4442,-14.5393
560,208.291,208.291,23.023,7.52817,3.53535
304,161.786,161.786,4.68525,-3.55907,4.55749
176,160.09,160.09,-2.22355,32.6489,-7.10786
432,156.959,156.959,11.4266,13.7573,-5.16078
112,102.122,102.122,-6.57842,-0.0887465,2.93409
368,180.394,180.394,9.8519,15.8547,19.2708
240,152.878,152.878,2.0119,-8.7232,-0.0162351
496,282.802,282.802,18.936,-15.2419,-8.18261
520,136.22,136.22,17.6706,-9.18422,-10.346
264,199.223,199.223,3.83808,-19.348,0.312832
136,93.9149,93.9149,-4.26746,2.36728,2.37842
392,125.945,125.945,8.83923,-16.8841,24.2471
72,149.053,149.053,-9.421,23.277,-22.1044
584,273.647,273.647,26.6711,4.5192,6.48137
328,125.59,125.59,5.02815,0.423277,-2.17333
200,200.284,200.284,0.0514423,-11.4088,-9.2276
456,163.431,163.431,13.7662,-9.47035,-11.3387
40,154.812,154.812,-14.4839,30.1338,-4.25218
552,168.812,168.812,20.9579,5.90599,-8.54114
296,203.383,203.383,4.71984,14.0269,-21.0714
168,146.278,146.278,-2.19938,14.3738,-21.3761
424,240.479,240.479,12.7354,15.5805,-18.0807
104,201.115,201.115,-5.76815,1.99856,-10.0954
616,365.048,365.048,36.1691,-3.04139,1.79314
