Label, Parent Label
512,2
256,5
384,5
576,3
320,5
192,1
448,6
544,6
288,5
160,4
416,5
96,10
608,1
352,6
224,6
480,3
528,4
272,5
144,3
400,6
80,2
592,1
208,5
464,6
560,2
304,5
432,6
112,3
368,2
240,4
496,2
520,6
264,3
136,3
392,5
584,2
328,6
200,2
456,6
552,6
296,1
424,1
104,10
616,1
232,6
488,3
24,1
536,3
280,6
152,10
408,2
88,3
600,2
344,3
216,10
472,1
56,2
312,5
440,1
376,6
248,6
504,1
516,1
260,6
388,1
580,1
324,3
196,4
452,5
36,1
548,2
164,4
420,5
100,10
612,2
356,5
228,6
484,6
532,4
404,5
84,1
596,1
340,1
212,1
468,10
564,2
308,5
180,2
436,3
116,3
372,6
244,2
500,1
524,5
268,5
140,10
396,5
588,1
332,5
204,4
460,3
44,1
300,1
172,10
428,10
108,2
364,5
492,1
540,6
156,1
92,1
220,5
476,5
60,1
572,1
188,10
444,6
380,1
252,5
508,6
514,4
258,1
130,4
386,6
578,1
322,2
194,6
450,3
34,1
546,3
162,2
418,6
98,10
610,1
354,6
226,6
482,5
530,1
274,3
402,5
82,3
594,1
338,6
210,5
466,6
562,6
306,1
178,2
434,5
370,5
242,4
498,10
522,4
394,10
74,10
586,6
330,6
458,1
554,3
170,5
426,4
106,1
362,5
234,4
490,1
26,1
538,4
282,10
154,3
410,1
602,2
346,4
218,6
474,5
570,3
314,4
186,5
442,3
122,1
378,1
250,6
506,4
518,6
262,1
390,4
582,2
326,5
198,1
454,6
38,1
550,6
294,5
422,5
102,10
614,1
358,6
230,6
486,3
22,1
278,1
86,3
598,1
342,6
54,1
566,1
182,5
438,3
374,1
246,4
502,6
526,3
270,10
142,1
398,6
590,3
334,5
206,10
558,3
302,6
174,4
430,5
110,1
366,6
238,3
494,4
542,1
286,3
414,4
94,3
606,2
350,6
478,2
62,1
574,3
318,5
190,3
126,3
382,6
254,6
513,1
257,5
129,1
385,6
577,2
321,2
193,5
545,3
289,5
161,2
417,3
97,1
609,1
353,5
225,5
481,5
529,4
273,5
145,4
401,4
593,1
337,6
209,6
465,4
561,3
305,5
177,5
433,4
369,1
497,6
521,2
265,1
137,3
585,2
329,5
457,5
553,3
297,4
169,5
425,3
105,10
233,3
489,5
25,2
537,4
281,3
409,6
601,2
345,6
217,5
473,5
57,2
569,1
313,2
185,3
441,1
377,6
249,10
505,1
517,5
261,5
389,5
581,2
325,10
197,5
453,5
37,1
549,1
165,6
421,2
101,10
229,6
485,6
149,2
405,5
597,2
341,6
213,5
469,6
53,1
309,6
437,10
373,4
245,6
501,1
525,1
269,5
141,3
77,2
589,2
333,5
461,4
45,2
557,1
301,6
173,6
429,3
493,4
29,1
541,2
285,3
413,5
93,1
605,1
349,6
477,1
573,2
317,3
189,1
445,4
381,2
509,2
515,1
259,1
131,3
387,6
67,10
579,3
323,4
195,4
451,3
163,1
419,6
99,4
611,1
355,1
483,1
531,3
275,4
83,1
595,1
339,6
211,6
467,5
563,1
307,5
179,5
435,3
371,5
499,6
523,3
139,1
395,5
75,2
587,3
331,5
203,6
459,6
555,3
107,10
363,4
539,2
283,5
155,3
411,6
91,1
347,1
219,5
475,5
59,1
571,4
315,6
187,10
443,6
123,2
379,5
507,6
519,1
263,1
391,3
583,1
327,5
199,4
455,5
551,3
295,6
423,6
103,2
231,5
487,5
23,1
535,2
151,10
407,6
599,1
215,5
471,5
55,1
567,2
311,4
183,6
439,6
119,1
375,6
503,3
527,5
271,1
143,4
399,6
79,10
591,1
335,6
207,5
463,1
47,1
559,1
303,6
175,5
111,10
239,5
495,3
543,4
287,5
159,6
415,5
95,10
223,10
479,4
63,2
575,6
319,6
191,6
447,6
127,3
383,6
255,6
511,4
