Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
3584,56.2907,56.2907,36.1689,40.0971,33.7915
4352,121.707,121.707,56.2701,47.5594,14.1966
3328,115.507,115.507,28.285,38.3532,-5.91953
3840,61.2365,61.2365,44.6855,-14.4163,-18.6974
4736,105.027,105.027,68.4179,20.5207,15.1187
3968,649.389,649.389,49.1115,4.84638,-21.643
3648,207.005,207.005,39.9964,-5.61594,19.9286
3904,51.2405,51.2405,45.6332,-11.7843,3.60175
4288,118.51,118.51,55.4869,9.91544,20.6654
4544,240.149,240.149,63.8164,-6.19001,8.65741
4032,59.2473,59.2473,47.7084,-0.671633,-3.8382
4128,122.892,122.892,51.7347,-9.81312,-13.4711
4384,140.099,140.099,57.1381,-17.7881,-7.7103
3360,231.176,231.176,31.1112,0.448272,4.45956
3872,127.378,127.378,45.148,-27.8296,-4.83528
4256,118.222,118.222,54.5196,-30.3502,-2.29351
4768,80.5013,80.5013,69.5868,28.2017,4.02179
3744,14.884,14.884,40.247,-12.5314,-21.5077
3488,363.09,363.09,36.7726,-2.7588,-23.0411
4000,135.708,135.708,48.3385,28.9851,20.4355
4192,113.442,113.442,52.6211,16.5755,-0.108508
3680,62.0402,62.0402,40.697,-23.486,-21.2498
4320,66.1629,66.1629,55.7578,4.62395,9.56763
3808,54.3579,54.3579,43.2453,31.1602,23.2536
4576,234.315,234.315,63.0699,-24.9601,-10.8365
4064,93.3848,93.3848,49.7608,18.2724,10.6279
4112,59.6954,59.6954,49.7184,-20.4191,-3.22356
5136,86.4183,86.4183,83.0674,38.2503,14.7008
3600,72.9419,72.9419,38.5828,-32.6919,-5.24873
4240,153.668,153.668,55.0272,-24.4655,-1.9071
3728,94.0564,94.0564,41.266,13.3715,10.3887
4496,258.921,258.921,63.14,-0.31541,-12.458
3472,100.821,100.821,33.9375,7.94184,2.0815
3984,105.026,105.026,46.9934,11.1852,11.7243
4176,121.93,121.93,52.2625,19.4185,29.8573
5200,172.676,172.676,86.3002,39.5375,9.53776
3664,157.33,157.33,40.0069,20.1096,3.74629
3408,205.764,205.764,33.2884,-5.72157,9.86504
4304,162.608,162.608,56.1413,35.2288,-4.56109
4560,341.079,341.079,63.1649,-18.6402,-7.70091
3536,5.5598,5.5598,34.2214,-18.3302,-4.09776
4048,119.254,119.254,48.2086,2.90525,6.64595
4144,241.922,241.922,53.7907,2.56929,-11.2598
4400,151.334,151.334,58.9058,10.2798,4.038
3376,221.997,221.997,31.3709,39.8711,-1.13309
4912,116.956,116.956,76.0425,35.4551,16.9156
4016,78.2274,78.2274,47.8778,30.895,-0.614994
4208,55.0311,55.0311,53.1905,-1.90622,-1.64997
3440,346.866,346.866,37.6376,46.3215,10.8487
4976,87.4615,87.4615,77.6978,31.3735,19.7504
3952,117.449,117.449,46.5919,7.9912,28.8072
4336,113.03,113.03,56.5738,28.2777,14.5301
3824,106.039,106.039,44.0465,16.7309,17.2044
4592,105.997,105.997,63.8462,12.1916,11.5484
4080,133.521,133.521,51.1782,-3.18167,4.72151
3592,377.533,377.533,40.2397,8.97633,-20.0496
3848,6.74123,6.74123,42.5723,-30.0125,-8.13739
4232,135.052,135.052,55.2204,-15.5591,6.26492
3720,7.29105,7.29105,39.876,-7.15785,13.3542
4680,164.225,164.225,67.721,30.4723,7.43062
3656,126.479,126.479,39.9758,-11.1715,-17.0559
4424,85.7485,85.7485,62.5614,41.9356,38.3036
3400,172.067,172.067,32.7139,-1.83921,-9.03261
3912,149.581,149.581,46.7884,-11.445,-9.06132
4296,120.428,120.428,55.3869,28.8854,10.8438
3784,188.98,188.98,45.677,-21.4241,-12.9303
4136,106.079,106.079,51.7426,15.9959,9.22466
4648,320.314,320.314,68.8696,-12.6344,-6.20359
3624,186.374,186.374,38.8824,3.29333,10.9666
4392,182.312,182.312,59.356,45.8617,36.7
