Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
5120,132.041,132.041,60.1182,18.3781,16.3646
5376,129.958,129.958,67.7039,42.6665,0.595133
5248,88.8691,88.8691,64.1156,-3.19743,25.7676
4736,147.435,147.435,51.9122,19.3976,6.33634
4480,195.319,195.319,46.0261,35.0093,19.422
5504,156.448,156.448,70.5572,18.6108,21.4561
4992,145.114,145.114,58.3263,8.90876,9.26459
5696,180.705,180.705,75.5707,-2.98874,23.2571
4416,316.727,316.727,45.2618,38.0298,-27.7255
5440,225.709,225.709,69.6098,-3.38372,23.521
4928,186.893,186.893,57.6642,-9.4321,23.9884
4288,193.235,193.235,38.1837,43.8302,-7.73336
5312,169.768,169.768,66.0311,31.758,22.6163
4800,173.839,173.839,53.3438,3.61075,23.8856
5824,194.902,194.902,81.6995,1.94651,35.9844
5152,116.966,116.966,61.5045,27.488,-7.46236
5664,256.28,256.28,75.7908,30.8937,-13.288
4384,123.74,123.74,41.9967,45.961,-12.2124
5408,53.8023,53.8023,66.8083,50.5373,12.6717
4768,174.974,174.974,54.4391,48.9539,8.92386
5536,121.616,121.616,71.4584,36.3444,-5.56538
5024,93.684,93.684,58.5793,35.6993,-13.8347
5728,104.6,104.6,76.999,0.376776,17.9824
4448,152.49,152.49,43.7883,34.6858,-4.67266
5472,156.491,156.491,69.8088,12.3737,34.2727
4832,123.455,123.455,53.9988,23.3444,11.8337
5136,116.829,116.829,60.7375,7.91015,27.4776
4624,201.616,201.616,49.7221,23.9076,-14.4312
5648,163.891,163.891,74.1289,2.67861,21.3962
4880,142.748,142.748,55.3777,37.8369,-21.7056
5264,152.134,152.134,65.2584,27.5909,33.5483
4752,175.281,175.281,53.1274,-6.36056,28.351
5776,101.261,101.261,77.6199,-2.00017,38.2073
5520,296.783,296.783,73.9437,51.3899,4.82388
5008,143.54,143.54,59.815,12.7212,39.5375
5200,156.671,156.671,64.4336,52.6442,-15.4181
4432,152.583,152.583,44.4712,63.5858,-15.4633
4304,150.011,150.011,39.6433,42.294,-15.027
5328,187.939,187.939,65.9215,55.3945,4.8137
4560,171.184,171.184,47.4311,14.6721,26.1105
5584,306.081,306.081,74.8873,24.9392,-8.95369
5072,94.165,94.165,58.8092,49.1574,-5.84721
4656,254.853,254.853,53.3046,41.7993,-34.0126
4400,230.324,230.324,42.607,26.4053,7.93793
4912,112.117,112.117,56.0837,33.4365,2.72801
4272,65.6283,65.6283,36.7841,-5.03377,46.5955
5296,150.536,150.536,65.4111,3.10669,12.293
4528,147.069,147.069,47.213,44.8062,4.30179
5040,193.771,193.771,59.4125,0.135944,26.8885
5232,220.315,220.315,64.352,35.0929,-20.815
5488,210.871,210.871,71.0441,25.7571,3.33635
4592,372.213,372.213,51.2225,18.0623,-17.7505
5128,121.195,121.195,59.9654,45.6033,-10.6335
5256,133.03,133.03,64.5101,21.5186,5.72917
4744,105.875,105.875,52.6131,-2.82021,41.0053
4488,297.152,297.152,45.4294,15.7412,-0.715569
5512,216.221,216.221,72.1674,55.4103,4.2767
4168,287.164,287.164,34.4544,31.6715,-21.6291
5192,314.687,314.687,66.1007,19.2129,-13.9133
4936,190.49,190.49,58.239,-16.8148,27.3073
5832,100.213,100.213,80.9558,0.904145,41.147
4552,619.856,619.856,50.8261,51.6601,-11.9401
5576,354.247,354.247,75.5957,50.268,-20.8378
5064,153.929,153.929,60.2945,54.9388,-5.10959
4648,156.239,156.239,49.1186,20.8622,14.9151
5416,161.377,161.377,68.6505,23.2025,-2.59371
4264,143.171,143.171,36.8562,41.4896,-16.8726
5288,161.203,161.203,65.6035,24.8809,35.139
5800,168.564,168.564,80.5457,-1.69633,43.189
4520,102.095,102.095,45.4834,45.6128,-4.19245
5032,236.209,236.209,62.2865,48.8804,-28.9097
5224,161.839,161.839,63.4065,-14.5373,35.7786
4712,281.336,281.336,53.8874,34.7658,18.4444
5480,121.838,121.838,70.0064,1.60617,22.4327
4968,115.414,115.414,56.7218,34.3186,-9.06505
4840,134.021,134.021,53.8985,29.5789,4.06958
4584,91.4267,91.4267,47.4802,-5.99235,42.6629
5608,99.9687,99.9687,73.13,17.8565,35.188
5144,83.3422,83.3422,60.5144,43.3638,-33.2902
4632,183.123,183.123,49.4388,22.4256,29.2862
5400,126.906,126.906,67.7965,15.242,12.9447
5784,189.843,189.843,78.4779,-5.09273,28.7669
5528,159.189,159.189,71.2605,15.2704,24.6021
5016,177.024,177.024,59.4167,20.7797,38.0186
5720,110.981,110.981,76.2581,4.95746,25.7839
5464,245.786,245.786,71.2859,-19.8668,25.3955
5336,152.424,152.424,66.0156,51.6769,-5.52678
5592,117.784,117.784,72.8329,24.7947,25.2479
5080,125.723,125.723,60.4951,-15.3933,17.003
4664,217.707,217.707,51.7328,52.8133,4.09507
5432,76.3941,76.3941,67.2904,-7.31119,25.5736
4920,105.477,105.477,56.0518,29.4969,-2.13376
5304,104.906,104.906,64.485,41.7429,-1.76407
5816,192.256,192.256,82.4822,-16.3355,20.2593
4536,94.1851,94.1851,45.5541,42.3848,-9.57069
5048,52.1585,52.1585,58.4169,22.9311,12.6776
5240,119.426,119.426,63.553,37.1887,-4.31875
5752,360.121,360.121,79.5572,43.8366,-13.3815
4472,115.217,115.217,45.3456,48.7744,-19.7704
4984,154.578,154.578,58.4536,40.1762,-15.2659
4344,100.092,100.092,39.9007,52.1583,-7.27205
5368,144.159,144.159,66.9464,48.3545,-13.588
