Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
5120,105.123,105.123,60.0763,18.4104,16.2997
5376,103.621,103.621,67.7276,42.635,0.611103
5248,65.7061,65.7061,64.1202,-3.20116,25.7861
4736,132.342,132.342,51.9209,19.3889,6.31687
4480,215.987,215.987,46.0061,35.0441,19.4437
5504,146.383,146.383,70.5281,18.6044,21.4288
4992,136.669,136.669,58.3263,8.81751,9.24602
5696,185.963,185.963,75.579,-2.9526,23.2818
4416,405.446,405.446,45.2835,38.0334,-27.7033
5440,231.389,231.389,69.5795,-3.29179,23.5267
4928,175.847,175.847,57.708,-9.39863,23.9408
4288,178.113,178.113,38.1946,43.9585,-7.75491
5312,166.448,166.448,66.084,31.7829,22.5259
4800,179.344,179.344,53.3776,3.57706,23.9337
5824,202.995,202.995,81.6722,1.94997,36.0935
5152,97.2735,97.2735,61.5288,27.4847,-7.42072
5664,297.42,297.42,75.8574,30.8707,-13.5045
4384,87.8591,87.8591,41.9229,45.9885,-12.2177
5408,23.6038,23.6038,66.8584,50.5839,12.7028
4768,175.421,175.421,54.448,48.9648,8.99476
5536,98.9395,98.9395,71.4536,36.3383,-5.48865
5024,68.1301,68.1301,58.5982,35.6775,-13.8132
5728,83.0603,83.0603,77.0384,0.385523,17.9618
4448,139.336,139.336,43.8047,34.6759,-4.67505
5472,146.175,146.175,69.8126,12.3538,34.2832
4832,96.5916,96.5916,53.9822,23.3745,11.9196
5136,88.1071,88.1071,60.709,7.87336,27.4539
4624,198.262,198.262,49.5914,23.8346,-14.4566
5648,153.618,153.618,74.1708,2.68141,21.4397
4880,113.751,113.751,55.4262,37.8665,-21.6549
5264,125.045,125.045,65.268,27.6054,33.6017
4752,169.63,169.63,53.1562,-6.34275,28.3438
5776,75.0182,75.0182,77.61,-1.98737,38.2711
5520,323.348,323.348,74.0648,51.464,4.7382
5008,122.124,122.124,59.8236,12.7088,39.6191
5200,107.902,107.902,64.4185,52.707,-15.5101
4432,140.479,140.479,44.4527,63.6147,-15.5214
4304,131.719,131.719,39.6417,42.3446,-14.9615
5328,176.911,176.911,65.877,55.4739,4.73703
4560,178.052,178.052,47.386,14.6406,26.1776
5584,418.379,418.379,74.9434,24.9361,-8.99525
5072,61.7937,61.7937,58.8349,49.1822,-5.98764
4656,276.593,276.593,53.3781,41.84,-34.1476
4400,252.088,252.088,42.5733,26.4571,7.90601
4912,88.0988,88.0988,56.0369,33.4473,2.73719
4272,37.4202,37.4202,36.8179,-4.98371,46.6218
5296,147.302,147.302,65.4552,3.13804,12.2805
4528,124.411,124.411,47.1313,44.7728,4.322
5040,161.044,161.044,59.3549,0.575049,26.7022
5232,221.658,221.658,64.3281,35.1375,-20.9788
5488,222.98,222.98,71.0252,25.7276,3.33371
4592,533.588,533.588,51.1716,18.0294,-17.7717
5128,79.6312,79.6312,59.9813,45.6621,-10.5332
5256,110.818,110.818,64.5434,21.4807,5.71419
4744,73.8376,73.8376,52.611,-2.70792,41.0947
4488,365.854,365.854,45.4014,15.6814,-0.829363
5512,205.86,205.86,72.3654,55.6815,3.94916
4168,297.428,297.428,34.2237,31.7004,-21.4234
5192,427.341,427.341,66.1708,19.1537,-13.9964
4936,199.426,199.426,58.2901,-16.8416,27.3522
5832,70.3742,70.3742,80.9831,0.91751,41.1461
4552,743.803,743.803,50.8641,51.9139,-11.9578
5576,403.108,403.108,75.5607,49.9517,-21.274
5064,124.512,124.512,60.1777,55.0619,-5.13424
4648,127.566,127.566,49.0876,20.94,15.0264
5416,143.673,143.673,68.7374,23.2451,-2.60454
4264,116.565,116.565,36.8282,41.4978,-16.987
5288,141.771,141.771,65.5796,24.8907,35.223
5800,148.233,148.233,80.4924,-1.76868,43.2825
4520,64.3867,64.3867,45.5313,45.5086,-4.21597
5032,211.231,211.231,62.3508,48.9571,-29.1124
5224,145.058,145.058,63.3855,-14.5351,35.7112
4712,323.819,323.819,53.7579,34.6894,18.4465
5480,96.5938,96.5938,69.9622,1.67153,22.4817
4968,90.0566,90.0566,56.7477,34.3006,-9.0408
4840,109.824,109.824,53.9077,29.5435,4.11797
4584,62.7022,62.7022,47.529,-5.98552,42.6667
5608,67.2915,67.2915,73.1593,17.8245,35.2898
5144,56.333,56.333,60.5525,43.437,-33.3318
4632,198.591,198.591,49.4051,22.3972,29.3251
5400,105.964,105.964,67.8405,15.2354,12.9729
5784,182.219,182.219,78.3922,-5.16809,28.8178
5528,151.125,151.125,71.249,15.2397,24.6121
5016,171.713,171.713,59.4076,20.8046,38.0958
5720,74.4498,74.4498,76.0921,4.99689,25.6937
5464,265.183,265.183,71.2807,-19.9489,25.3886
5336,137.49,137.49,65.9972,51.6502,-5.52625
5592,91.4075,91.4075,72.8397,24.831,25.2839
5080,101.778,101.778,60.5291,-15.3502,17.014
4664,237.761,237.761,51.7369,52.9356,4.06878
5432,40.1388,40.1388,67.2828,-7.16017,25.6
4920,76.1128,76.1128,56.0277,29.4986,-2.20655
5304,78.0967,78.0967,64.4888,41.6848,-1.74811
5816,188.943,188.943,82.4451,-16.3415,20.2367
4536,61.1409,61.1409,45.5593,42.35,-9.54972
5048,25.9809,25.9809,58.4421,22.9242,12.7718
5240,91.0556,91.0556,63.5883,37.2512,-4.40298
5752,482.738,482.738,79.6388,43.8297,-13.3739
4472,87.3556,87.3556,45.3214,48.7446,-19.7882
4984,126.898,126.898,58.4622,40.1048,-15.3684
4344,66.4428,66.4428,39.8783,52.146,-7.19685
5368,102.981,102.981,66.9668,48.4568,-13.4019
4600,108.245,108.245,48.938,-3.91608,35.3863
5112,48.0686,48.0686,59.7925,44.038,7.16007
5124,0.473881,0.473881,60.3916,-11.1725,47.3342
4868,31.963,31.963,53.553,45.0363,-14.1146
4996,178.12,178.12,58.6037,27.8596,21.7714
5188,90.8994,90.8994,63.1878,48.4268,3.64457
4676,214.169,214.169,50.7728,46.69,-8.77915
4420,175.736,175.736,44.0692,54.7966,-16.2534
5444,155.532,155.532,69.0643,12.3352,9.21302
5316,141.235,141.235,65.334,-7.51861,36.9004
4804,93.3054,93.3054,53.1001,45.5432,2.56873
5572,129.895,129.895,71.9197,0.503024,14.4751
5060,365.343,365.343,62.4933,45.4766,-26.6622
5156,374.988,374.988,63.9151,15.545,-1.54987
4644,167.747,167.747,50.1863,31.4553,-2.639
5668,126.103,126.103,75.3415,-18.4054,16.1429
4900,97.0457,97.0457,55.4953,29.2993,10.8241
5284,174.865,174.865,66.008,-1.25232,40.0971
4772,110.083,110.083,53.4585,21.0597,-3.64909
5540,261.585,261.585,72.2056,46.5813,-2.66951
5028,138.496,138.496,59.175,4.79976,21.4225
4452,58.2912,58.2912,43.6067,51.6653,-20.7315
4964,127.067,127.067,57.2824,-0.276182,20.4534
5348,175.584,175.584,66.8001,36.164,26.3173
4836,107.789,107.789,53.8167,-6.63713,34.6789
5860,111.877,111.877,82.5912,-5.96057,28.2116
5604,122.407,122.407,72.6876,7.37169,19.0054
5140,165.1,165.1,61.3733,-8.73772,35.6342
5652,142.211,142.211,74.4751,24.6931,9.83192
4372,362.476,362.476,44.6324,32.2757,-31.0481
5396,103.978,103.978,67.2948,-0.66429,30.5509
5268,15.103,15.103,62.8881,-0.086623,27.7738
4756,65.4929,65.4929,52.5644,26.2864,8.86282
5780,145.477,145.477,78.5841,7.00818,34.7204
5524,171.888,171.888,70.7979,-10.2366,23.437
5204,72.4701,72.4701,62.5633,0.481235,22.9542
5460,119.516,119.516,70.1529,22.9926,19.9232
4948,118.741,118.741,56.9047,-8.8213,35.4363
4308,188.662,188.662,39.6711,27.721,0.935181
5332,112.284,112.284,64.9151,12.844,18.4782
4820,71.4003,71.4003,55.3333,42.843,9.24383
5076,138.338,138.338,60.6483,18.7308,26.9004
5172,103.768,103.768,63.1804,32.2794,13.6042
4660,163.863,163.863,51.9511,53.2895,8.40099
5684,134.639,134.639,75.9929,5.03762,40.1746
4404,87.899,87.899,43.2441,32.8413,-9.6396
5428,90.2805,90.2805,68.0624,7.11619,15.4437
4276,126.644,126.644,38.62,38.295,-16.0878
5812,123.809,123.809,81.1739,-12.8616,20.17
5556,298.598,298.598,72.4894,31.4416,6.753
5044,130.486,130.486,59.8599,46.0362,3.61979
5748,483.932,483.932,79.0052,50.6932,-0.956506
5492,132.282,132.282,70.3615,0.743171,45.4536
5364,90.6348,90.6348,66.1554,40.1213,-12.7002
5108,464.906,464.906,61.4086,16.2662,-10.814
4620,87.6508,87.6508,49.8991,60.0392,-6.50641
5644,89.8699,89.8699,74.8696,10.5073,37.9536
4364,95.6704,95.6704,42.5421,38.5111,16.7709
5388,131.096,131.096,67.3402,-5.75253,14.1407
4876,189.228,189.228,55.7759,7.59852,29.3987
5900,84.7476,84.7476,85.6967,-10.7456,22.5331
5260,209.832,209.832,64.9367,30.9397,31.3177
4748,112.457,112.457,52.3877,40.8906,0.897754
4492,104.544,104.544,46.4519,33.4044,-15.878
4428,114.327,114.327,42.0834,-6.2182,42.4997
5452,114.313,114.313,69.0344,41.7196,-3.33447
4940,93.1139,93.1139,56.9252,35.3675,-1.47041
4300,534.675,534.675,41.4715,28.9646,-17.6099
5324,166.783,166.783,66.3527,40.231,22.1999
4812,97.2336,97.2336,53.6868,34.19,-2.03944
5836,99.8729,99.8729,82.0262,-2.19222,24.4375
5580,93.0228,93.0228,71.5046,0.366647,26.9474
5164,185.901,185.901,63.3903,56.2019,-4.78005
4396,240.026,240.026,45.2757,38.6698,11.5745
5420,130.213,130.213,68.3972,30.5167,12.7276
4780,178.34,178.34,53.6745,18.266,24.8351
5804,136.721,136.721,80.7622,6.25281,31.3132
