Label, Parent Label
5120,6
5376,2
5248,7
4736,6
4480,1
5504,7
4992,7
5696,7
4416,2
5440,7
4928,7
4288,4
5312,10
4800,7
5824,7
5152,6
5664,1
4384,5
5408,1
4768,3
5536,6
5024,4
5728,7
4448,4
5472,7
4832,6
5136,7
4624,6
5648,7
4880,3
5264,7
4752,7
5776,7
5520,1
5008,7
5200,3
4432,5
4304,4
5328,2
4560,7
5584,1
5072,5
4656,1
4400,10
4912,6
5296,7
4528,4
5040,7
5232,2
5488,6
4592,1
5128,5
5256,6
4744,7
4488,1
5512,1
4168,1
5192,1
5832,7
4552,5
5576,1
5064,4
4648,10
5416,6
4264,3
5288,7
5800,7
4520,5
5032,2
4712,10
5480,7
4968,6
4840,6
5608,7
5144,1
4632,7
5400,6
5784,7
5528,7
5016,7
5720,7
5336,3
5592,7
4664,4
5432,7
4920,6
5304,3
4536,5
5048,6
5240,3
5752,1
4472,5
4984,4
4344,5
5368,3
4600,7
5112,3
4868,5
4996,10
5188,3
4676,5
4420,5
5444,1
4804,4
5572,7
5060,2
5156,1
4644,6
4900,6
5284,7
4772,6
5540,2
5028,7
4452,5
4964,7
5348,1
5860,7
5604,7
5652,1
4372,1
5396,7
5268,7
4756,6
5780,7
5524,7
5204,7
5460,7
4308,2
5332,7
4820,3
5076,7
5172,10
4660,3
5684,7
4404,3
5428,7
4276,3
5812,7
5556,6
5044,4
5748,1
5492,7
5364,3
5108,1
4620,5
5644,7
4364,1
5388,7
4876,7
5900,7
5260,7
4748,5
4492,3
5452,2
4940,6
4300,2
5324,1
4812,6
5836,7
5580,7
5164,3
4396,2
5420,10
4780,7
5804,7
5548,1
4460,4
5484,1
5356,1
5612,6
5100,6
5660,7
4380,1
4892,1
4252,1
5276,6
4764,6
5788,1
4508,2
5020,3
5212,1
4700,7
4956,5
4316,5
5596,1
5084,6
5180,7
5692,1
5308,1
4796,7
5564,7
5052,1
5244,7
4732,7
4476,3
5500,7
5372,1
4860,1
4604,7
5628,1
5122,7
5762,7
4482,7
5506,7
5442,2
4930,6
5314,7
4802,7
5570,7
5058,2
5154,6
4642,4
4386,1
5410,7
4898,4
4258,3
4770,2
5026,1
4194,1
5218,3
4962,2
4322,5
4834,7
5138,7
4370,3
4882,7
5266,6
5522,7
4178,1
5202,6
4690,2
4434,4
5458,10
4946,4
4306,5
5330,7
5074,6
5170,5
4658,6
4402,5
5426,2
5810,7
4530,7
5234,6
4466,4
5490,7
4978,7
4594,7
5106,2
5130,4
5642,1
4362,4
5386,3
4874,2
5258,3
5514,6
5002,5
5194,7
5706,1
4426,3
5450,7
4810,4
4554,5
5578,1
5066,1
4650,1
5418,7
4906,3
5290,7
4778,3
5546,1
4202,1
4714,7
5738,7
4458,5
4970,7
4842,6
5146,6
5658,6
4378,5
5274,6
5018,7
5210,10
4698,1
4442,3
4954,5
5338,7
4826,10
4666,7
5690,1
4410,5
4922,7
4794,4
4538,1
5242,6
4730,5
5498,2
4986,10
5370,2
4858,5
4602,5
5626,2
4090,1
4102,1
4614,10
5638,7
5254,2
4742,1
4998,6
5190,2
4934,5
5062,6
5158,6
5414,2
4902,7
5798,1
5542,7
4198,1
5222,1
4710,4
5734,7
4454,1
5478,1
5350,7
4838,2
5094,7
5654,7
5398,2
4246,3
4758,7
5782,1
4502,2
5014,4
4694,10
5462,7
4566,1
5078,7
4150,1
5174,7
4790,7
5558,7
5046,10
4214,3
4726,7
4342,5
5366,7
4854,7
4598,5
5110,7
4110,1
5134,10
4622,5
4366,5
4750,6
5774,1
4494,6
5454,7
4942,7
4302,1
5326,7
4814,7
5166,10
4654,6
5678,7
5422,7
5294,6
5806,7
5550,7
5038,2
4718,7
4462,1
5486,1
4590,4
5614,7
4638,6
4894,7
5790,7
4510,7
5534,1
4190,2
5470,2
4958,7
4318,1
5342,7
4830,5
4574,7
5598,7
4670,7
5438,10
4926,6
5310,6
4798,6
4542,5
5054,6
5246,7
5758,7
4478,2
4350,3
5886,7
5121,7
5377,6
5889,7
5761,1
4481,3
5505,7
5185,7
4289,3
5313,7
4801,7
5825,7
5569,2
5153,6
5665,7
4385,2
5409,6
5921,7
4257,3
4769,5
4513,5
5025,6
4193,2
5217,2
4705,1
5729,7
4449,1
5473,7
4961,5
4833,6
5089,4
5137,7
4625,7
4369,3
4881,6
4241,2
5265,10
4497,5
5521,7
5201,4
4689,5
4433,5
5457,1
4945,4
5329,6
4561,7
5585,7
5073,3
5169,4
4657,4
4913,6
4529,6
5041,7
4209,2
5233,2
4721,5
5489,7
4849,6
4593,7
5617,7
5105,3
4873,5
5769,7
5513,2
5705,6
5449,7
4937,5
4553,5
5577,6
5065,5
4649,7
5417,7
4905,5
5289,6
4777,5
5033,6
4713,10
5737,7
5481,7
4969,6
4329,1
4841,2
5609,7
4121,1
5145,6
4633,1
5401,7
5785,7
5017,6
5209,1
5721,7
4441,4
5465,7
5337,7
4825,5
5593,7
4665,2
5689,1
4921,6
4537,3
5049,6
5241,6
5497,1
4985,3
4345,3
5369,2
4857,5
5113,7
4101,2
4613,5
5637,1
4869,6
4229,1
4741,1
4997,6
5189,1
4677,1
4421,5
4805,2
5061,6
5157,7
4645,7
4901,1
5541,7
