Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
3072,104.495,104.495,-0.682577,-4.11039,45.6478
2560,277.474,277.474,-9.76684,36.6322,7.90356
3328,74.9036,74.9036,3.47243,50.5578,-16.4641
2816,182.867,182.867,-4.66359,30.8204,17.8348
2432,181.064,181.064,-16.3491,-13.9567,32.9517
3456,148.036,148.036,6.55213,3.45153,13.4652
3136,295.08,295.08,4.27129,-16.023,32.5246
2880,199.261,199.261,-4.89845,11.1928,15.9857
3264,156.68,156.68,3.27942,1.82834,14.1694
2752,132.651,132.651,-9.10783,-6.80001,39.711
2592,95.7538,95.7538,-11.6753,43.9187,-6.93482
3232,223.732,223.732,3.88314,-12.7582,27.3303
3744,122.604,122.604,14.9718,-4.64377,25.0457
2464,123.091,123.091,-15.248,60.3563,-15.0143
2976,114.483,114.483,-3.19505,-13.9922,3.70195
3168,103.9,103.9,0.344371,-7.35735,37.3264
2656,99.2777,99.2777,-10.694,39.675,-17.8815
3680,338.901,338.901,14.4099,36.2045,-25.0967
2912,257.179,257.179,-3.71467,14.5939,-24.2388
2784,397.659,397.659,-5.40102,25.174,-35.5138
3040,25.0487,25.0487,-3.30375,26.6838,-18.2491
2576,57.3129,57.3129,-12.7276,-1.87804,23.4358
3600,166.996,166.996,11.0492,16.8627,6.07302
2832,168.977,168.977,-4.60437,35.5259,-27.8255
2704,161.998,161.998,-9.74268,2.36839,3.60907
3728,325.473,325.473,16.1875,47.84,-4.82193
3472,106.819,106.819,7.39458,23.6621,-18.5164
2640,80.8465,80.8465,-9.63947,50.601,-5.08797
3408,126.098,126.098,5.99702,-12.8475,19.0262
2896,116.123,116.123,-4.22926,18.973,-18.6041
3280,125.008,125.008,3.56716,23.3671,-4.1018
2768,31.0805,31.0805,-7.7259,-22.1111,20.8976
2512,255.145,255.145,-12.5219,12.5797,-9.98944
3024,139.59,139.59,-1.08863,35.9856,1.26347
48,455.228,455.228,29.1141,-28.5378,23.2981
3120,179.208,179.208,-0.225056,40.4258,14.7955
3632,139.684,139.684,12.4752,-2.18188,23.3802
2224,120.084,120.084,-23.7495,-11.5668,18.9895
2736,142.129,142.129,-8.9749,39.4813,-13.0787
2480,124.496,124.496,-15.7112,50.4008,-9.54482
3184,78.6777,78.6777,0.913382,31.5659,-17.7274
2672,132.723,132.723,-10.4828,9.36854,14.4299
3440,114.768,114.768,7.34344,45.5242,-0.154037
3312,143.414,143.414,3.59588,27.2418,-19.977
2800,179.77,179.77,-6.10775,17.5743,-14.6214
2544,152.267,152.267,-13.531,19.6851,-6.04566
3568,166.269,166.269,10.8247,49.9782,-5.84317
3056,334.475,334.475,0.916553,42.3059,-15.3273
2312,223.513,223.513,-19.1651,24.0039,5.34101
2824,113.646,113.646,-6.02357,-0.387355,26.5391
3208,37.1855,37.1855,0.832651,39.7374,-4.59944
2696,159.183,159.183,-8.68101,35.2398,-2.82144
2440,122.084,122.084,-15.9615,8.03554,13.9342
3464,174.133,174.133,6.78264,36.1991,-11.4747
2952,283.685,283.685,-1.01489,32.3995,-32.0459
3976,111.078,111.078,24.07,-9.89449,25.6106
2120,185.336,185.336,-27.7802,-9.44039,22.9909
2376,118.943,118.943,-17.3378,-6.88686,20.5135
