Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
3072,81.6962,81.6962,-0.635004,-4.05725,45.6901
2560,288.582,288.582,-9.89812,36.5639,7.94696
3328,48.6444,48.6444,3.46758,50.5804,-16.5094
2816,176.004,176.004,-4.73414,30.8183,17.8569
2432,171.799,171.799,-16.337,-13.9853,32.9434
3456,121.998,121.998,6.60766,3.48754,13.4532
3136,347.153,347.153,4.27316,-16.0357,32.5198
2880,216.228,216.228,-4.89035,11.1802,15.9691
3264,149.208,149.208,3.22353,1.84389,14.1729
2752,115.564,115.564,-9.12406,-6.76778,39.711
2592,61.1131,61.1131,-11.7202,43.9426,-6.93381
3232,248.416,248.416,3.87226,-12.7871,27.344
3744,93.5335,93.5335,14.9809,-4.61574,25.3127
2464,106.689,106.689,-15.2556,60.38,-15.0426
2976,93.1463,93.1463,-3.18618,-14.0235,3.61042
3168,73.7394,73.7394,0.397086,-7.3532,37.3766
2656,64.115,64.115,-10.7207,39.6776,-17.8885
3680,362.917,362.917,14.3929,36.5307,-25.5067
2912,306.327,306.327,-3.76782,14.5176,-24.2448
2784,617.062,617.062,-5.40761,25.1881,-35.5581
3040,8.52972,8.52972,-3.33204,26.6861,-18.2275
2576,33.0809,33.0809,-12.7618,-1.8595,23.4369
3600,168.111,168.111,11.0704,16.8425,6.12568
2832,145.634,145.634,-4.61388,35.5627,-27.8626
2704,140.175,140.175,-9.74685,2.28987,3.65297
3728,400.761,400.761,16.255,47.7984,-4.86418
3472,76.4191,76.4191,7.44821,23.6947,-18.4143
2640,49.3999,49.3999,-9.72176,50.5654,-5.0624
3408,94.4244,94.4244,5.97165,-12.8243,18.8984
2896,86.6464,86.6464,-4.34296,18.8991,-18.635
3280,87.8104,87.8104,3.54893,23.4769,-4.07114
2768,-184.194,-184.194,-5.68304,-16.5907,15.2622
2512,296.895,296.895,-12.5272,12.483,-9.91128
3024,113.121,113.121,-1.09375,35.9327,1.29711
48,53.3218,53.3218,106.901,-90.6049,91.8758
3120,173.522,173.522,-0.179907,40.4696,14.8451
3632,122.552,122.552,12.4777,-2.21839,23.3541
2224,96.3875,96.3875,-23.8317,-11.5234,18.96
2736,100.964,100.964,-8.97428,39.4251,-13.0873
2480,99.7683,99.7683,-15.7656,50.4128,-9.55217
3184,50.0415,50.0415,0.931474,31.549,-17.71
2672,118.133,118.133,-10.4914,9.39625,14.3807
3440,86.0767,86.0767,7.40007,45.5654,-0.194276
3312,121.653,121.653,3.5997,27.242,-19.8839
2800,173.89,173.89,-6.12186,17.5993,-14.6539
2544,142.399,142.399,-13.556,19.6874,-6.07841
3568,134.512,134.512,10.9536,49.9726,-6.00976
3056,382.189,382.189,0.953249,42.3514,-15.2043
2312,230.424,230.424,-19.2724,23.9152,5.32741
2824,89.5896,89.5896,-6.03519,-0.337782,26.5879
3208,16.4408,16.4408,0.825917,39.7106,-4.597
2696,133.915,133.915,-8.64952,35.2905,-2.72918
2440,100.086,100.086,-16.0197,8.03732,13.9458
