Label, Parent Label
2560,2
3328,5
2816,1
3456,7
2880,7
3264,7
2592,5
2464,5
2976,7
2656,5
3680,2
2912,1
2784,1
3040,6
2576,7
3600,1
2832,3
2704,7
3728,2
3472,6
2640,5
3408,7
2896,6
3280,6
2512,1
3024,3
3120,1
3632,7
2736,5
2480,5
3184,6
2672,7
3440,3
3312,6
2800,10
2544,10
3568,3
3056,5
2312,1
2824,7
3208,5
2696,3
2440,7
3464,6
2952,2
2376,7
3400,3
2888,5
3112,7
2600,7
3624,6
2344,1
2856,6
2728,4
2472,3
3176,7
2664,10
3688,2
2408,1
2920,7
3304,5
2536,4
3048,3
2584,5
3352,7
2840,7
3864,1
2712,7
2456,3
3480,6
3672,7
2904,7
2776,5
3544,1
3032,6
3128,7
2616,10
3640,6
2872,7
2744,1
2488,3
3000,7
2680,7
3704,1
3448,4
2808,7
3576,6
3076,10
2564,10
3588,2
2308,1
3204,6
3716,6
3460,6
3652,7
3268,3
2500,1
3524,6
3108,7
3364,10
2980,5
3172,6
3428,7
3300,7
3556,6
3092,3
3220,7
2964,1
3988,1
3156,7
3668,2
2772,7
3540,7
2356,1
3380,6
2740,7
3508,7
3188,7
3700,7
2420,7
3444,3
2932,5
3316,2
2804,5
2548,10
3060,1
3084,7
2572,5
3340,7
3852,1
3212,7
3468,7
2956,7
3404,4
3916,1
3276,6
2764,2
2508,7
3532,1
3116,7
2860,3
3756,1
2476,7
2988,7
3436,4
2924,1
2796,5
2540,10
3100,6
3612,3
2332,1
2844,2
3868,1
3228,6
2972,6
2652,1
2908,5
3292,6
2524,5
3036,5
3132,6
3388,1
2876,2
3260,3
3772,1
3516,1
3196,2
2684,3
3708,1
2940,7
3580,6
3074,5
3586,1
2306,7
2818,7
3842,1
3202,5
2946,7
3650,3
2882,7
3906,1
3778,2
3106,10
3618,2
3362,5
2722,7
2466,7
3490,7
2658,2
2402,7
3426,2
3298,6
2786,7
2530,2
3554,4
3346,6
2834,6
3218,1
3474,7
2962,6
3154,6
2642,2
3666,3
2386,1
3922,1
3282,1
3794,2
2514,5
3122,7
2610,1
3378,3
2738,7
2482,7
2994,2
3186,7
2418,3
3442,1
2930,5
3826,1
3058,6
2570,7
3338,6
3210,6
2698,1
3466,1
2954,7
2634,7
2890,5
3274,3
2506,1
3018,6
3114,6
3882,1
3242,6
2474,10
3498,7
2986,6
2410,7
3434,6
3050,2
3098,4
2586,7
3354,7
3482,1
2970,5
3162,5
2650,5
3290,5
2778,7
3130,4
2618,7
3642,7
3386,6
2746,7
3514,6
2426,7
3450,6
3066,5
3078,6
3590,6
2822,5
2694,5
3462,1
3142,6
2374,3
3398,4
2502,7
3110,7
2598,4
3366,7
2854,3
3238,7
3750,1
3174,1
2406,3
2918,5
2790,2
3558,7
3094,6
3606,1
2838,6
3222,7
2966,7
3158,7
2902,7
3798,2
3126,6
2614,5
2870,3
3254,5
2998,6
2678,5
3446,7
2934,1
3318,7
2806,6
2550,7
2574,10
3598,3
2830,5
2446,3
3406,6
2894,5
2510,1
3534,7
3118,5
3630,6
2862,7
3182,4
2670,5
3694,3
2798,10
3566,1
3614,7
2334,1
2846,6
3230,6
2974,7
3166,6
3678,3
2398,7
2910,7
3294,7
3806,2
2526,1
3038,5
3134,7
2366,2
2878,10
3262,6
2750,10
3518,7
2686,3
3710,1
2430,5
3070,5
2561,7
3585,2
3329,4
2817,10
3841,2
3201,5
2433,1
3457,7
2945,7
2625,7
2881,7
3105,3
2593,3
3361,3
2721,4
2465,5
3489,4
2657,3
2401,7
3425,5
2913,1
2785,10
3041,6
2833,6
3857,7
2705,7
3473,7
2961,5
2641,5
2385,2
3921,1
3281,7
3025,6
3121,7
2353,2
3377,5
3249,7
2737,10
2481,10
3185,6
2673,7
2417,5
3441,6
2545,1
3057,5
2569,7
3209,6
