Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
4608,72.5558,72.5558,46.6801,2.53126,-0.354772
5632,204.788,204.788,76.9538,38.8671,15.3278
5376,287.186,287.186,69.1932,23.171,9.4306
5248,143.695,143.695,64.0656,30.9798,22.2512
4736,125.296,125.296,49.8463,10.8773,39.0179
4992,115.739,115.739,57.1607,3.90803,-22.8566
5184,74.0801,74.0801,61.5044,25.8288,38.7984
4672,182.212,182.212,50.5968,19.2388,6.21454
5440,242.737,242.737,71.12,-0.00373514,47.9474
4928,168.926,168.926,55.5774,8.81062,0.971173
5568,204.331,204.331,74.8344,31.3222,42.1035
5056,165.25,165.25,58.9476,1.69844,4.8312
4640,313.058,313.058,49.6184,2.09254,-28.1671
5664,219.732,219.732,79.0911,8.43932,-7.41104
4384,125.526,125.526,40.4472,18.9388,27.6711
4896,196.976,196.976,54.7819,10.0917,41.3363
5280,134.584,134.584,64.3988,13.107,-1.50166
4768,157.952,157.952,52.4799,17.7984,23.2458
5024,65.7735,65.7735,59.4262,8.34226,50.0392
4448,101.976,101.976,41.7995,2.19924,-26.5518
5472,275.386,275.386,71.1718,8.00884,-14.328
5856,182.224,182.224,87.6726,32.4954,32.7722
4576,136.202,136.202,45.5399,5.73257,-14.401
5600,161.702,161.702,75.9133,12.4761,-8.37122
5088,164.598,164.598,60.5238,23.7807,15.6652
5136,91.8984,91.8984,60.4222,18.5587,-10.4977
5392,218.97,218.97,69.0094,-6.12266,11.9004
4880,111.754,111.754,53.5932,24.0547,40.8358
4752,130.574,130.574,52.2103,-1.2223,-28.5
4688,114.746,114.746,48.5337,22.3598,40.6199
4816,163.538,163.538,52.3086,20.4393,-1.99134
4560,178.56,178.56,45.9755,19.8667,-11.2448
5072,211.892,211.892,61.0013,9.76543,-19.5375
5168,103.661,103.661,61.624,33.8463,32.3664
4400,223.884,223.884,42.6384,25.8388,5.83719
5424,335.987,335.987,71.6904,-3.30233,-7.3062
4912,88.6113,88.6113,54.2431,15.7056,-23.9784
4272,270.508,270.508,37.5123,-0.89985,14.5108
5296,115.705,115.705,65.4719,5.52622,35.6163
5808,268.949,268.949,86.0106,38.0623,28.0898
4528,94.4394,94.4394,44.6071,20.7547,-20.3622
5040,113.68,113.68,58.8132,5.1059,5.43174
4464,15.5074,15.5074,41.6461,-5.1019,9.96545
5488,251.707,251.707,73.6659,-6.20048,6.7645
4976,132.758,132.758,57.4187,21.3318,17.3636
5360,216.698,216.698,68.2134,0.0674723,-1.37835
4848,168.105,168.105,52.668,22.1695,35.0387
5104,76.9503,76.9503,60.9317,36.5889,49.7611
5128,44.337,44.337,60.3926,29.3177,31.6256
5640,169.193,169.193,78.8483,34.6608,34.1945
4360,155.356,155.356,40.8479,18.4308,11.5425
5384,253.719,253.719,68.8207,14.6504,13.6417
5256,100.848,100.848,63.7647,16.3645,-2.81091
4744,219.458,219.458,52.7431,12.12,-21.4322
4488,261.841,261.841,45.0618,27.2321,-14.5351
5512,179.11,179.11,72.5759,5.64096,-18.5398
5192,504.661,504.661,66.1016,30.935,-1.96909
4680,176.528,176.528,48.3724,30.0353,42.3707
4424,193.361,193.361,43.5077,-0.443042,-11.3967
5448,235.567,235.567,72.9857,-1.53959,1.52293
4552,114.809,114.809,45.6725,15.1201,19.709
5672,138.613,138.613,78.5551,31.0658,39.3239
4392,157.579,157.579,42.0254,-1.72456,-8.27623
5416,127.06,127.06,69.9367,33.1245,27.2961
4904,175.611,175.611,54.9436,11.46,21.868
4520,655.5,655.5,49.1218,5.49437,-27.8665
5544,32.4118,32.4118,71.9608,6.2465,-8.81144
5032,294.565,294.565,58.9319,10.8923,-13.4334
4712,653.645,653.645,52.6483,27.8473,-13.5633
5480,149.246,149.246,70.5274,26.8136,32.0456
4968,233.267,233.267,58.6249,-9.40447,6.86421
4840,186.045,186.045,53.7751,4.03623,-33.7359
5864,102.762,102.762,87.3853,28.5613,47.5036
5096,140.518,140.518,60.5563,8.35451,0.740731
5144,194.287,194.287,62.295,-7.46142,12.1525
4632,110.285,110.285,47.4952,17.7362,-0.457207
5656,160.425,160.425,77.3847,36.564,45.1141
5912,145.781,145.781,90.5379,31.1586,37.4396
5272,209.892,209.892,65.6152,-1.63219,15.7772
5528,168.76,168.76,72.6382,35.6201,46.3224
5016,69.5759,69.5759,57.3519,17.216,35.0281
