Label, Parent Label
4608,2
5376,1
5248,7
4736,7
4992,5
5184,7
4672,6
4928,6
5056,10
4640,5
5664,2
4384,7
4896,7
5280,6
4768,7
4448,5
5472,3
4576,5
5600,2
5088,1
5136,4
5392,1
4880,7
4752,5
4688,7
4816,2
4560,3
5072,5
4400,1
5424,2
4912,5
4272,1
5296,7
4528,3
5040,6
4464,1
5488,1
4976,1
5360,2
4848,7
4360,1
5384,1
5256,6
4744,5
4488,2
5512,3
5192,1
4424,4
5448,6
4552,7
4392,3
4904,7
4520,5
5544,3
5032,5
4712,2
4968,1
4840,5
5096,6
5144,1
4632,2
5272,1
5016,7
5464,3
4952,5
4312,7
5176,6
4664,7
4920,5
4280,1
5304,5
4792,4
4536,5
4216,1
4472,7
4344,10
5368,2
4356,2
5380,7
4228,1
4484,1
5508,1
4996,7
5444,1
5060,10
5156,1
4260,1
4516,7
5028,6
5220,5
4580,7
5140,6
4372,10
5268,2
4756,5
4500,7
4948,5
4660,6
4916,3
5236,6
4724,2
4852,4
4596,5
4620,7
4236,1
4492,1
5004,6
4684,6
4428,2
4940,6
4300,1
4812,10
4556,1
5164,7
4652,7
4908,6
4268,1
5292,1
4780,7
5548,7
5036,3
4460,7
4972,7
4588,3
5612,1
5404,3
4892,6
4764,3
4508,10
4700,1
4444,5
4956,7
5340,7
5084,7
5180,7
5244,7
4732,5
4476,10
4988,6
4348,10
4860,6
4604,3
5116,2
5122,1
5634,1
4354,1
5378,7
4866,6
4226,1
5250,7
4738,7
4482,2
5186,7
4674,5
4418,1
4930,5
4802,2
4546,4
5058,7
5410,2
4898,7
4514,2
5346,6
4834,4
5090,6
4626,5
4370,3
5394,2
4882,7
4498,2
5010,4
5202,7
4690,3
5458,1
4946,2
4562,2
5170,10
5298,4
4530,5
5042,4
5234,7
4722,7
4466,5
4978,5
4338,7
4594,5
5106,7
5130,7
4618,1
4362,3
5386,2
4746,4
4490,2
5002,3
5194,7
4682,4
4810,5
4650,1
5418,7
5290,6
4522,4
4202,1
4714,6
5738,1
4970,6
4586,1
4634,5
5658,1
5402,6
4890,7
4250,1
5530,1
5018,7
5210,2
4442,7
5466,1
4826,7
5178,6
4666,7
5690,1
4922,1
4282,7
4794,6
4474,3
4986,6
4858,1
5638,1
4870,7
4742,7
4678,1
4422,7
4934,10
4294,7
5318,7
4390,7
4902,7
5286,7
4774,3
4518,7
5030,6
4710,7
4454,3
5350,4
4582,5
5606,3
5142,2
4886,7
5270,10
4758,5
5014,7
5206,2
4694,5
4438,7
5462,1
4950,6
5334,4
4822,7
4566,7
5590,6
5078,6
5174,7
4406,4
4918,6
4278,2
4790,7
4534,7
4726,10
5494,7
4342,7
5366,7
5110,6
4750,6
4686,10
4430,2
4942,7
4814,7
4654,1
4398,10
4782,7
5038,6
4462,5
4974,6
4846,7
4590,6
5614,2
5102,7
4638,7
4894,7
4766,5
4510,1
5022,7
5214,4
4702,7
5470,2
4318,1
4830,6
4574,7
5598,1
5182,1
4670,2
4414,7
4926,6
5310,2
5054,3
5246,7
5502,1
4606,7
5118,7
5121,1
5377,7
4865,7
4225,1
5249,2
4737,4
4993,10
5185,7
4673,7
5441,10
4929,6
4289,7
5569,7
5057,5
4385,7
4897,6
5281,1
4769,7
5025,7
4449,10
4961,7
4577,5
5089,7
5137,7
4625,1
4369,3
4881,6
4241,2
4753,3
4497,7
5009,7
4689,5
5457,2
5329,6
4817,5
4561,4
5585,1
5169,7
4913,1
5297,3
4529,7
5041,4
4977,7
4337,1
4849,5
4593,7
5105,7
5129,7
5641,1
4361,7
5385,2
5257,2
4745,10
4489,3
5513,6
5193,7
4681,6
4553,1
5673,1
4393,1
5417,7
4905,6
4521,5
5033,7
4713,4
5481,7
4329,7
5097,7
4633,7
5529,7
5017,2
5209,7
4953,5
4825,1
5081,4
5177,7
4665,7
4921,7
4281,1
5305,3
4793,6
4537,5
4473,7
5497,6
5125,10
4869,7
4997,7
5445,2
4293,2
5157,7
5285,7
5029,4
5221,7
4709,7
5733,1
4453,4
5349,7
4581,7
5141,7
4885,1
5269,7
4757,5
5205,6
4693,7
4949,10
4309,7
4821,7
4405,7
4917,7
4277,1
4789,1
4853,6
5109,6
4621,5
4877,7
5261,7
4749,5
5517,2
5005,5
4685,7
4429,7
4557,10
4653,5
4909,7
4781,6
5037,7
4461,7
4973,7
4589,2
5613,7
4637,6
4381,7
5405,6
4893,6
4765,6
4509,7
5213,7
4701,7
5469,6
4957,7
5341,1
4829,7
5085,7
4413,4
5053,7
5757,1
5501,7
4861,7
4605,1
5117,6
5123,6
4355,7
5379,6
4739,7
4483,7
4995,6
5699,1
5443,7
4931,5
4803,7
4547,5
4643,5
4259,1
4515,7
5219,3
5475,1
5347,6
5091,7
4627,7
4371,1
5395,6
5267,3
4499,10
5203,6
5715,2
4563,2
4659,3
4275,7
4787,7
4531,1
5043,3
4723,6
4467,7
4851,7
4595,4
5107,4
5131,1
4619,4
4363,2
4491,7
5515,1
5003,6
5195,7
4683,5
5451,1
4939,7
4299,7
4811,6
5163,1
4651,7
4267,1
5291,3
4779,7
5739,1
4459,7
4971,2
5355,7
4587,7
4635,3
4379,10
5403,7
4891,6
4507,1
4443,5
4315,3
5339,3
5595,1
5179,5
5435,7
4283,1
4795,7
5051,7
4731,2
4475,7
4987,7
5371,6
4859,7
5627,1
5115,1
5639,2
4871,7
5255,1
4743,6
5511,1
5703,1
4423,5
5447,3
4935,7
5319,6
4551,1
5159,5
4391,3
4903,6
4519,10
5543,6
5031,6
4711,7
4455,7
4967,7
4839,5
4583,10
5607,2
5095,7
5143,7
5271,10
5783,1
5015,6
4695,3
5463,6
4951,5
5335,3
4567,5
5591,1
5079,6
5175,7
4407,1
5431,6
4919,7
4791,7
4535,7
4727,2
4471,1
4343,3
4855,6
4599,6
5623,2
5135,6
4879,1
4751,6
4815,3
5071,7
5679,1
4399,1
4911,4
4783,10
4527,7
5551,2
5039,5
5231,7
4463,7
4847,7
4591,7
5151,5
4639,6
5279,7
4767,7
5023,7
5215,4
5471,2
4575,2
5087,7
5183,2
4671,7
4415,3
4927,6
5055,1
5247,6
4735,7
4991,7
5375,2
4607,7
5119,5
