Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
512,178.663,178.663,24.9675,-7.01473,-12.8262
256,187.225,187.225,0.335008,-6.36906,-18.3396
640,225.901,225.901,34.7642,-0.803353,-7.70691
384,170.668,170.668,16.4365,1.24546,-36.1534
896,187.797,187.797,42.02,-2.67551,-25.14
1600,161.713,161.713,63.5444,8.22637,-13.677
320,92.3927,92.3927,9.22731,2.84255,-18.9251
544,115.861,115.861,26.6639,-3.53614,-18.657
288,120.366,120.366,4.48727,-11.9588,-17.2583
416,112.08,112.08,16.8893,-14.1832,-23.9988
1440,131.459,131.459,57.6047,9.04048,-12.0513
352,97.6605,97.6605,11.6746,-7.09797,-33.7017
1504,146.154,146.154,60.1226,-8.84349,3.11888
272,263.409,263.409,4.79359,5.87327,-27.9125
784,160.494,160.494,37.7953,-10.122,-15.5332
656,199.442,199.442,32.3419,-9.20694,-24.6475
400,182.962,182.962,16.8379,-19.8936,-24.1233
1424,110.022,110.022,56.8084,-14.4432,-14.2478
592,155.306,155.306,30.7458,-4.56236,-5.02849
336,84.4231,84.4231,10.5703,-14.6102,-22.3177
464,232.519,232.519,23.903,-21.0112,-13.1053
560,209.294,209.294,28.5577,3.1197,-28.5327
304,176.94,176.94,7.83629,-23.1148,-37.2731
688,134.891,134.891,35.0452,-2.1338,-12.5595
1712,46.4884,46.4884,64.7354,-11.8744,2.29458
432,204.828,204.828,20.6805,-12.8695,-0.163137
1136,136.411,136.411,50.0607,-10.6553,-6.4274
368,290.833,290.833,14.4863,13.5894,-14.731
880,190.19,190.19,46.9723,-4.37841,-11.4256
240,175.222,175.222,-2.47025,-16.5694,-17.0601
752,167.514,167.514,38.0364,-12.459,-27.5511
1008,170.185,170.185,46.8775,7.69569,-16.9331
520,107.532,107.532,24.5724,-7.42668,-6.5284
264,135.531,135.531,1.63366,-20.434,-24.608
392,79.7862,79.7862,15.4255,-0.114019,-24.0459
328,185.869,185.869,10.1832,-9.74226,-27.881
456,134.184,134.184,19.979,-7.73518,-14.7025
1064,189.266,189.266,47.4537,3.80291,-21.9553
296,93.8205,93.8205,6.12031,-7.73412,-24.6027
424,161.676,161.676,19.6909,2.50137,-17.3533
360,63.5599,63.5599,11.6214,-8.28104,-17.8768
232,329.334,329.334,-5.10614,-4.05301,-20.6058
488,182.874,182.874,23.8155,1.76758,-24.163
280,287.202,287.202,6.70814,2.34585,-36.0871
664,267.794,267.794,33.4265,6.82522,-31.3336
1688,147.689,147.689,64.7639,-9.35544,-0.758436
408,130.595,130.595,16.9129,-9.24936,-17.1175
600,254.802,254.802,30.0675,-6.63926,-0.240053
344,149.399,149.399,12.3249,-4.13786,-19.3394
