Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
512,168.578,168.578,25.0049,-7.0032,-12.789
256,180.815,180.815,0.311416,-6.36033,-18.2683
640,226.946,226.946,34.6346,-0.786799,-7.73006
384,157.923,157.923,16.4361,1.29493,-36.1893
896,200.379,200.379,42.0547,-2.66232,-25.1209
1600,162.181,162.181,63.5988,8.25321,-13.6809
320,61.2951,61.2951,9.24615,2.83111,-18.9172
544,89.4204,89.4204,26.689,-3.50017,-18.6384
288,89.2614,89.2614,4.48546,-12.0265,-17.2824
416,65.2161,65.2161,16.8404,-14.2884,-24.24
1440,114.799,114.799,57.5868,9.09418,-12.1504
352,69.7353,69.7353,11.6295,-7.08555,-33.7606
1504,139.391,139.391,60.1446,-8.90242,3.19677
272,284.946,284.946,4.78579,5.83764,-27.9453
784,150.799,150.799,37.7974,-10.1014,-15.5335
656,196.616,196.616,32.375,-9.21503,-24.7448
400,161.404,161.404,16.8072,-19.9034,-24.1301
1424,91.209,91.209,56.8133,-14.4761,-14.2518
592,132.155,132.155,30.8092,-4.60376,-5.09202
336,49.9566,49.9566,10.631,-14.6086,-22.4206
464,239.055,239.055,23.8931,-21.0408,-13.0107
560,214.379,214.379,28.5072,3.16231,-28.5231
304,138.666,138.666,7.80583,-23.1099,-37.429
688,110.173,110.173,35.0709,-2.11671,-12.5006
1712,-139.014,-139.014,46.331,-8.71881,2.61337
432,227.456,227.456,20.6264,-12.9011,-0.0905157
1136,110.632,110.632,50.0454,-10.6409,-6.44334
368,328.628,328.628,14.4144,13.5927,-14.5589
880,124.656,124.656,47.0224,-4.39555,-11.44
240,176.234,176.234,-2.5471,-16.5757,-17.0069
752,168.522,168.522,38.035,-12.5079,-27.6328
1008,169.127,169.127,46.952,7.74622,-16.9043
520,79.2464,79.2464,24.5778,-7.41839,-6.56008
264,99.0018,99.0018,1.50326,-20.3704,-24.5958
392,45.1127,45.1127,15.5396,0.0211963,-23.9466
328,178.285,178.285,10.2566,-9.76778,-27.8081
456,99.2785,99.2785,20.025,-7.78969,-14.7626
1064,204.696,204.696,47.4373,3.83088,-22.0339
296,57.947,57.947,6.06484,-7.77006,-24.6232
424,138.507,138.507,19.855,2.53418,-17.293
360,33.0508,33.0508,11.6605,-8.1814,-17.8603
232,387.408,387.408,-5.00299,-3.97366,-20.592
488,169.36,169.36,23.8744,1.79033,-24.1115
280,323.041,323.041,6.72824,2.34489,-36.0486
664,327.461,327.461,33.4027,6.80868,-31.3512
1688,133.502,133.502,64.7897,-9.30395,-0.680602
408,96.7317,96.7317,16.9314,-9.24583,-17.0911
600,302.581,302.581,30.1684,-6.74566,-0.303703
344,103.956,103.956,12.1581,-4.28793,-19.5144
1240,274.111,274.111,56.9505,-6.33451,-3.16984
312,39.6853,39.6853,8.64704,-23.1704,-13.8881
440,83.2887,83.2887,20.276,-1.45383,-11.0844
952,125.114,125.114,44.83,0.151218,-15.2104
376,426.791,426.791,16.4836,-5.00525,1.83581
248,222.675,222.675,1.12205,-17.1314,-7.33914
516,129.152,129.152,23.7701,-13.644,-26.6043
260,175.517,175.517,0.965811,-15.7686,-19.0984
1796,134.253,134.253,68.1195,9.1778,-9.21981
1092,112.838,112.838,46.8657,-10.972,-22.3609
324,181.518,181.518,10.3875,6.43653,-19.2799
452,174.311,174.311,22.3885,8.7707,-22.9638
1060,221.187,221.187,47.8757,-2.66253,-20.7188
548,166.872,166.872,26.7402,-12.0771,-1.00414
292,74.151,74.151,5.38594,0.905648,-20.6733
676,431.57,431.57,36.4572,8.63784,-12.0342
420,130.569,130.569,18.5949,-15.1103,-10.0831
932,184.286,184.286,44.9161,7.53519,-4.62651
1956,-16.7634,-16.7634,51.5538,-4.72834,3.7418
356,122.562,122.562,13.7854,3.88948,-25.6361
228,503.068,503.068,-6.50976,1.54418,-16.6931
484,374.424,374.424,24.0032,16.2904,-9.32269
1044,103.422,103.422,46.0424,-0.144496,-27.7234
276,172.616,172.616,4.49573,-2.37135,-35.2299
404,355.994,355.994,16.8209,9.96073,-4.28753
340,75.6184,75.6184,10.8661,-17.955,-35.5169
468,57.2747,57.2747,20.53,-5.15855,-23.5103
308,58.3581,58.3581,8.67816,-24.7845,-26.1415
1332,171.688,171.688,56.6752,-1.36136,-1.28652
692,137.235,137.235,34.8872,-15.2372,-8.22104
436,58.6155,58.6155,19.1801,3.12372,-26.8482
372,109.118,109.118,13.1418,-14.1448,-27.4302
244,154.464,154.464,-1.49332,-17.5547,-32.5442
1268,110.556,110.556,53.1314,8.08418,-14.3925
500,153.078,153.078,22.1912,-18.0853,-32.0399
524,176.015,176.015,24.9639,-18.4149,-21.9125
1548,17.6386,17.6386,59.8902,1.67236,3.44713
268,552.693,552.693,6.34567,7.52258,-35.7132
1292,235.923,235.923,54.4286,-6.28022,-15.7979
1420,166.047,166.047,57.7645,-15.2658,-8.62624
332,110.356,110.356,10.3235,-3.64224,-10.989
460,148.877,148.877,20.4181,-10.5937,-26.8438
1484,123.338,123.338,59.639,0.672993,-9.61332
1068,156.698,156.698,46.9845,-11.1167,-12.9502
556,177.029,177.029,30.525,4.90776,-16.0707
300,47.8403,47.8403,7.06153,-27.0956,-28.9382
428,207.465,207.465,19.8248,7.83182,-11.4596
940,61.5272,61.5272,41.586,-8.67192,-2.34311
364,386.665,386.665,15.4286,0.561952,-41.2573
236,917.101,917.101,-0.0103487,8.35865,-11.0079
748,232.412,232.412,38.6343,2.99769,-5.38685
540,38.5929,38.5929,24.9552,-3.82696,-10.577
284,263.124,263.124,5.77485,-2.61646,-9.14007
1308,129.467,129.467,54.7865,0.723133,-22.8257
412,97.0979,97.0979,17.2915,-24.2052,-25.261
1116,128.244,128.244,50.1169,3.69031,-4.16312
348,43.7916,43.7916,10.5828,-3.59559,-39.4068
1500,227.716,227.716,61.0561,-5.41431,-12.9012
572,132.886,132.886,27.3375,-9.33684,-35.1846
316,76.4381,76.4381,9.2459,-21.7328,-23.6249
828,60.2156,60.2156,39.2145,-5.38555,-14.3331
700,250.208,250.208,36.0626,1.27122,-21.9439
444,112.823,112.823,19.1011,-18.8309,-32.1189
636,174.93,174.93,32.1908,-2.5895,-35.9572
380,83.0044,83.0044,16.2071,0.666631,-10.5113
252,704.934,704.934,2.18879,-23.6582,-34.4372
1020,82.9057,82.9057,44.8257,-13.6424,-6.54842
514,170.322,170.322,26.3369,8.48825,-16.3495
258,2.35359,2.35359,-1.35874,-19.7978,-27.7945
1282,142.004,142.004,54.0912,-13.9877,-4.14717
1666,150.79,150.79,63.1677,-9.55058,-16.6279
386,65.8907,65.8907,15.2858,-13.9013,-16.7113
578,77.407,77.407,27.4348,-6.1769,-20.9214
