Label, Parent Label
512,6
256,3
640,6
384,2
896,7
1600,7
320,3
544,6
288,4
416,5
1440,7
352,4
1504,7
272,2
784,10
656,10
400,4
1424,7
592,6
336,5
464,1
560,10
304,5
688,6
1712,7
432,1
1136,7
368,1
880,7
240,3
752,1
1008,7
520,6
264,5
392,4
328,5
456,6
1064,7
296,5
424,6
360,5
232,2
488,6
280,2
664,1
1688,7
408,6
600,1
344,6
1240,7
312,3
440,6
952,7
376,1
248,1
516,3
260,4
1796,7
1092,7
324,2
452,6
1060,7
548,1
292,3
676,1
420,2
932,7
1956,7
356,3
228,1
484,1
1044,7
276,3
404,1
340,5
468,4
308,5
1332,7
692,1
436,2
372,5
244,5
1268,7
500,3
524,2
1548,7
268,1
1292,7
1420,7
332,3
460,4
1484,7
1068,7
556,6
300,5
428,6
940,7
364,1
236,1
748,7
540,6
284,2
1308,7
412,3
1116,7
348,3
1500,7
572,2
316,5
828,7
700,10
444,4
636,1
380,6
252,5
1020,7
514,6
258,5
1282,7
1666,7
386,4
578,2
1602,7
322,5
1346,7
1218,7
450,2
546,1
290,3
674,1
418,1
1122,7
610,10
354,3
482,6
994,7
530,3
274,5
1810,7
402,4
914,7
1618,7
338,2
1874,7
466,6
562,10
306,3
1458,7
626,1
1650,7
370,4
242,5
498,6
266,3
778,7
1802,7
650,1
1674,7
394,10
906,7
330,2
842,7
1738,7
458,3
554,2
298,1
426,4
362,5
234,2
746,7
490,2
2074,7
538,6
282,3
410,6
922,7
346,5
1882,7
314,5
442,5
1146,7
634,6
378,3
250,2
762,1
1030,7
262,5
1286,7
774,1
646,1
390,5
582,10
326,3
1350,7
454,6
550,2
294,1
1190,7
934,7
358,1
230,2
1558,7
278,4
1302,7
1174,7
1686,7
598,1
342,1
726,1
566,10
310,4
438,3
374,5
246,3
758,7
1526,7
270,5
654,6
398,6
910,7
1614,7
334,3
718,10
302,4
1326,7
1198,7
430,6
1454,7
366,1
238,1
494,3
1518,7
286,2
414,6
350,4
862,7
1246,7
734,1
1502,7
2014,7
318,3
1214,7
1726,7
446,4
382,6
254,2
1025,7
513,3
257,3
1665,7
385,5
1601,7
321,6
449,6
289,4
1185,7
673,10
417,6
1441,7
353,1
481,6
529,1
273,3
337,1
1745,7
465,1
561,6
1585,7
305,3
433,2
1649,7
369,5
1393,7
241,1
1777,7
497,6
1009,7
265,5
1161,7
393,4
329,1
553,1
297,5
425,3
1449,7
617,2
361,5
233,1
489,6
2073,7
1049,7
537,6
281,4
665,1
1689,7
409,3
601,1
345,3
313,1
825,1
441,6
953,7
633,1
377,6
249,5
1785,7
517,3
1541,7
261,1
645,2
389,6
901,7
581,1
325,4
1061,7
549,10
293,5
613,6
357,4
229,1
485,6
533,2
1557,7
277,1
1301,7
1173,7
405,6
341,5
1237,7
725,7
309,4
1333,7
1205,7
437,3
373,3
245,1
1269,7
525,1
269,3
653,6
397,1
333,4
1357,7
717,6
685,1
429,6
941,7
365,1
237,3
493,1
1517,7
285,5
1309,7
605,1
349,3
1245,7
477,1
2013,7
1085,7
317,3
1853,7
1725,7
445,6
637,10
1661,7
381,6
253,5
509,6
515,6
259,4
387,5
1411,7
579,1
323,1
1347,7
451,1
547,6
291,5
419,2
355,5
867,7
227,1
739,10
483,10
995,7
531,3
1555,7
275,5
1811,7
659,1
403,6
595,10
339,2
467,2
307,5
1843,7
371,3
243,3
499,3
523,2
267,4
779,1
1803,7
651,6
395,5
1419,7
587,6
1611,7
331,6
843,7
1227,7
1739,7
459,1
1067,7
299,5
427,1
363,1
235,1
491,1
539,6
283,3
667,6
411,3
923,7
347,6
315,4
443,5
1147,7
379,3
251,2
763,10
507,1
519,6
263,5
1287,7
583,6
327,3
455,3
1575,7
295,2
679,6
423,4
2151,7
615,6
1639,7
359,6
871,7
231,1
487,3
999,7
279,5
791,7
1687,7
407,3
919,7
2135,7
599,6
343,3
727,10
471,1
567,1
311,1
439,2
631,1
375,4
887,7
247,2
503,2
1015,7
271,1
783,7
655,10
399,5
1423,7
335,1
303,4
1967,7
367,2
239,3
1263,7
495,3
287,3
415,6
2143,7
351,5
479,1
1503,7
319,2
1727,7
447,1
1471,7
383,6
255,2
1535,7
