Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
2560,111.176,111.176,83.5913,47.4279,2.51997
1280,346.993,346.993,55.3187,35.5239,31.3226
768,104.075,104.075,37.0512,2.45789,12.2667
1664,124.029,124.029,63.8412,37.5856,4.32656
2432,344.742,344.742,82.6559,35.1254,-5.50439
1088,222.242,222.242,47.9802,34.3814,5.71866
576,166.575,166.575,28.8621,-1.60211,6.48372
1344,232.935,232.935,55.5745,41.3482,24.3057
1216,118.972,118.972,50.7606,20.9586,24.1665
1472,290.954,290.954,60.6287,9.59857,15.7146
1568,189.38,189.38,61.7669,41.2417,22.0607
2208,172.868,172.868,76.2654,21.1829,-0.714171
1184,146.553,146.553,50.351,10.3006,17.4806
672,179.875,179.875,33.8334,17.3472,-2.66426
1120,291.499,291.499,49.3893,25.6736,27.1395
608,139.553,139.553,30.5921,19.1761,21.1261
2400,130.106,130.106,80.1518,44.5255,1.46302
480,143.976,143.976,22.8012,-3.68233,8.37498
2064,136.671,136.671,73.921,35.1963,-5.51493
528,316.736,316.736,27.6287,24.9433,27.9631
1680,259.658,259.658,64.8775,16.6766,22.9904
912,85.883,85.883,42.1023,26.5783,13.8697
2128,180.402,180.402,75.9845,30.3474,-4.86484
1872,146.277,146.277,69.7617,37.2121,4.81071
720,168.783,168.783,36.7983,25.9073,4.29564
1328,187.894,187.894,55.3072,22.8141,21.5484
944,126.88,126.88,43.4108,29.3988,14.7337
624,342.141,342.141,33.002,30.3742,17.5459
1648,183.536,183.536,63.5454,18.4355,11.8447
496,283.32,283.32,24.1053,21.0366,25.6054
2056,160.423,160.423,74.1598,33.2094,-10.1838
1032,110.981,110.981,46.2077,25.6136,23.0793
1160,179.041,179.041,49.8257,13.2562,6.55688
1864,159.215,159.215,70.3594,23.2898,4.13366
1224,194.184,194.184,53.2798,40.844,-0.225409
712,80.1857,80.1857,34.7933,20.2902,14.4273
1736,120.729,120.729,66.2792,36.2261,-0.537786
552,247.76,247.76,28.5375,25.5217,-0.300044
808,232.038,232.038,39.5555,11.8437,0.797694
1448,222.461,222.461,59.1506,18.5127,-6.51692
936,266.342,266.342,44.6418,41.9409,6.61487
1128,438.921,438.921,52.2059,9.61979,30.6576
616,133.533,133.533,30.6494,-4.40021,12.2547
2920,87.6331,87.6331,90.6009,29.4411,2.61527
1768,261.17,261.17,68.7583,30.601,-9.35825
1048,139.864,139.864,46.6328,5.08499,18.2897
536,105.701,105.701,25.3673,7.90895,14.8762
1304,58.5864,58.5864,53.2599,23.5846,16.5175
1624,119.444,119.444,63.3687,41.2013,-1.37436
856,231.37,231.37,43.2099,29.4131,1.99362
984,144.523,144.523,44.754,14.3689,19.5871
2104,39.5764,39.5764,72.9772,31.5061,2.379
