Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
2560,89.0128,89.0128,83.5683,47.4087,2.56112
1280,505.397,505.397,55.2661,35.5537,31.3714
768,65.6441,65.6441,37.1194,2.42943,12.0603
1664,102.256,102.256,63.8709,37.5984,4.28314
2432,420.398,420.398,82.7318,35.1191,-5.53355
1088,229.097,229.097,48.018,34.4783,5.70575
576,163.203,163.203,28.8498,-1.66515,6.46145
1344,275.013,275.013,55.6156,41.4161,24.3434
1216,94.7004,94.7004,50.7822,20.9339,24.2234
1472,337.524,337.524,60.7831,9.62831,15.7154
1568,206.65,206.65,61.7399,41.3103,22.0601
2208,178.579,178.579,76.344,21.1472,-0.674964
1184,122.148,122.148,50.3661,10.3329,17.4648
672,181.946,181.946,33.796,17.3722,-2.76248
1120,363.639,363.639,49.4376,25.7598,27.1163
608,106.868,106.868,30.6223,19.1644,21.1341
2400,107.407,107.407,80.2252,44.4985,1.61512
480,137.895,137.895,22.7711,-3.73587,8.41695
2064,115.246,115.246,73.8674,35.1909,-5.4749
528,404.204,404.204,27.5928,24.949,28.0393
1680,292.016,292.016,64.8935,16.5905,22.9422
912,48.103,48.103,42.0761,26.5686,13.786
2128,189.12,189.12,75.9977,30.3508,-4.87451
1872,121.797,121.797,69.7551,37.2155,4.74563
720,146.67,146.67,36.7219,25.959,4.32283
1328,183.452,183.452,55.4119,22.8246,21.6173
944,97.5472,97.5472,43.5008,29.4512,14.7382
624,390.82,390.82,32.9957,30.4515,17.586
1648,169.539,169.539,63.5384,18.4741,11.7735
496,332.271,332.271,24.0645,20.9964,25.7102
2056,148.528,148.528,74.1657,33.2188,-10.1779
1032,87.2609,87.2609,46.182,25.6328,23.0885
1160,142.271,142.271,49.8731,13.2435,6.60031
1864,148.313,148.313,70.406,23.2652,4.13076
1224,189.978,189.978,53.3099,40.8744,-0.260588
712,44.2657,44.2657,34.7276,20.2779,14.4565
1736,98.928,98.928,66.3379,36.2425,-0.548934
552,271.871,271.871,28.5496,25.4972,-0.426225
808,245.831,245.831,39.5221,11.7961,0.862646
1448,244.736,244.736,59.2149,18.4883,-6.68162
936,342.278,342.278,44.6018,41.9603,6.58387
1128,647.388,647.388,52.2376,9.59722,30.7607
616,108.957,108.957,30.622,-4.43421,12.2509
2920,-112.498,-112.498,54.6979,15.2474,4.38348
1768,312.711,312.711,68.7736,30.5089,-9.36438
1048,118.555,118.555,46.6204,5.1062,18.2706
536,75.7301,75.7301,25.3221,7.9821,14.9288
1304,28.3915,28.3915,53.2562,23.6021,16.5386
1624,103.491,103.491,63.3687,41.2475,-1.39436
856,232.726,232.726,43.287,29.3918,1.92248
984,126.135,126.135,44.7959,14.4495,19.6999
2104,17.7368,17.7368,73.0139,31.5575,2.35105
1080,4.12599,4.12599,45.577,33.8795,15.1125
1208,162.167,162.167,51.8622,27.1309,5.37689
632,769.834,769.834,34.8228,9.94296,10.3329
1272,67.1887,67.1887,52.2766,18.0383,22.3294
760,466.582,466.582,39.7935,31.0598,-4.31473
1784,93.353,93.353,68.3,30.0638,5.03942
1028,200.696,200.696,47.5139,14.2331,-6.96509
772,70.2066,70.2066,37.4603,25.2321,8.71349
644,159.582,159.582,34.4964,27.8413,9.1756
900,386.339,386.339,45.1537,14.0036,33.4948
580,355.453,355.453,31.8279,23.6828,24.5939
1860,96.2576,96.2576,68.6413,41.3992,-2.39287
964,206.433,206.433,45.2489,10.7253,22.4739
2084,111.202,111.202,74.2342,31.329,12.1032
2340,86.3149,86.3149,78.2344,32.5366,10.05
1316,113.657,113.657,54.766,21.2208,15.851
1700,152.108,152.108,65.6714,18.4924,6.0682
1124,137.895,137.895,49.9619,38.1919,16.1645
612,264.906,264.906,33.4695,14.8286,11.6674
2276,103.373,103.373,77.9972,23.2579,5.44596
532,127.857,127.857,26.3805,7.935,7.51239
1172,207.595,207.595,50.1885,7.05446,-0.59701
1684,176.898,176.898,65.1812,21.7715,2.2287
596,366.292,366.292,32.7086,15.3373,31.8783
1364,157.038,157.038,56.1468,29.2859,24.0096
852,60.8539,60.8539,40.3079,10.3805,5.97464
564,172.183,172.183,28.2968,18.8854,3.93488
820,85.0669,85.0669,38.7074,4.19496,14.2823
884,440.304,440.304,44.7447,37.0754,-1.05072
756,48.3387,48.3387,37.1317,23.9484,14.3029
1524,100.637,100.637,60.1195,21.5249,15.85
2188,158.159,158.159,76.4277,42.9036,7.9488
652,95.6891,95.6891,34.1336,11.9608,19.9873
908,108.174,108.174,41.4073,15.5286,10.5008
1100,78.9744,78.9744,48.2832,16.9472,14.3228
1356,125.925,125.925,54.7367,16.9711,19.4107
844,166.786,166.786,42.0229,11.1576,-2.38824
716,163.261,163.261,37.0643,14.5389,23.9669
2508,97.1639,97.1639,82.1789,25.5083,5.25299
1452,181.148,181.148,57.7363,39.7748,-2.18829
2156,124.114,124.114,76.7882,26.1778,-1.81707
1132,242.993,242.993,49.6077,25.6179,-0.748052
1052,93.3121,93.3121,46.0594,28.7424,9.57597
796,210.074,210.074,41.0039,0.868686,23.8819
1180,82.107,82.107,50.6172,33.4027,8.16374
604,342.018,342.018,32.063,29.4665,6.24122
1628,376.26,376.26,64.1937,23.8792,31.7645
860,6.13564,6.13564,38.8822,14.0141,20.4365
476,289.309,289.309,22.2527,17.2884,21.8979
2012,162.079,162.079,72.8612,24.6044,-7.87369
1084,355.851,355.851,50.1298,2.43847,16.716
1852,131.22,131.22,68.8908,22.958,-7.97844
956,37.9263,37.9263,43.1405,23.7617,10.2224
1404,258.072,258.072,57.2356,44.9905,6.97042
508,122.909,122.909,24.3317,-3.48895,14.6654
642,394.825,394.825,35.6079,13.8785,27.9992
1090,134.267,134.267,48.5877,22.3904,13.6822
706,60.8178,60.8178,35.3488,14.5562,17.2989
1058,204.716,204.716,49.8441,24.776,-8.42161
1570,72.5245,72.5245,60.3429,32.7251,3.8248
1698,218.938,218.938,65.8537,40.3151,18.3356
1378,421.662,421.662,56.7496,27.0794,32.9659
866,5.49592,5.49592,38.9183,16.0556,17.8048
2274,179.649,179.649,78.0487,43.3101,-6.07537
1042,129.568,129.568,47.9239,14.089,8.448
1554,175.04,175.04,62.5295,27.0153,9.72549
1170,64.6383,64.6383,50.1111,20.6705,5.92937
658,123.789,123.789,33.9745,26.3364,17.3936
1426,475.209,475.209,59.0988,10.8166,5.61584
594,225.432,225.432,31.4076,17.6815,17.9361
1234,253.872,253.872,52.9139,2.7297,5.63075
978,43.1926,43.1926,43.6255,18.0555,9.07104
2002,81.5954,81.5954,73.3086,34.1744,-0.940552
1074,176.697,176.697,48.4965,29.8803,-2.96158
818,79.723,79.723,40.0082,19.9846,10.0877
690,515.547,515.547,39.4261,30.4091,25.6155
946,162.565,162.565,44.7612,23.7015,15.7699
2930,52.0395,52.0395,90.4245,35.7707,1.20533
1522,199.563,199.563,60.8496,35.8038,14.9005
522,107.347,107.347,23.9392,20.5485,11.5467
1290,208.473,208.473,53.8179,23.7962,-3.26783
1098,100.287,100.287,47.8241,22.4001,23.228
586,453.451,453.451,31.2756,3.99016,12.1038
1610,254.613,254.613,63.6762,13.5125,17.3305
1354,96.9822,96.9822,56.003,28.1372,8.43374
1226,102.507,102.507,52.5129,24.6084,19.6564
714,59.0981,59.0981,35.794,9.38141,17.6431
1482,23.0238,23.0238,58.4405,34.2332,12.452
1322,342.766,342.766,55.3306,19.3206,1.10479
682,184.187,184.187,35.4412,17.2537,1.57039
938,143.142,143.142,43.6647,16.6848,0.21903
2154,6.00372,6.00372,75.4502,33.3224,-3.48741
2410,695.193,695.193,82.3824,31.6239,2.92202
874,39.591,39.591,40.7602,20.9964,4.28062
1258,129.21,129.21,53.1042,25.2685,12.9681
1770,230.285,230.285,68.5096,34.6687,20.0025
1514,106.091,106.091,61.1678,28.7009,2.91458
1002,154.687,154.687,45.7846,36.4158,17.9067
1306,197.65,197.65,54.8681,14.9743,5.96884
794,103.963,103.963,39.3585,20.1849,23.6846
1434,452.842,452.842,59.9338,12.1855,24.7428
1946,77.3798,77.3798,69.9914,37.6002,-1.44796
2138,99.8335,99.8335,75.6028,25.5362,2.89407
1626,116.783,116.783,62.9812,33.1681,5.50843
1370,127.845,127.845,56.4889,24.0185,9.56965
858,38.9755,38.9755,40.8942,30.6602,9.5463
730,334.614,334.614,39.1118,26.5804,-0.883819
1754,194.131,194.131,66.856,36.4144,-7.23839
1498,291.579,291.579,60.1929,21.9144,-2.79171
570,89.1928,89.1928,27.5162,21.9217,2.4547
1594,228.274,228.274,62.9683,13.7334,2.2634
1338,220.623,220.623,57.192,28.6597,-4.50443
1210,347.358,347.358,51.9377,8.58134,5.47246
698,873.966,873.966,39.3684,22.6304,33.2418
1978,204.588,204.588,71.7514,19.5011,7.45218
890,83.9538,83.9538,41.4458,27.4381,9.62033
1478,126.73,126.73,59.7621,31.1862,13.4736
966,65.1455,65.1455,42.5213,9.03157,12.5703
1830,121.455,121.455,71.7475,30.3925,0.054823
678,145.231,145.231,34.1328,-0.718168,13.2482
2150,131.073,131.073,75.4124,28.7495,6.1865
614,90.0305,90.0305,31.4946,4.18478,18.0859
870,79.9653,79.9653,39.8646,10.1445,12.9831
998,164.684,164.684,45.9486,30.9151,23.5003
534,157.779,157.779,26.3807,18.2628,11.1918
2326,41.3643,41.3643,79.4024,38.2477,7.68782
790,130.157,130.157,40.4957,19.5501,14.6163
662,138.478,138.478,33.9237,27.7915,13.5143
2710,67.2643,67.2643,85.8714,32.1846,10.7761
1110,58.3844,58.3844,47.9504,28.4999,13.2339
1750,76.9176,76.9176,66.7663,31.8118,1.00827
1494,160.48,160.48,61.1401,37.2286,0.000522582
1078,82.0757,82.0757,48.0685,13.6081,15.6856
694,518.94,518.94,37.591,39.1369,8.17849
1718,379.431,379.431,67.0003,13.92,9.34316
950,3.93904,3.93904,41.0541,36.7417,24.3573
2998,16.4731,16.4731,91.2508,38.5926,2.51416
630,249.795,249.795,33.2043,23.2333,13.7365
886,87.6506,87.6506,42.2364,7.23033,22.8363
1910,146.815,146.815,71.0843,27.0918,7.99638
2294,152.99,152.99,78.5338,35.7183,-9.9408
502,415.842,415.842,25.3478,25.5308,12.9118
1014,68.7396,68.7396,44.7971,21.5038,20.6956
526,235.796,235.796,25.8706,0.361659,12.424
782,72.2607,72.2607,38.2772,7.68318,5.99182
1166,72.493,72.493,50.7466,17.755,1.99505
590,26.0208,26.0208,27.6604,4.28712,6.54666
974,330.538,330.538,45.1917,23.8047,-7.70102
2094,105.846,105.846,73.7657,39.2805,-0.765976
1582,123.488,123.488,61.4382,25.0442,0.447233
