Label, Parent Label
2560,7
1280,1
768,5
1664,7
2432,7
1088,10
576,5
1344,1
1216,3
1472,1
1568,1
2208,7
1184,3
672,3
1120,2
608,3
2400,7
480,5
2064,7
528,1
1680,1
912,5
2128,7
1872,7
720,3
1328,6
944,4
624,2
1648,10
496,1
2056,7
1032,3
1160,3
1864,7
1224,1
712,5
1736,7
552,1
808,4
1448,1
936,1
1128,1
616,5
2920,7
1768,7
1048,3
536,5
1304,6
1624,7
856,2
984,4
2104,7
1080,6
1208,10
632,5
1272,3
760,1
1784,7
1028,1
772,4
644,3
900,1
580,2
1860,7
964,3
2084,7
2340,7
1316,6
1700,10
1124,6
612,5
2276,7
532,5
1172,1
1684,10
596,1
1364,6
852,5
564,4
820,5
884,1
756,5
1524,6
2188,7
652,4
908,5
1100,4
1356,2
844,3
716,3
2508,7
1452,7
2156,7
1132,10
1052,4
796,2
1180,6
604,2
1628,1
860,5
476,1
2012,7
1084,2
1852,7
956,5
1404,1
508,5
642,2
1090,5
706,5
1058,1
1570,6
1698,1
1378,1
866,5
2274,7
1042,4
1554,6
1170,3
658,3
1426,1
594,4
1234,1
978,5
2002,7
1074,10
818,5
690,2
946,5
2930,7
1522,6
522,3
1290,10
1098,3
586,5
1610,1
1354,6
1226,6
714,5
1482,6
1322,10
682,4
938,3
2154,7
2410,7
874,4
1258,6
1770,1
1514,6
1002,6
1306,2
794,3
1434,1
1946,7
2138,7
1626,6
1370,6
858,3
730,2
1754,7
1498,10
570,3
1594,1
1338,10
1210,2
698,1
1978,7
890,4
1478,6
966,5
1830,7
678,5
2150,7
614,5
870,5
998,6
534,4
2326,7
790,5
662,3
2710,7
1110,6
1750,7
1494,7
1078,4
694,1
1718,1
950,6
2998,7
630,4
886,3
1910,7
2294,7
502,2
1014,4
526,5
782,5
1166,2
590,5
974,1
2094,7
1582,10
814,5
1710,1
622,1
1262,3
542,1
2334,7
1182,4
670,3
2462,7
1438,6
1118,1
478,5
574,5
2238,7
1470,6
958,4
2430,7
894,5
766,5
510,1
1534,7
2046,7
1537,7
1153,10
641,5
1921,7
1089,2
577,2
1217,2
705,1
961,1
1057,6
545,2
1121,6
865,5
737,5
1553,7
1681,1
913,3
593,5
1361,10
849,4
1841,7
1201,1
689,3
945,4
881,5
1289,6
777,2
649,5
2441,7
905,5
1929,1
1097,6
1609,7
841,2
1865,7
1225,6
1737,1
1481,1
1705,6
2473,7
937,10
873,1
1257,6
745,4
1561,6
1305,6
793,3
2201,7
1177,3
1625,6
1881,7
1497,6
1081,6
569,1
1337,1
1657,10
1273,1
761,4
1029,3
1285,6
773,5
1669,7
1349,10
837,3
709,2
1477,6
965,2
1317,2
805,5
1829,7
1189,1
677,5
933,4
1125,6
869,3
1893,7
997,6
1109,1
597,5
1365,6
2261,7
469,5
565,5
2421,7
1397,6
885,3
757,5
1525,10
1165,6
909,1
1933,7
589,3
2253,7
973,3
557,5
1325,2
1197,1
1133,4
1389,1
1005,3
1053,3
1181,3
1693,1
1437,7
861,4
733,5
989,5
573,3
1213,1
1469,7
957,4
893,1
765,2
1027,2
771,1
899,4
1091,1
835,3
2883,7
1475,6
963,4
1987,7
1059,3
1315,6
2851,7
1955,1
1379,1
1043,4
1299,6
787,2
1171,3
1363,6
979,4
2611,7
1331,2
819,5
691,5
1715,6
947,4
627,3
2291,7
1523,6
2571,7
1547,10
1291,3
907,6
1099,4
715,2
1483,1
555,5
811,3
1835,1
939,4
1131,6
2411,7
747,3
1771,1
1515,6
1051,1
1307,1
1947,7
2139,7
1115,1
603,1
1627,7
731,5
475,1
987,1
1083,3
571,5
1339,10
827,4
699,1
2171,7
635,5
1275,10
1019,5
775,3
1159,1
1095,1
839,4
1479,1
1063,2
551,1
807,3
1831,1
1127,3
2919,7
535,3
663,5
1111,3
855,1
2263,7
1495,1
1335,1
823,5
951,3
1143,6
2807,7
1783,7
2575,7
1807,1
1679,6
911,2
591,5
1743,6
975,5
1711,7
1647,7
879,6
1903,7
751,1
1007,2
1055,5
1823,7
671,5
1119,6
1759,7
991,1
2111,7
1599,6
1983,7
639,4
1279,6
767,4
511,5
1023,4
