Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
1024,33.7373,33.7373,-67.6078,-9.98457,22.7466
3072,145.203,145.203,-15.949,-1.13321,27.4056
2560,82.7444,82.7444,-28.492,-28.4464,7.95257
1536,50.6827,50.6827,-55.6664,11.4369,26.6027
3584,126.872,126.872,2.25174,6.05531,-3.31271
3840,162.059,162.059,14.5158,6.83137,-12.042
4224,103.778,103.778,27.4767,-2.69519,3.86899
640,258.343,258.343,-73.6966,-24.7374,8.92524
4736,106.733,106.733,58.4852,-6.05213,-2.79968
384,14.8853,14.8853,-80.4586,28.3775,16.3293
2432,185.136,185.136,-29.0703,-2.36781,12.2121
3456,140.622,140.622,-2.52318,7.15777,-13.8514
2944,19.1799,19.1799,-20.067,-29.3845,19.4594
1920,206.17,206.17,-44.1799,-23.2501,20.37
4672,148.952,148.952,45.5355,-10.4942,2.84364
3648,101.594,101.594,5.26553,4.83016,-8.24025
4416,112.306,112.306,34.1305,0.494365,1.57223
2368,90.5942,90.5942,-32.7111,5.41498,-4.64465
832,117.145,117.145,-71.9288,21.089,12.2516
2880,64.2581,64.2581,-19.8163,-10.865,36.6923
3904,276.216,276.216,18.0479,-18.2202,-3.97165
4288,187.75,187.75,29.4237,11.1083,3.0172
3264,127.331,127.331,-10.0726,11.4342,2.76837
448,258.385,258.385,-78.1121,-11.6094,26.0712
2496,144.589,144.589,-28.6767,0.442021,6.56095
3520,168.169,168.169,0.134753,14.0557,0.184434
1984,166.943,166.943,-42.9931,-23.4133,23.789
4128,253.946,253.946,24.4985,-19.016,9.70912
544,80.782,80.782,-76.2474,-26.7051,36.7184
2592,207.549,207.549,-24.8323,-5.39287,5.33963
1568,10.1034,10.1034,-55.0818,13.5087,25.4597
3616,16.5104,16.5104,2.60911,-29.5744,-15.1305
4384,208.769,208.769,34.119,-11.4533,4.27316
800,40.9611,40.9611,-72.8695,-20.3436,12.7381
1824,268.016,268.016,-46.0969,-21.8945,16.3431
4256,134.094,134.094,29.5883,-14.1909,3.25681
2208,186.663,186.663,-35.7105,20.7789,15.1396
1184,7.71469,7.71469,-64.6556,-23.4635,5.35684
3232,137.429,137.429,-10.447,19.2086,-15.7027
2720,140.991,140.991,-24.5427,-28.1513,13.4656
1696,298.374,298.374,-50.0709,23.0664,10.6605
3744,139.486,139.486,9.41038,16.065,-18.5567
4512,195.006,195.006,38.9771,4.84688,8.22447
2464,432.099,432.099,-24.4569,6.84867,31.8811
1120,54.7487,54.7487,-64.9855,-12.3274,13.3455
3168,115.333,115.333,-12.7818,18.9734,29.9505
608,44.0234,44.0234,-75.7567,-28.8805,33.7977
4704,97.5947,97.5947,50.0432,4.32343,5.84602
1632,348.026,348.026,-51.8482,-3.3873,14.081
2400,181.048,181.048,-30.842,-11.4088,14.6681
1376,9.11236,9.11236,-59.789,-25.5654,37.262
864,239.219,239.219,-70.4872,-21.4532,24.4526
2912,135.789,135.789,-19.659,-12.7954,2.99901
1888,161.726,161.726,-43.6181,-7.80385,16.3785
3936,56.174,56.174,16.5229,8.87663,-7.67166
224,14.2291,14.2291,-79.9454,-29.041,19.3328
