Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
1024,14.5477,14.5477,-67.6078,-10.0018,22.7359
3072,125.551,125.551,-15.9553,-1.1408,27.4798
2560,53.1928,53.1928,-28.5523,-28.4253,7.99875
1536,21.7558,21.7558,-55.6737,11.4297,26.637
3584,105.7,105.7,2.24834,6.05035,-3.30654
3840,157.926,157.926,14.4612,6.82823,-12.0171
4224,82.257,82.257,27.4625,-2.69032,3.9171
640,289.798,289.798,-73.6057,-24.7499,8.9439
4736,76.3263,76.3263,58.4974,-6.05619,-2.86934
384,3.12451,3.12451,-80.4742,28.4299,16.3109
2432,185.945,185.945,-29.0955,-2.37461,12.1938
3456,129.398,129.398,-2.51246,7.15837,-13.8927
2944,2.86604,2.86604,-20.0704,-29.3915,19.5324
1920,192.78,192.78,-44.1282,-23.4533,20.2921
4672,121.388,121.388,45.6036,-10.5598,2.93556
3648,77.9587,77.9587,5.30224,4.78108,-8.30022
4416,79.1072,79.1072,34.2147,0.507408,1.51885
2368,65.8129,65.8129,-32.7251,5.44887,-4.6462
832,83.989,83.989,-71.8959,21.0817,12.2493
2880,32.0366,32.0366,-19.8537,-10.8927,36.6273
3904,367.928,367.928,17.9982,-18.2435,-3.97433
4288,159.234,159.234,29.4533,11.2221,3.02583
3264,114.226,114.226,-10.0964,11.4298,2.79706
448,274.255,274.255,-78.1436,-11.5812,26.0924
2496,126.593,126.593,-28.6674,0.425238,6.54515
3520,166.365,166.365,0.12105,14.033,0.241748
1984,139.883,139.883,-42.9959,-23.4509,23.7505
4128,304.038,304.038,24.5278,-19.2118,9.80774
544,38.2819,38.2819,-76.2751,-26.9688,36.6791
2592,173.853,173.853,-24.7959,-5.4147,5.33765
1568,1.59923,1.59923,-55.0826,13.5075,25.4486
3616,1.79036,1.79036,2.66125,-29.5784,-15.1737
4384,209.842,209.842,34.0636,-11.4412,4.20238
800,17.6378,17.6378,-72.8943,-20.2941,12.7255
1824,325.076,325.076,-46.107,-21.9244,16.3001
4256,115.306,115.306,29.5731,-14.1966,3.28543
2208,190.574,190.574,-35.7438,20.7733,15.2218
1184,1.19827,1.19827,-64.7018,-23.4696,5.33738
3232,128.124,128.124,-10.4526,19.2458,-15.7637
2720,120.102,120.102,-24.5306,-28.1325,13.5082
1696,331.378,331.378,-50.0863,23.0852,10.6394
3744,130.098,130.098,9.40597,16.1092,-18.6107
4512,186.996,186.996,38.9749,4.85972,8.18888
2464,412.047,412.047,-25.0389,7.15005,31.6024
1120,29.7823,29.7823,-64.9848,-12.3125,13.3795
3168,92.7769,92.7769,-12.7809,18.9401,29.8807
608,19.6109,19.6109,-75.725,-28.8514,33.8767
4704,64.4621,64.4621,50.0139,4.35952,5.83868
1632,459.967,459.967,-51.7995,-3.52137,14.0309
2400,171.168,171.168,-30.8555,-11.5238,14.71
1376,1.05682,1.05682,-59.8439,-25.6089,37.2667
