Label, Parent Label
3584,7
3840,7
4224,6
4736,5
3456,7
4672,5
3648,7
4416,5
2368,7
3904,1
4288,2
3264,7
2496,7
3520,7
4128,1
4384,4
4256,3
3232,7
3744,7
4512,4
4704,5
2912,7
3936,7
2528,7
3088,7
4368,3
3856,1
3728,1
3984,6
3408,7
2896,7
2256,7
4560,3
4048,1
4144,10
4656,5
2864,7
3888,6
4272,6
4720,5
2672,7
3696,7
2928,7
3952,6
4336,1
3592,7
3848,1
3720,7
4488,3
4680,5
3656,1
4424,4
3400,7
3912,1
4296,2
3272,7
4552,3
3016,7
4136,6
4648,3
3624,7
4392,4
3880,7
2728,7
4520,3
4456,3
3432,7
2920,7
3944,6
4072,6
4120,1
4632,3
3608,7
3992,1
2648,7
4440,3
3800,6
4568,2
3032,7
4056,10
4152,1
4664,5
3640,7
4408,1
4280,6
4472,4
2808,7
3832,7
4600,4
4100,10
3076,7
4228,2
4740,5
2692,7
3460,7
2948,7
3972,10
4420,3
2756,7
4548,2
4036,6
4388,1
3236,7
4516,5
4004,6
3684,1
4452,3
3300,7
3812,7
3092,7
2580,7
4372,5
3220,7
3988,6
3156,7
3924,6
2260,7
4660,3
4404,4
2356,7
3892,6
4276,1
3252,7
3764,1
4532,3
2996,7
4468,1
4340,1
4596,5
3572,7
4084,1
4620,3
2572,7
3596,7
3852,1
3212,7
2956,7
3980,6
3148,7
3660,1
4428,1
2380,7
3404,7
4556,1
2508,7
4044,6
3116,7
4396,3
4524,3
2476,7
3500,7
4012,6
4204,10
3180,7
2924,7
3820,6
4076,6
3612,7
3868,7
3740,1
4188,6
2268,7
2780,7
4156,1
3132,7
3644,1
3900,6
4284,1
3772,7
3196,7
3324,7
4604,5
4092,6
4354,3
3330,7
2690,7
4482,2
4674,3
2626,7
3394,7
3906,7
4546,5
4130,1
4642,1
4258,10
3234,7
2466,7
2146,7
3682,7
4450,1
3426,7
4322,1
3090,7
3474,7
4434,3
4306,1
2770,7
3794,1
4562,5
4146,2
2098,7
4658,5
3762,7
4530,1
4018,7
4722,5
3442,7
2290,7
2546,7
4106,1
4618,5
4362,3
2186,7
2954,7
3658,7
2762,7
3530,7
3018,7
4650,3
4202,6
4714,5
4458,3
4586,4
4634,3
4250,1
4506,5
4698,5
2778,7
3386,7
3898,6
3258,7
2490,7
4730,5
2682,7
2554,7
4614,3
4358,10
3334,7
3846,7
3206,7
4742,5
4486,1
4166,6
3142,7
3654,7
2886,7
4294,1
4038,6
4390,1
3366,7
2854,7
3750,7
4198,2
4710,5
4454,2
4326,6
2534,7
4070,6
4630,5
4374,2
3862,1
4246,6
3734,7
4502,5
4182,6
3670,1
4438,1
2902,7
3798,1
4150,2
2614,7
3894,1
3510,7
4214,1
4470,3
4598,5
3726,7
3150,7
4430,2
2894,7
4302,3
3022,7
4142,1
3374,7
4526,5
4718,5
2670,7
3950,1
3310,7
2798,7
4638,5
4254,6
2206,7
3998,10
4702,5
2910,7
4574,5
4158,6
4414,4
4542,3
3006,7
4222,2
4606,1
3582,7
4609,5
3841,6
4225,1
4737,5
4481,1
4673,5
4417,4
2369,7
4289,3
2593,7
4257,2
3233,7
2465,7
3489,7
3169,7
4705,5
3681,7
3937,1
3297,7
3809,6
2529,7
3089,7
4241,6
3985,6
4177,6
2641,7
3665,7
4561,3
3025,7
4049,6
4145,2
4657,3
3185,7
3953,6
3825,7
3057,7
3593,7
4489,5
2441,7
2953,7
3657,7
3273,7
3017,7
4393,2
3881,6
3753,1
4521,1
3497,7
4201,6
4457,5
3945,6
4329,3
4585,4
3049,7
3097,7
4633,3
4249,2
2713,7
2457,7
4441,2
3929,1
4569,1
3033,7
4057,1
4153,6
4665,5
2361,7
3385,7
4281,3
3769,7
2681,7
4601,3
4101,6
4613,4
4229,1
4741,5
4485,1
3973,1
2757,7
4645,5
4389,4
2341,7
2981,7
4005,1
4197,2
3173,7
4709,5
2405,7
3813,1
4069,6
3093,7
4629,5
3349,7
3861,6
4245,2
3989,6
4181,1
4309,4
3541,7
3125,7
4661,3
2869,7
2229,7
3253,7
4533,2
2997,7
3189,7
4725,5
3701,1
4341,2
4597,4
3597,7
4237,2
3725,7
3469,7
3981,1
4173,6
4429,5
4301,2
4557,1
4653,4
4525,3
4717,5
3437,7
2925,7
3309,7
2797,7
2541,7
2589,7
4381,2
2845,7
4253,10
3741,1
3997,6
4189,6
4701,5
2909,7
2781,7
4573,3
3037,7
4157,10
3133,7
2877,7
4285,2
4221,1
4733,5
2685,7
4477,4
3965,1
3581,7
3069,7
4093,1
2819,7
4227,6
4739,5
2691,7
3459,7
3971,7
4419,1
2755,7
4547,4
4131,6
3107,7
4643,3
4387,5
3747,7
3683,1
4451,5
3427,7
2275,7
3299,7
4115,6
2579,7
4371,5
3219,7
2963,7
2899,7
3923,1
4307,1
2259,7
3283,7
3795,1
4659,5
3635,7
4403,2
2739,7
3763,1
4531,5
4019,6
4211,1
2675,7
3955,6
4339,3
3827,1
4595,5
2571,7
3851,7
2187,7
4491,3
3467,7
2955,7
3979,1
4683,4
3659,1
3787,1
4555,5
4395,1
2859,7
4267,3
4011,7
3691,1
4459,4
4331,3
2283,7
3307,7
3819,7
4587,1
4075,1
2075,7
4507,3
2971,7
3419,7
3291,7
2523,7
4155,1
4667,3
3899,6
4283,2
3259,7
2491,7
3515,7
4731,5
3707,7
2939,7
2811,7
3067,7
3591,7
3335,7
3847,7
4743,5
4167,1
3143,7
3655,7
2887,7
4295,1
4551,2
4039,6
4135,6
2087,7
4391,3
2151,7
2663,7
3687,7
4455,3
2535,7
3559,7
4119,6
4375,4
2839,7
3735,1
4183,2
2391,7
3799,6
4151,1
4663,4
2615,7
4407,1
4279,6
4535,3
4023,1
4727,5
3447,7
3319,7
3855,6
3727,7
4495,3
3151,7
4303,3
3279,7
4399,3
2351,7
3247,7
2735,7
4527,3
4015,1
4719,5
2415,7
3951,6
4591,4
2847,7
3871,6
4255,3
4703,5
3679,7
2911,7
3935,6
2271,7
4575,4
4671,3
4415,2
3903,1
3263,7
4543,4
2495,7
3519,7
4735,5
4479,1
2943,7
3967,7
3839,1
4607,5
3071,7
