Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
4096,219.276,219.276,24.3079,16.6554,0.334095
4608,202.923,202.923,42.5076,-16.6633,2.27164
4352,189.43,189.43,31.4427,-1.51896,25.5328
2304,280.437,280.437,-30.4776,10.8664,24.9776
3328,4.15207,4.15207,-8.88504,31.0091,37.2349
768,336.357,336.357,-68.6649,17.8965,-4.26131
2816,98.3933,98.3933,-21.9257,-1.58921,10.9943
1792,169.254,169.254,-47.8808,-18.1509,14.3502
1664,268.658,268.658,-49.5122,5.70159,21.3438
384,51.3037,51.3037,-80.2588,-24.1327,16.4043
4480,270.242,270.242,37.8347,-16.4808,4.12984
896,4.89985,4.89985,-70.2952,23.9489,37.0683
64,44.9564,44.9564,-81.0711,29.676,25.9466
4160,331.413,331.413,28.2935,-1.89115,30.0904
2112,94.3529,94.3529,-38.1258,1.13758,9.65608
576,28.3431,28.3431,-76.0162,29.3302,14.6773
3392,180.091,180.091,-4.51089,8.53476,-12.1145
832,46.8926,46.8926,-71.4247,-30.4866,12.3346
1856,313.412,313.412,-42.969,24.9951,24.2043
2240,242.795,242.795,-33.3194,24.9271,15.0716
704,47.7919,47.7919,-73.7759,-22.3836,17.5178
2752,43.2373,43.2373,-23.0786,1.45539,13.7944
4544,228.796,228.796,39.3373,-7.06797,-3.22955
1472,132.76,132.76,-53.5814,29.1169,16.8212
2080,341.84,341.84,-37.8919,-8.34824,18.739
1056,211.383,211.383,-64.9673,-19.0209,3.88194
4640,157.37,157.37,43.7379,12.3193,18.0191
1312,282.791,282.791,-58.2177,14.0887,16.1653
2208,69.9122,69.9122,-35.1957,-30.3921,14.9715
1696,205.707,205.707,-49.3558,-27.2139,11.1087
1440,99.6,99.6,-55.6759,-16.7618,-9.08819
1952,115.342,115.342,-42.8863,21.9612,1.36083
2656,177.797,177.797,-24.2106,15.7735,22.7347
352,90.3557,90.3557,-78.0652,29.3703,4.74196
4448,59.3262,59.3262,34.9856,6.20651,9.51003
3424,144.373,144.373,-3.77085,-1.65148,34.3789
736,35.6465,35.6465,-73.2361,-30.2741,2.12666
3808,78.1742,78.1742,12.4034,-2.74339,-2.48449
1504,301.35,301.35,-53.2215,4.61455,16.0062
3552,58.3764,58.3764,1.41795,14.9271,36.7656
528,41.8874,41.8874,-76.9604,-5.63447,17.2327
2320,192.292,192.292,-31.4355,16.3799,13.5598
784,353.743,353.743,-71.4699,-14.5098,19.8302
1808,49.107,49.107,-47.0957,-28.2589,36.9946
144,339.659,339.659,-79.7588,-12.5211,33.2068
4240,179.667,179.667,28.8355,-12.8488,15.4611
2448,32.0999,32.0999,-30.166,4.8911,10.3838
2960,146.96,146.96,-16.9241,8.3942,0.793494
4176,184.288,184.288,26.6526,-16.0589,6.3213
4688,100.215,100.215,48.9836,2.32211,14.066
2640,120.251,120.251,-25.3993,-27.2692,18.3561
3664,159.753,159.753,6.38795,-5.80812,-11.3225
4432,343.459,343.459,36.6129,-1.20076,30.3086
2384,110.979,110.979,-30.6288,30.0739,14.1433
1360,408.707,408.707,-55.266,24.3512,11.6738
3920,335.385,335.385,19.2879,-17.7875,18.1655
720,61.6995,61.6995,-73.4544,-26.1879,17.3628
3792,330.992,330.992,14.4782,1.73828,25.4995
464,9.20595,9.20595,-76.5864,31.3303,27.2036
1072,1.65282,1.65282,-66.5224,13.0246,37.3251
304,29.6877,29.6877,-80.887,0.555652,4.95745
3376,150.102,150.102,-5.28681,-14.3265,35.4983
4528,26.1136,26.1136,36.939,-1.49025,16.2178
1456,25.4335,25.4335,-56.9046,23.0079,27.1897
944,213.112,213.112,-68.1003,25.7872,11.1265
4016,86.3165,86.3165,21.6721,6.55677,11.8671
4208,207.639,207.639,27.6512,-0.865749,-1.77849
2160,30.9767,30.9767,-37.9782,3.09021,3.46745
3184,175.621,175.621,-10.9891,-16.8897,30.0568
624,46.3992,46.3992,-71.4579,-31.3825,-14.1107
1648,210.105,210.105,-50.6322,-4.05897,0.0809386
368,73.7874,73.7874,-80.5823,-15.6563,4.01438
4464,153.318,153.318,36.2943,-15.6712,-5.09022
3440,176.886,176.886,-2.83176,3.93024,-17.6326
880,11.304,11.304,-70.3045,-14.5158,16.5435
2288,89.6758,89.6758,-33.6569,12.7994,-4.07834
1264,36.5756,36.5756,-61.3607,-12.1969,-13.9247
4592,91.7945,91.7945,42.0456,0.654793,13.3424
2544,65.6839,65.6839,-26.4078,31.0252,17.6377
1520,25.835,25.835,-55.9561,-11.9482,31.1705
3568,100.174,100.174,1.17573,1.25784,-22.502
2032,120.176,120.176,-41.1459,-19.4819,5.22355
4104,92.7458,92.7458,23.6429,-0.755908,2.14685
2056,12.4821,12.4821,-42.3715,-22.8255,8.0045
3080,127.255,127.255,-14.7475,-15.8732,27.2875
4616,200.827,200.827,43.6432,-5.36945,-0.261271
1544,117.625,117.625,-53.3264,-11.9378,25.5442
264,9.53121,9.53121,-81.4594,-27.7921,13.4093
4360,128.258,128.258,31.3921,0.351119,-1.60956
2312,160.517,160.517,-30.3785,2.08904,8.75822
136,76.7511,76.7511,-80.9902,-15.5112,36.5513
1672,260.406,260.406,-49.3429,-10.0281,15.9197
1416,30.0789,30.0789,-57.167,13.016,28.8542
2952,120.044,120.044,-17.7347,6.99393,22.8836
1928,186.425,186.425,-42.8527,8.197,2.20507
3976,211.492,211.492,19.571,17.3146,6.55092
2120,258.894,258.894,-37.0702,24.7404,27.3125
1096,122.145,122.145,-65.063,16.1915,35.5622
2376,113.273,113.273,-30.3417,6.68804,8.33969
