Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
4096,247.977,247.977,24.2223,16.6788,0.347485
4608,189.116,189.116,42.5661,-16.6005,2.14647
4352,183.111,183.111,31.5159,-1.51677,25.5465
2304,353.79,353.79,-30.4948,10.8867,24.9275
3328,0.55787,0.55787,-8.88061,31.0275,37.2335
768,507.718,507.718,-68.6385,17.9347,-4.29711
2816,77.9793,77.9793,-21.9049,-1.56595,10.9633
1792,165.386,165.386,-47.8896,-18.1455,14.3304
1664,347.528,347.528,-49.5191,5.7017,21.3273
384,25.183,25.183,-80.2671,-24.1905,16.4231
4480,309.558,309.558,37.7892,-16.5088,4.14381
896,0.637238,0.637238,-70.2531,24.0263,37.0623
64,21.1716,21.1716,-81.0691,29.7497,25.9898
4160,448.815,448.815,28.2086,-1.88527,30.2477
2112,68.4788,68.4788,-38.1521,1.17858,9.68394
576,11.9042,11.9042,-76.0252,29.365,14.6767
3392,184.545,184.545,-4.5012,8.55373,-12.1416
832,23.5918,23.5918,-71.3926,-30.4975,12.2649
1856,452.762,452.762,-42.9476,24.9442,24.1655
2240,280.424,280.424,-33.294,24.8668,15.164
704,24.1798,24.1798,-73.7575,-22.3733,17.5274
2752,18.9433,18.9433,-23.0611,1.41274,13.7839
4544,249.148,249.148,39.2823,-7.04533,-3.26138
1472,119.084,119.084,-53.5516,29.1453,16.8001
2080,473.775,473.775,-37.93,-8.25743,18.7394
1056,214.897,214.897,-64.9723,-19.0861,3.90245
4640,134.904,134.904,43.7564,12.3684,18.065
1312,316.463,316.463,-58.2688,13.6556,16.1777
2208,44.7827,44.7827,-35.1753,-30.3458,14.9285
1696,209.512,209.512,-49.3472,-27.2312,11.1324
1440,78.8757,78.8757,-55.6701,-16.726,-9.08051
1952,96.7665,96.7665,-42.9192,22.0363,1.33621
2656,183.939,183.939,-24.2145,15.6976,22.8372
352,64.3386,64.3386,-78.0898,29.4701,4.72144
4448,24.5905,24.5905,35.0423,6.22406,9.38324
3424,135.618,135.618,-3.74111,-1.73464,34.389
736,17.2751,17.2751,-73.2291,-30.2863,2.12647
3808,44.8669,44.8669,12.4698,-2.75823,-2.29106
1504,406.696,406.696,-53.2632,4.62551,15.9035
3552,30.1539,30.1539,1.41359,14.868,36.7037
528,18.9622,18.9622,-76.984,-5.60489,17.2325
2320,201.496,201.496,-31.3892,16.4393,13.5147
784,309.709,309.709,-71.4214,-14.3239,19.8618
1808,19.6137,19.6137,-47.1846,-28.3272,36.9532
144,387.379,387.379,-79.7199,-12.2172,33.2336
4240,160.582,160.582,28.7787,-12.8376,15.5678
2448,12.6431,12.6431,-30.1865,4.87143,10.434
2960,130.816,130.816,-16.9164,8.39913,0.808043
4176,178.188,178.188,26.5516,-16.0434,6.30206
4688,68.4514,68.4514,48.9703,2.30748,14.1355
2640,109.236,109.236,-25.3982,-27.2241,18.3451
3664,157.692,157.692,6.39777,-5.77611,-11.3913
4432,447.282,447.282,36.531,-1.1983,30.4496
2384,87.1754,87.1754,-30.6285,30.0402,14.063
1360,618.235,618.235,-55.312,24.2328,11.6279
3920,511.636,511.636,19.2832,-17.8269,18.2415
720,35.083,35.083,-73.4491,-26.1563,17.3668
3792,486.291,486.291,14.4367,1.78289,25.5307
464,1.64936,1.64936,-76.5023,31.3175,27.1988
1072,0.093691,0.093691,-66.5155,12.9792,37.3208
304,11.6567,11.6567,-80.8934,0.557793,4.96617
3376,144.879,144.879,-5.21888,-14.3324,35.4849
4528,10.6688,10.6688,36.9414,-1.50426,16.2067
1456,9.0771,9.0771,-56.8671,23.0214,27.208
944,199.337,199.337,-68.0757,25.853,11.1195
4016,61.5954,61.5954,21.7007,6.55491,11.8492
4208,233.327,233.327,27.5841,-0.910592,-1.71572
2160,13.2121,13.2121,-37.9817,3.09223,3.47005
3184,184.197,184.197,-10.973,-16.9135,30.0444
624,13.0099,13.0099,-71.344,-31.369,-14.1512
1648,231.531,231.531,-50.6332,-4.12557,0.0439053
368,44.1322,44.1322,-80.598,-15.6458,4.00573
4464,132.839,132.839,36.3594,-15.8085,-4.99303
3440,189.324,189.324,-2.82817,3.95087,-17.704
880,2.69366,2.69366,-70.304,-14.512,16.5575
2288,67.6226,67.6226,-33.6607,12.8241,-4.05375
1264,17.1019,17.1019,-61.3115,-12.1835,-13.9531
4592,59.1787,59.1787,42.0525,0.669041,13.3508
2544,32.9902,32.9902,-26.335,30.9891,17.6843
1520,8.61346,8.61346,-55.9742,-11.9634,31.2632
3568,78.799,78.799,1.17748,1.27064,-22.5639
2032,105.558,105.558,-41.135,-19.4987,5.20826
4104,71.579,71.579,23.6216,-0.78264,2.08163
2056,2.58692,2.58692,-42.3496,-22.8205,8.00071
3080,113.379,113.379,-14.7361,-15.9402,27.2366
4616,212.507,212.507,43.7091,-5.38337,-0.261512
1544,86.3225,86.3225,-53.2805,-11.8948,25.4688
264,1.18806,1.18806,-81.4615,-27.9049,13.2561
4360,97.9872,97.9872,31.4354,0.343812,-1.64544
2312,137.046,137.046,-30.3267,2.1116,8.7202
136,35.2203,35.2203,-80.9861,-15.3987,36.5538
1672,287.456,287.456,-49.2838,-9.91585,15.9157
1416,11.6846,11.6846,-57.2174,13.0211,28.8407
2952,102.72,102.72,-17.7463,6.96292,22.8133
1928,187.175,187.175,-42.9,8.19832,2.32936
3976,236.906,236.906,19.5212,17.3419,6.54838
2120,337.126,337.126,-37.0092,24.692,27.4361
1096,94.8873,94.8873,-65.0242,16.1126,35.5708
2376,82.3024,82.3024,-30.2754,6.68731,8.36108
1352,269.271,269.271,-57.3437,22.4767,23.4139
840,0.105431,0.105431,-69.5571,31.3723,34.0154
1864,20.0862,20.0862,-45.4021,-31.1708,0.771746
1224,0.533935,0.533935,-62.0313,-31.4176,34.9896
712,151.793,151.793,-72.7213,16.2699,4.8739
2760,117.471,117.471,-22.9766,10.5435,11.4415
1736,156.266,156.266,-49.1295,-8.23468,25.7334
456,396.308,396.308,-76.5452,13.3795,12.6608
968,277.938,277.938,-65.8465,25.2038,-1.16152
40,116.01,116.01,-80.7885,25.6627,1.97659
296,161.802,161.802,-80.1785,18.9272,21.154
2216,214.66,214.66,-33.4331,13.5638,5.04885
3240,91.1494,91.1494,-10.083,11.1631,-14.5911
1704,7.09409,7.09409,-49.5943,-30.9277,18.5693
3752,142.738,142.738,11.595,-6.34922,16.1547
1448,542.304,542.304,-53.9728,-17.9298,17.1294
3496,54.2178,54.2178,-2.57362,-4.74437,-13.8939
2984,76.1954,76.1954,-17.4861,13.3581,1.07555
1960,119.804,119.804,-42.0377,0.298571,16.0547
4008,180.701,180.701,21.4692,-2.51437,22.6405
104,10.3662,10.3662,-81.4688,1.69552,27.4988
616,3.47018,3.47018,-75.3102,20.5096,18.5118
1384,65.0207,65.0207,-57.4139,14.8937,-7.95693
872,179.191,179.191,-69.9193,17.3186,18.6513
4328,310.622,310.622,32.5168,-23.1553,9.29882
2280,186.662,186.662,-32.5167,9.31731,12.9656
3304,117.629,117.629,-6.79469,13.1964,-10.6244
744,105.042,105.042,-72.379,10.0055,19.9621
2792,66.2177,66.2177,-22.4219,13.0522,-7.46357
3816,225.897,225.897,14.3827,16.096,8.76359
4584,31.9257,31.9257,39.6001,-1.06025,6.12168
