Label, Parent Label
4096,1
4608,2
4352,2
2304,9
3328,9
768,9
2816,7
1792,9
1664,9
384,9
4480,2
896,9
64,9
4160,1
2112,9
576,9
3392,7
832,9
1856,9
2240,9
704,9
2752,7
4544,3
1472,9
2080,9
1056,9
4640,3
1312,9
2208,9
1696,9
1440,9
1952,9
2656,9
352,9
4448,5
3424,9
736,9
3808,7
1504,9
3552,9
528,9
2320,9
784,9
1808,9
144,9
4240,2
2448,7
2960,7
4176,2
4688,5
2640,9
3664,7
4432,1
2384,9
1360,9
3920,1
720,9
3792,1
464,9
1072,9
304,9
3376,9
4528,5
1456,9
944,9
4016,6
4208,2
2160,7
3184,9
624,9
1648,9
368,9
4464,1
3440,7
880,9
2288,7
1264,9
4592,5
2544,9
1520,9
3568,7
2032,9
4104,2
2056,9
3080,9
4616,4
1544,9
264,9
4360,3
2312,7
136,9
1672,9
1416,9
2952,9
1928,7
3976,1
2120,9
1096,9
2376,7
1352,9
840,9
1864,9
1224,9
712,9
2760,7
1736,9
456,9
968,9
40,9
296,9
2216,7
3240,7
1704,9
3752,6
1448,9
3496,7
2984,7
1960,9
4008,6
104,9
616,9
1384,9
872,9
4328,1
2280,7
3304,7
744,9
2792,7
3816,1
4584,5
3048,7
1048,9
3096,9
536,9
2584,7
280,9
2328,9
3352,9
1816,9
2712,7
1688,9
408,9
4504,3
1432,9
2968,7
88,9
2136,7
4696,5
344,9
3416,9
1880,9
3928,10
4312,3
2264,7
1240,9
3288,9
728,9
1752,9
2520,9
2008,9
2104,7
3128,7
312,9
824,9
2872,9
2232,9
1208,9
3256,9
2744,7
3768,1
3000,7
4024,6
120,9
3192,7
4728,5
2680,9
1656,9
3704,6
888,9
1912,9
504,9
1528,9
3576,1
516,9
4612,5
4356,3
2308,9
772,9
1796,9
3204,7
3716,6
4484,3
1924,9
4164,6
580,9
1604,9
3652,7
3908,1
1220,9
3268,7
1732,9
3780,6
964,9
4132,6
2084,9
1060,9
548,9
2596,9
2340,7
3364,9
804,9
2852,7
3876,6
676,9
2724,7
420,9
1444,9
100,9
4196,1
2148,7
1124,9
3172,7
612,9
4708,5
1636,9
356,9
2404,9
1380,9
868,9
1892,9
1252,9
1764,9
484,9
2532,9
3556,7
2020,9
1044,9
4628,3
276,9
3348,9
2836,9
148,9
4244,3
660,9
2708,7
3732,7
4500,4
84,9
4180,10
4692,5
1620,9
3668,7
340,9
4436,5
852,9
2900,7
1236,9
3284,7
2772,7
1748,9
4564,5
2516,9
1492,9
3540,7
980,9
2004,7
4148,6
3636,1
1332,9
2868,9
1204,9
692,9
436,9
1460,9
3508,7
1972,9
3188,7
4724,5
1652,9
3700,7
1396,9
1908,9
244,9
1268,9
3316,9
2804,7
1780,9
500,9
1524,9
4108,1
1036,9
524,9
268,9
3340,7
1804,9
140,9
4236,2
1164,9
2700,9
1676,9
3724,7
4492,1
1420,9
908,9
1932,9
4172,6
1356,9
2892,9
1868,9
4300,10
3788,6
1484,9
4140,10
556,9
4652,1
2604,9
3628,7
3372,7
812,9
1836,9
3884,1
2220,7
1196,9
684,9
2732,7
1708,9
3756,7
428,9
2988,9
108,9
1132,9
2668,7
364,9
4460,2
3436,7
1900,9
3948,10
236,9
1260,9
748,9
2796,7
1772,9
492,9
4588,2
3564,9
4124,6
1052,9
3100,9
4636,5
2588,9
4380,4
2332,9
796,9
2844,7
156,9
2204,7
668,9
2716,9
2460,7
3484,7
924,9
92,9
2140,9
1116,9
3164,7
604,9
4700,5
860,9
2908,9
1884,9
4316,5
3804,6
476,9
4572,5
1500,9
988,9
2012,7
4060,6
2108,9
1596,9
4412,5
3260,9
700,9
1724,9
444,9
4540,4
2492,7
1468,9
3004,9
4028,6
124,9
4220,3
4732,5
1660,9
