Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
1024,42.7764,42.7764,33.798,-41.9067,6.29331
512,77.0022,77.0022,5.1522,-15.7227,-22.2429
256,7.80589,7.80589,-23.5252,17.4188,23.1397
1280,3.47636,3.47636,57.5784,-59.7184,34.2625
768,111.358,111.358,22.2311,-6.68874,-11.7139
128,65.5806,65.5806,-30.8425,29.1744,-6.23573
1152,106.442,106.442,43.5216,-40.6465,0.487371
640,152.478,152.478,15.9404,-24.9629,1.28843
384,123.82,123.82,-10.0439,15.5306,14.9779
896,123.433,123.433,28.0627,-36.0102,-4.95762
64,243.335,243.335,-33.5482,24.7405,-12.56
1088,211.448,211.448,40.8089,-23.5399,21.9971
576,127.681,127.681,11.9876,-39.0324,18.4302
320,134.791,134.791,-14.9821,-1.9481,-17.8074
832,290.791,290.791,26.7482,-46.5259,20.2079
192,139.157,139.157,-24.6223,19.3377,5.94552
1216,109.977,109.977,50.2206,-32.1731,7.24106
704,23.9886,23.9886,17.3826,-38.0247,3.37614
448,92.3558,92.3558,-3.02461,2.20266,-1.05792
960,0.492701,0.492701,30.1119,-11.3628,34.213
32,303.538,303.538,-37.4224,32.8502,18.3162
1056,62.1428,62.1428,36.8466,-36.8306,12.2418
544,109.935,109.935,9.63175,-14.1084,-10.2033
288,128.255,128.255,-18.3982,13.9761,6.42971
1312,3.84116,3.84116,59.6615,-60.0483,20.2852
800,127.505,127.505,23.889,-9.78777,-16.9173
160,169.937,169.937,-26.3751,33.8539,12.4313
1184,48.4578,48.4578,46.3102,-21.738,18.3807
672,86.3973,86.3973,17.5553,-27.33,3.33025
416,279.627,279.627,-5.2709,15.7797,-2.50864
928,94.6362,94.6362,29.7329,-50.0005,-0.224817
96,459.846,459.846,-29.9166,8.78279,-10.1804
1120,224.72,224.72,41.8393,-44.118,17.0236
608,157.312,157.312,14.4914,-37.6166,26.8762
352,218.908,218.908,-12.384,2.65612,-12.7141
864,2.09786,2.09786,25.0897,-60.2621,12.3461
224,428.152,428.152,-20.767,7.00637,-14.3175
1248,184.824,184.824,56.0959,-38.2396,18.9982
736,91.9765,91.9765,20.4859,-13.9313,-14.7837
480,105.166,105.166,1.2511,9.05858,-10.3773
992,141.655,141.655,33.395,-25.6446,-15.5201
16,255.312,255.312,-41.5018,16.9606,-11.5031
1040,163.408,163.408,36.2628,-28.4756,-10.9718
528,150.97,150.97,8.40074,-48.6959,21.4961
272,89.1583,89.1583,-18.3343,19.0134,17.8675
1296,121.359,121.359,59.1488,-45.88,17.4788
784,17.2052,17.2052,22.8761,-60.0626,0.135018
144,59.5789,59.5789,-29.0076,22.1224,1.87988
1168,355.683,355.683,47.4138,-27.1978,30.7068
656,92.4136,92.4136,16.3536,-35.2232,2.60778
400,279.879,279.879,-7.99773,17.3722,23.8476
912,140.595,140.595,29.3949,-26.3792,5.48997
80,124.514,124.514,-33.6891,48.9095,-5.00023
1104,76.8674,76.8674,40.3352,-51.809,-9.13392
592,105.195,105.195,13.728,-16.4159,-24.2905
336,82.2097,82.2097,-14.925,22.7565,-2.49638
848,327.768,327.768,27.6906,-33.2601,25.1474
208,17.089,17.089,-25.3676,13.7884,21.3442
1232,207.085,207.085,53.1646,-45.2452,3.35867
720,129.807,129.807,20.1751,-25.5264,25.0867
464,109.187,109.187,-0.427499,-0.868197,-25.5691
976,118.316,118.316,32.5719,-38.985,1.5388
48,133.936,133.936,-37.3333,17.2998,-1.56108
1072,0.220228,0.220228,35.4508,-54.3812,-16.5287
560,8.20142,8.20142,9.43237,-22.9428,34.0935
304,51.4042,51.4042,-17.5337,11.3494,0.418266
1328,0.194231,0.194231,60.3001,-56.8887,34.3317
816,111.127,111.127,24.2054,-32.0124,-4.21207
176,118.97,118.97,-26.0148,27.7946,-2.18322
1200,5.6916,5.6916,48.1578,-32.6885,31.1904
688,194.946,194.946,18.7344,-36.0256,-8.77477
432,109.748,109.748,-4.9118,8.44498,6.63085
944,164.003,164.003,32.4123,-19.2255,26.8322
112,285.313,285.313,-28.1619,4.25232,-15.5888
1136,1.34064,1.34064,40.5096,-30.9508,-1.11467
624,8.9721,8.9721,13.8916,-27.7479,28.3027
368,146.879,146.879,-9.89433,-2.56789,-15.4602
240,106.516,106.516,-22.6004,23.9119,7.62978
1264,55.8626,55.8626,56.0409,-32.8923,29.2473
752,101.165,101.165,20.5201,-32.0604,2.12327
496,110.525,110.525,4.43882,5.0723,-23.9609
1008,3.19521,3.19521,31.8529,-19.6347,18.566
8,517.869,517.869,-45.1938,22.6319,17.9648
1032,116.45,116.45,35.6278,-28.0394,8.70194
520,191.482,191.482,7.52009,-8.94116,-26.4471
264,115.326,115.326,-21.297,35.322,-0.148206
1288,15.7679,15.7679,56.1105,-59.3484,32.0809
136,502.059,502.059,-27.2109,2.36391,17.7324
1160,89.3742,89.3742,43.9398,-17.5296,9.25196
648,4.65403,4.65403,14.5109,-36.8771,3.90469
392,88.1641,88.1641,-10.8145,22.2615,5.6835
904,162.764,162.764,29.5621,-22.6929,-19.113
72,225.418,225.418,-32.9076,25.7328,20.3607
1096,87.9399,87.9399,38.3806,-14.7227,-3.14205
584,115.519,115.519,12.6234,-14.7315,-4.51949
328,138.828,138.828,-14.9562,26.9561,-4.96987
840,150.653,150.653,26.6596,-19.8615,4.13516
200,108.514,108.514,-23.6668,33.3679,6.93534
1224,66.271,66.271,51.7766,-30.9042,28.9946
712,168.288,168.288,20.1567,-53.8305,-0.84814
456,201.162,201.162,0.338206,3.77398,-15.0287
40,114.226,114.226,-38.7269,22.571,11.4963
1064,53.3159,53.3159,37.3411,-51.1978,-2.61986
296,36.8376,36.8376,-19.3263,20.0741,-4.03847
1320,14.8458,14.8458,59.9544,-48.9682,-17.2169
808,35.451,35.451,23.3295,-12.7976,-18.6745
168,848.816,848.816,-22.3685,25.2007,27.1036
1192,172.835,172.835,48.9612,-57.1376,-12.6872
680,75.3819,75.3819,18.0192,-28.6845,5.45934
424,222.082,222.082,-4.89373,-0.717171,-19.271
936,107.341,107.341,29.544,-46.6969,12.4843
104,245.199,245.199,-29.5952,40.1719,21.7806
1128,43.3164,43.3164,42.5706,-54.8001,-19.2113
616,151.593,151.593,14.8162,4.33157,-12.7577
360,122.133,122.133,-11.6293,11.5008,-3.30465
1256,0.245625,0.245625,51.531,-60.2928,6.09698
744,156.849,156.849,24.2206,-58.1488,16.745
488,176.838,176.838,3.90048,-0.193117,-21.8028
1000,86.7619,86.7619,34.6136,-7.86363,30.6221
24,129.62,129.62,-41.8601,25.2644,-4.58834
1048,165.117,165.117,37.1324,-21.2595,15.9886
536,153.332,153.332,8.53722,8.50689,-11.4525
280,55.8327,55.8327,-19.3428,19.0732,0.525232
1304,33.7376,33.7376,58.7286,-57.9693,32.4346
792,165.041,165.041,24.4139,-33.7003,-14.0671
152,321.451,321.451,-25.5898,3.67938,-6.22656
1176,120.247,120.247,46.9378,-22.0648,3.78616
664,86.5996,86.5996,16.2743,-4.15969,-6.97984
408,248.293,248.293,-6.58608,3.00292,4.53169
920,4.17596,4.17596,28.3857,-60.3681,-9.84254
88,116.144,116.144,-33.4302,37.6478,7.41173
1112,240.437,240.437,41.9133,-24.1927,32.3601
600,131.273,131.273,14.5688,-57.9009,-1.06035
344,457.396,457.396,-12.3889,-3.24437,17.5088
856,112.669,112.669,26.0542,-5.61346,-16.8983
216,108.947,108.947,-25.0838,37.0067,-1.44508
1240,91.7769,91.7769,51.9649,-27.3101,3.26342
728,187.013,187.013,20.7722,-40.526,6.10229
472,244.699,244.699,-0.0357279,20.3215,-1.14221
984,129.822,129.822,33.6705,-22.9524,-4.9389
56,493.954,493.954,-34.0667,0.918104,-2.6859
1080,7.80492,7.80492,36.9264,-48.9097,10.554
568,1.10957,1.10957,8.94113,-56.8283,13.4809
312,84.9404,84.9404,-16.3243,12.7233,-2.16724
824,168.618,168.618,25.4142,-21.5293,22.6388
184,516.939,516.939,-22.0305,22.8357,21.4794
1208,134.072,134.072,49.9404,-44.0834,-1.25204
696,10.0594,10.0594,17.0724,-35.9917,5.49042
440,162.725,162.725,-3.12367,19.9644,-11.1871
952,120.16,120.16,31.5082,-30.5666,-13.5136
120,100.277,100.277,-30.3603,11.3489,6.10146
1144,82.0758,82.0758,43.578,-49.7563,-8.02314
632,39.9539,39.9539,16.3742,-59.8037,2.28115
376,312.939,312.939,-11.0252,35.0332,5.64881
888,108.845,108.845,28.022,-31.5797,6.64083
248,14.29,14.29,-22.5917,26.0896,-3.69789
1272,109.226,109.226,56.5053,-41.3433,-9.58016
760,72.0061,72.0061,21.6718,-21.3101,33.1243
504,188.47,188.47,6.00142,4.05361,-18.7155
1016,18.3514,18.3514,34.9158,-59.9491,10.7154
4,494.901,494.901,-47.4978,15.7013,-3.8966
1028,116.754,116.754,35.4728,-49.53,-0.357319
516,117.525,117.525,6.28503,-46.2079,16.8646
260,205.512,205.512,-16.8011,42.0734,12.8265
1284,142.27,142.27,58.1021,-37.856,-0.885999
772,88.8488,88.8488,22.2638,-26.1314,-13.5546
132,169.787,169.787,-28.7261,30.5249,7.13223
1156,1.41688,1.41688,42.8489,-60.3256,9.31948
644,162.634,162.634,16.8715,-7.90754,-10.0384
388,232.167,232.167,-8.27337,9.62285,10.7596
900,15.0577,15.0577,29.244,-22.7468,5.95943
68,216.631,216.631,-34.2229,34.216,13.9146
1092,462.102,462.102,42.6543,-54.4616,11.6755
580,104.483,104.483,13.0356,-59.3935,19.3524
324,218.868,218.868,-14.4124,13.165,-15.0819
836,124.368,124.368,25.4877,-26.4648,1.35872
196,184.599,184.599,-22.3876,27.1168,-12.8544
1220,0.713543,0.713543,49.552,-44.8524,34.331
708,236.18,236.18,20.3793,-57.1564,4.33197
452,294.056,294.056,-0.543093,2.30206,5.98978
964,132.745,132.745,31.5613,-38.7097,-7.09841
36,143.368,143.368,-39.3341,19.1017,5.10991
1060,4.98109,4.98109,36.0043,-55.2753,-15.8897
548,115.896,115.896,8.9591,5.27684,-5.99362
292,318.826,318.826,-15.1888,21.6541,-15.0956
1316,72.9033,72.9033,59.617,-39.3458,14.3415
804,173.645,173.645,25.3412,-15.8326,-22.4686
164,73.2858,73.2858,-27.8306,14.7689,2.94192
1188,124.597,124.597,48.6307,-49.9702,0.469642
676,147.743,147.743,18.6058,-23.2767,-2.98716
420,172.808,172.808,-6.25444,13.4425,-19.9562
932,172.407,172.407,30.6762,-15.6412,8.23648
100,71.3279,71.3279,-32.0908,21.1154,5.43191
1124,120.821,120.821,41.5363,-36.9838,5.3263
612,93.4093,93.4093,13.8086,-5.6365,-17.6349
356,3.15842,3.15842,-14.7341,18.9616,-6.19444
868,100.399,100.399,26.5134,-38.7138,8.62543
228,107.411,107.411,-22.8429,9.66975,1.71361
1252,164.118,164.118,54.5962,-49.259,-9.13667
740,354.867,354.867,27.9882,-56.915,30.5186
484,157.515,157.515,2.01671,11.6088,1.16698
996,132.149,132.149,34.2602,-39.8005,-3.33264
20,349.205,349.205,-39.4564,37.9748,18.9944
1044,190.16,190.16,36.4441,-15.3531,5.27388
532,153.254,153.254,8.77858,-11.3864,-21.2839
276,105.039,105.039,-20.147,26.6909,8.3296
1300,63.2265,63.2265,59.251,-55.8021,2.45345
788,401.137,401.137,26.3478,-50.8805,25.4533
148,67.0684,67.0684,-27.379,19.4899,2.2862
1172,137.432,137.432,46.9971,-38.1418,5.60022
660,116.885,116.885,17.5667,-14.1696,-20.6503
404,132.645,132.645,-7.22298,28.7942,-6.95825
916,28.7201,28.7201,28.7259,-19.4051,-9.16752
84,71.5226,71.5226,-33.6476,27.5189,8.46183
1108,125.135,125.135,40.5729,-17.2861,7.42226
596,86.8911,86.8911,13.7198,-58.9118,5.22651
340,168.041,168.041,-11.9025,3.38889,-17.7287
852,65.1823,65.1823,26.4552,-58.34,-13.6471
212,15.1046,15.1046,-24.7988,24.305,11.3463
1236,454.375,454.375,55.1908,-39.1828,31.1792
468,121.947,121.947,0.058436,-0.928568,1.29092
980,20.7016,20.7016,33.0912,-17.8159,33.6559
52,131.135,131.135,-35.7967,18.5775,-6.1142
1076,9.38204,9.38204,36.7078,-46.8109,10.1606
564,99.5329,99.5329,10.6422,-38.7059,21.6916
308,130.727,130.727,-17.0911,31.8709,2.58885
1332,2.42736,2.42736,60.2958,-56.2743,32.2033
820,142.934,142.934,25.2889,-18.2148,26.4369
180,89.411,89.411,-23.5378,30.0422,-14.6634
1204,80.6597,80.6597,49.0112,-51.3352,-9.08625
692,130.707,130.707,18.8354,-22.5729,-16.7893
436,128.059,128.059,-3.5829,-2.15738,-14.4526
948,112.027,112.027,31.1354,-10.1178,-1.7246
116,421.192,421.192,-30.4585,33.781,-0.659673
1140,195.513,195.513,45.2942,-58.382,-19.1303
628,210.399,210.399,15.7398,-45.7942,9.42304
372,127.04,127.04,-10.9519,9.71962,-16.4068
884,167.703,167.703,27.8599,-30.9313,-9.22858
244,94.6497,94.6497,-22.3881,39.4456,-0.584005
1268,91.5166,91.5166,55.7225,-40.3276,-14.6843
756,79.2571,79.2571,24.1578,-59.2925,-22.9568
500,151.872,151.872,3.95549,12.5751,-8.67355
1012,288.64,288.64,36.9196,-52.6961,19.5318
12,379.129,379.129,-42.269,24.7019,14.6478
1036,57.7077,57.7077,35.3124,-11.3884,24.0411
524,207.741,207.741,8.00935,2.74304,-25.1004
268,264.275,264.275,-18.753,30.6462,-5.27811
1292,13.605,13.605,57.0014,-39.0693,-5.48115
780,102.052,102.052,23.0447,-22.6264,-11.5013
140,101.176,101.176,-29.3557,26.2722,17.3835
1164,164.077,164.077,45.8739,-36.9901,9.50311
652,91.8673,91.8673,16.8099,-31.9863,14.2516
396,288.269,288.269,-7.41777,-3.46957,7.15756
908,335.796,335.796,33.1798,-54.3761,13.4746
76,99.1479,99.1479,-34.0213,30.311,-1.53851
1100,121.133,121.133,39.0452,-42.4832,19.0921
588,202.273,202.273,13.4854,-42.7702,24.5206
332,131.891,131.891,-14.9361,7.43709,12.8292
844,191.42,191.42,25.6328,-37.458,13.5641
1228,339.963,339.963,56.0352,-56.7511,11.894
716,135.497,135.497,20.3071,-12.9944,4.16213
460,97.1837,97.1837,-1.91326,-12.6048,-16.255
44,161.256,161.256,-37.7116,43.3142,-6.4857
1068,352.01,352.01,41.9874,-53.4889,17.103
556,285.437,285.437,11.8927,-52.2721,9.08663
300,146.026,146.026,-17.8342,23.9961,-1.61317
1324,1.53798,1.53798,60.0245,-60.2076,-22.5838
812,124.682,124.682,25.3267,-49.5295,-0.657168
