Label, Parent Label
1024,7
512,7
256,2
1280,9
768,7
128,5
1152,9
640,7
384,6
896,7
64,3
1088,9
576,9
320,7
832,9
192,5
1216,9
704,7
448,7
32,2
1056,9
544,7
288,6
1312,9
800,7
160,4
1184,9
672,7
416,10
928,9
96,10
1120,9
608,9
352,7
224,10
1248,9
736,7
480,7
992,7
16,1
1040,7
528,9
272,3
1296,9
784,9
144,5
1168,9
656,7
400,1
912,7
80,5
1104,9
592,7
336,3
848,9
208,2
1232,9
720,9
464,7
976,7
48,3
560,9
304,6
816,7
176,5
1200,9
688,7
432,6
944,9
112,1
1136,7
368,7
240,5
1264,9
752,7
496,7
8,1
1032,7
520,7
264,5
1288,9
136,1
1160,7
648,7
392,3
904,7
72,2
1096,7
584,7
328,3
840,7
200,5
1224,9
712,9
456,7
40,3
1064,9
296,4
808,7
168,1
1192,9
680,7
424,7
936,9
104,1
1128,9
616,7
360,6
744,9
488,7
1000,9
24,3
1048,9
536,7
280,5
1304,9
792,7
152,10
1176,7
664,7
408,6
88,5
1112,9
600,9
344,1
856,7
216,5
1240,9
728,9
472,1
984,7
56,1
312,6
824,9
184,2
1208,9
696,7
440,1
952,7
120,3
1144,9
632,9
376,2
888,7
248,5
1272,9
760,9
504,7
1016,9
4,1
1028,9
516,9
260,2
1284,9
772,7
132,5
644,7
388,6
900,7
68,3
1092,9
580,9
324,10
836,7
196,3
708,9
452,1
964,7
36,3
548,7
292,1
1316,9
804,7
164,4
1188,9
676,7
420,7
932,7
100,5
1124,9
612,7
356,3
868,7
228,6
1252,9
740,9
484,1
996,7
20,1
1044,7
532,7
276,4
1300,9
788,9
148,5
1172,9
660,7
404,1
916,7
84,5
1108,7
596,9
340,7
852,9
212,5
1236,9
468,7
980,9
52,3
564,9
308,4
1332,9
820,9
180,3
1204,9
692,7
436,7
948,7
116,5
1140,9
628,9
372,7
884,7
244,5
1268,9
500,7
1012,9
12,2
1036,9
524,7
268,4
780,7
140,3
1164,9
652,9
396,1
908,9
76,5
1100,9
588,9
332,6
844,7
1228,9
716,7
460,7
44,5
1068,9
556,9
300,4
812,9
172,4
1196,9
428,7
940,9
108,2
1132,9
364,3
876,7
236,1
1260,9
748,9
492,7
1004,9
28,1
1052,9
540,7
284,1
156,5
1180,9
412,1
924,9
92,3
1116,9
604,7
348,6
860,9
220,5
1244,9
732,7
988,9
60,5
572,7
316,2
828,7
188,6
1212,9
700,9
444,7
956,7
124,2
1148,9
636,7
380,2
892,9
252,6
1276,9
764,9
2,1
1026,7
514,7
258,6
1282,9
770,9
130,5
1154,9
642,9
386,1
898,9
1090,9
578,7
322,6
834,7
194,4
1218,9
706,7
450,7
962,9
34,5
1058,9
546,7
290,4
1314,9
802,9
162,6
1186,9
674,9
418,1
930,9
98,4
1122,7
610,7
354,6
866,9
226,6
1250,9
738,9
994,7
18,1
1042,7
530,7
274,3
1298,9
786,7
146,1
1170,9
658,7
402,1
82,5
1106,7
594,7
338,6
850,9
210,3
1234,9
722,7
466,1
50,5
1074,7
562,9
306,6
1330,9
818,9
178,5
1202,9
434,7
946,9
114,5
1138,9
626,7
370,10
882,9
242,2
754,7
498,9
1010,9
10,2
1034,7
522,7
1290,9
778,7
138,2
1162,9
650,7
394,2
906,9
74,3
1098,9
330,1
842,7
202,1
1226,9
714,9
458,7
970,7
42,5
554,7
298,3
1322,9
810,7
170,3
1194,9
682,7
426,7
938,9
106,4
1130,9
618,7
362,7
874,7
234,4
1258,9
746,7
490,1
1002,7
26,4
1050,9
538,9
282,6
1306,9
154,2
1178,9
666,7
410,6
922,7
1114,9
602,7
346,3
858,7
218,1
1242,9
474,7
986,7
58,2
1082,9
570,7
314,5
186,5
1210,9
698,7
442,1
954,7
122,1
1146,9
634,7
378,7
250,6
1274,9
762,7
506,7
1018,9
6,1
1030,7
518,7
262,4
1286,9
774,7
134,1
1158,9
646,9
390,7
902,9
70,1
1094,9
582,7
326,4
198,3
1222,9
710,9
454,7
966,9
38,5
550,9
294,5
1318,9
166,4
1190,9
678,9
422,1
934,9
102,5
1126,9
614,9
358,6
870,9
230,5
1254,9
742,7
486,7
998,9
22,1
1046,9
534,7
278,1
1302,9
790,9
150,5
1174,9
662,7
406,7
918,7
86,4
1110,9
598,9
342,1
854,9
214,6
1238,9
470,7
982,9
54,5
1078,9
566,9
310,1
822,7
182,3
1206,9
438,7
950,9
118,3
1142,7
630,9
374,2
886,7
246,6
1270,9
758,7
502,7
1014,9
14,2
1038,7
526,9
270,10
1294,9
142,5
1166,9
654,9
398,6
910,9
78,3
1102,9
334,6
846,9
206,1
1230,9
718,9
46,1
1070,9
558,7
302,1
1326,9
814,7
174,3
1198,9
686,9
430,10
942,9
110,5
1134,9
366,1
878,9
238,4
1262,9
750,7
494,7
1006,9
30,4
542,9
286,1
1310,9
798,7
158,3
1182,9
670,9
414,7
94,2
1118,9
606,7
350,3
862,7
222,1
1246,9
734,9
478,7
990,9
62,3
1086,9
574,9
318,3
190,6
1214,9
702,9
446,7
958,7
126,3
1150,9
638,9
382,2
894,9
254,6
1278,9
510,7
1022,9
1025,9
513,7
257,1
1281,9
769,9
129,6
1153,9
641,7
385,2
897,9
65,5
1089,7
577,7
321,10
833,9
193,1
1217,9
705,7
449,7
961,9
33,5
1057,7
545,7
289,5
1313,9
801,7
161,3
1185,7
673,7
417,1
929,7
97,5
1121,7
609,7
353,10
865,9
225,5
1249,9
737,9
481,7
993,7
17,1
1041,7
529,9
273,6
1297,9
785,9
145,5
1169,9
657,7
401,1
913,7
81,4
1105,7
593,7
337,1
849,9
209,3
721,9
465,1
977,9
49,5
1073,7
561,7
305,4
817,9
177,5
1201,9
689,7
433,10
945,9
113,3
1137,9
625,9
369,2
881,9
241,1
1265,9
753,7
497,7
1009,9
9,2
1033,9
521,7
265,2
777,7
137,2
1161,9
