Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
2048,127.955,127.955,36.3544,-61.178,-6.48089
1024,164.222,164.222,-6.95754,-43.4077,3.50422
512,92.6549,92.6549,-29.054,-52.805,-0.916069
2560,219.077,219.077,60.3264,-55.2149,-19.1
1536,262.39,262.39,16.4532,-13.6324,-23.6004
256,268.691,268.691,-40.2006,1.87815,-7.6054
2304,147.557,147.557,46.2319,-16.5327,-5.20846
1280,28.0775,28.0775,2.23306,-25.49,20.5638
768,173.665,173.665,-18.062,31.1948,8.07004
2816,18.4514,18.4514,63.9217,-53.0567,6.83698
1792,11.6591,11.6591,22.3948,-55.5116,-5.93409
2176,84.9393,84.9393,40.9935,-59.4809,21.3666
1152,302.548,302.548,0.529483,-55.0623,-32.8597
640,76.8224,76.8224,-23.0199,-29.5522,-34.7001
2688,116.437,116.437,61.5681,-15.5699,2.4797
1664,260.533,260.533,21.3188,-46.2151,-32.9354
384,282.466,282.466,-31.5122,-57.9771,-30.2868
2432,0.82648,0.82648,54.2756,-63.6356,35.4913
1408,141.988,141.988,9.77962,-29.0031,0.661322
896,11.8344,11.8344,-14.7417,-7.36015,-30.6085
1920,116.925,116.925,29.8362,-16.152,-10.1963
64,5.17894,5.17894,-63.5059,-33.0173,-34.8482
2112,118.592,118.592,38.7206,-57.4444,15.0911
1088,96.0082,96.0082,-4.39181,-62.8145,14.8063
576,179.384,179.384,-26.7422,30.5882,-10.6448
2624,141.273,141.273,59.4259,-9.5333,-7.3215
1600,218.023,218.023,18.4149,-36.3563,-15.1808
320,188.457,188.457,-36.6679,11.9999,13.6758
2368,142.57,142.57,49.2318,4.26629,-16.6173
1344,145.055,145.055,6.40041,0.936681,-24.0632
832,106.032,106.032,-16.4423,-23.8178,-14.98
1856,263.717,263.717,27.8717,-55.4661,-8.67082
192,153.874,153.874,-46.6578,30.7385,1.72472
2240,54.2855,54.2855,41.5986,-2.01702,-33.3431
1216,121.26,121.26,0.532045,-51.9482,11.7573
704,190.456,190.456,-20.7514,7.26792,-12.0698
2752,139.531,139.531,62.9065,-9.42686,8.03105
1728,40.5466,40.5466,22.0506,-34.276,-34.8438
448,179.418,179.418,-31.3741,5.74248,2.20945
2496,49.2741,49.2741,53.7514,26.871,-35.0052
1472,87.77,87.77,11.9775,-48.3838,11.4699
960,231.4,231.4,-8.52596,-9.05027,-26.1698
1984,17.4665,17.4665,30.3071,-62.7138,7.43931
32,39.953,39.953,-63.4554,-54.4602,-15.1709
2080,52.4434,52.4434,36.3281,-58.2401,-10.107
1056,156.612,156.612,-5.53101,-39.0468,-33.4539
544,153.848,153.848,-27.3862,1.55404,14.8419
2592,127.961,127.961,57.938,-8.04781,-32.2454
288,34.0221,34.0221,-41.8188,-34.1153,-17.6982
2336,26.5112,26.5112,46.0547,-12.2879,-14.2191
1312,180.435,180.435,7.16928,-17.6991,12.7466
800,128.64,128.64,-17.2355,-45.1412,0.167024
2848,13.8726,13.8726,64.2133,-31.0957,-8.89855
1824,166.119,166.119,25.4957,-42.7342,-3.2639
160,158.526,158.526,-49.5918,-40.5477,-16.3533
2208,240.593,240.593,43.7017,-35.4099,-33.4853
1184,155.878,155.878,-0.537665,-2.84825,14.3783
672,157.021,157.021,-23.3005,29.9062,0.561882
2720,144.144,144.144,62.7583,-17.9375,-33.5577
1696,122.255,122.255,20.6448,-59.963,-9.53517
416,288.433,288.433,-30.5679,-38.426,-32.6201
2464,102.939,102.939,52.5898,-33.9587,5.37469
1440,185.017,185.017,11.3666,-26.5954,12.4597
928,23.6345,23.6345,-13.8769,-58.783,7.72423
1952,77.0677,77.0677,29.8541,-58.3535,-24.8934
96,307.147,307.147,-54.6798,-57.3109,-16.5152
2144,41.6796,41.6796,37.8369,-22.9022,-14.8475
608,143.135,143.135,-26.0945,25.3339,-9.59067
2656,72.7735,72.7735,59.8684,-57.2906,-6.1853
1632,123.756,123.756,19.0478,0.0370463,-19.8425
352,158.809,158.809,-34.9631,22.6821,-14.5035
2400,225.021,225.021,51.4958,-1.52521,-19.2865
1376,189.242,189.242,8.6422,-55.6515,-3.83082
864,133.235,133.235,-14.1996,-41.664,-7.27678
1888,147.709,147.709,28.4827,-49.5156,-4.50028
224,155.702,155.702,-44.425,41.8469,1.30044
2272,158.636,158.636,45.2076,-7.16558,-32.3436
1248,216.174,216.174,9.38819,-16.8972,-34.3031
736,265.965,265.965,-19.104,30.0411,0.774395
2784,45.9287,45.9287,63.3564,-54.211,9.58711
1760,124.951,124.951,23.6743,-43.8331,15.1318
480,172.617,172.617,-28.9618,-54.3445,-9.93964
2528,20.76,20.76,54.2374,-50.9144,7.05478
1504,3.74498,3.74498,10.8513,-9.55842,-35.0767
992,12.9269,12.9269,-11.4774,-15.1773,-29.2478
2016,143.157,143.157,34.6797,-43.9642,0.333007
16,106.895,106.895,-61.7242,-62.369,30.0657
2064,56.8141,56.8141,35.0017,-55.2646,-5.44769
