Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
1536,149.367,149.367,-5.59564,45.6656,8.12504
256,134.459,134.459,17.4288,64.0199,11.518
768,112.013,112.013,15.5111,57.5188,4.63141
1152,158.987,158.987,14.1277,45.8256,2.48028
4736,63.9803,63.9803,-23.1592,45.9546,-2.3774
3712,169.802,169.802,-9.49374,48.9847,3.77832
3968,119.73,119.73,-0.410617,48.8734,3.28223
4160,153.894,153.894,36.4284,73.4273,3.16323
1344,162.988,162.988,3.12701,65.4566,13.6654
704,129.605,129.605,5.16138,45.025,5.3414
448,168.702,168.702,-26.0118,53.4909,6.47066
3008,249.195,249.195,27.0862,68.8861,10.07
3104,153.533,153.533,-7.91231,41.0586,16.3164
4256,97.2397,97.2397,41.4447,69.988,15.8165
4768,137.525,137.525,21.2047,44.2441,13.7215
2464,139.773,139.773,-10.4086,49.4852,-15.149
4000,114.749,114.749,20.8309,58.2107,17.8409
2656,460.337,460.337,23.9695,72.511,-4.26084
4448,140.342,140.342,-12.2489,62.5102,-0.118509
1248,195.5,195.5,7.13856,64.2049,8.04408
736,139.403,139.403,21.0026,65.236,14.8673
2784,339.363,339.363,-15.6145,51.1216,-20.2433
4576,296.855,296.855,21.2226,36.1712,14.1767
1040,143.401,143.401,-24.7653,33.0924,-22.2048
3600,241.8,241.8,17.3278,39.8946,20.9233
4368,241.197,241.197,-35.6897,44.5006,-21.5487
144,127.787,127.787,-13.8795,44.8832,-1.43065
2704,965.251,965.251,42.8968,62.7482,13.5729
400,122.632,122.632,22.5126,68.6986,10.6746
4496,202.946,202.946,10.6756,37.9911,13.0309
2960,195.758,195.758,-20.4137,37.5253,-21.1054
3152,134.854,134.854,24.0075,52.1471,18.5644
720,122.324,122.324,22.115,42.5643,18.5825
48,168.4,168.4,-16.6169,57.3545,-9.3448
2096,114.644,114.644,3.00294,68.3732,10.6372
560,211.903,211.903,-23.2777,50.6434,-19.6424
3376,217.56,217.56,17.3573,60.0381,15.4313
2224,189.549,189.549,-39.1204,45.3408,-15.9454
432,207.608,207.608,-2.06563,58.1119,18.8708
1968,132.431,132.431,-38.9861,51.8035,-13.3083
4208,121.072,121.072,26.7984,48.5228,6.74336
2288,84.958,84.958,32.7816,56.5171,5.9432
3312,119.799,119.799,-30.5419,46.3739,3.45444
752,132.773,132.773,-19.8609,59.6796,-4.80481
1520,225.989,225.989,26.5006,52.6921,-13.5304
2056,160.051,160.051,-10.4883,42.7873,-10.5796
904,140.334,140.334,-3.47253,48.9618,-3.04288
3656,126.305,126.305,31.8219,46.1105,12.038
1992,147.89,147.89,-26.4787,57.9485,1.39657
1064,306.947,306.947,29.9617,36.6167,6.01988
1320,100.941,100.941,53.1863,67.4047,19.2592
2856,106.983,106.983,43.9955,55.7853,8.93243
1832,104.252,104.252,-22.3024,53.5963,-14.1272
1192,205.521,205.521,25.1712,68.2445,18.5111
1704,119.92,119.92,22.4382,57.4794,6.11512
1448,183.362,183.362,-27.0905,62.5768,-19.2183
104,126.613,126.613,-6.35507,37.3134,8.27542
2152,157.642,157.642,-11.0686,49.9591,15.0047
1128,362.643,362.643,30.6023,62.9983,-4.96676
3688,139.944,139.944,-32.2691,54.0998,-3.63737
1896,212.924,212.924,11.5489,50.6499,-7.49208
3736,199.95,199.95,-11.1355,49.4668,-20.2989
3992,195.486,195.486,-24.9225,36.5332,-15.327
4184,154.531,154.531,-10.0892,62.1745,9.9525
1112,137.678,137.678,-4.89981,54.6466,-1.85377
344,201.527,201.527,20.5081,35.7449,4.19209
856,217.189,217.189,-30.8952,45.3807,-23.7295
3928,148.729,148.729,-10.23,44.7999,5.21995
2264,178.257,178.257,-5.92782,62.5253,12.0257
1240,160.358,160.358,-7.42848,55.0797,-4.26951
472,150.767,150.767,-5.54589,50.5904,17.009
4056,127.957,127.957,33.0191,61.0304,5.19227
1080,148.307,148.307,29.0171,70.2167,20.95
696,177.723,177.723,-23.065,53.0437,9.78417
3768,132.471,132.471,-12.6432,56.7123,-19.9844
952,230.525,230.525,40.6329,65.8979,-1.01794
3000,170.965,170.965,-18.0613,49.7314,-10.1298
3704,141.261,141.261,-31.755,55.9979,-15.0706
1272,98.368,98.368,35.3357,56.2451,17.3649
760,225.994,225.994,33.0626,74.2742,-1.08933
1016,137.304,137.304,31.5476,68.1015,19.6202
2052,167.134,167.134,-14.5892,45.2989,-27.3319
1540,158.512,158.512,47.7625,62.8316,21.956
2308,185.392,185.392,8.55237,40.1983,5.83309
3844,146.815,146.815,-19.1715,42.0655,12.7409
644,269.311,269.311,26.3236,46.5181,-8.48545
2116,126.47,126.47,-25.1222,46.5477,3.02542
1348,126.553,126.553,-12.3683,55.6973,-16.0911
2884,127.314,127.314,-21.7919,62.4418,-1.03182
708,112.534,112.534,-1.59916,62.9362,13.8868
292,144.826,144.826,32.7114,53.0256,-0.183297
1316,161.802,161.802,17.5203,64.7795,-4.36159
3876,147.289,147.289,-22.9498,46.5425,6.26023
1188,128.989,128.989,-8.2626,48.4271,-3.28901
100,98.9992,98.9992,39.3629,68.3558,7.30244
1380,185.844,185.844,-9.11477,38.6803,-0.327171
3428,177.33,177.33,12.705,60.5235,18.3821
2916,134.055,134.055,16.7084,54.4629,11.1757
3940,120.12,120.12,17.6431,42.3246,5.43161
740,131.423,131.423,-12.7061,58.5326,4.04814
3556,188.157,188.157,-24.2476,65.4091,-11.481
4068,156.437,156.437,7.86644,62.6483,21.1046
1812,110.968,110.968,42.5549,54.4808,16.1695
148,142.325,142.325,-22.9284,41.3387,8.6233
4500,121.98,121.98,29.4683,52.0413,7.56146
