Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
1536,138.927,138.927,-5.57433,45.6792,8.14867
256,99.5916,99.5916,17.353,64.0257,11.5261
768,82.0071,82.0071,15.3843,57.5128,4.61316
1152,144.727,144.727,14.0415,45.8254,2.49755
4736,31.6529,31.6529,-23.1886,45.9543,-2.28278
3712,142.945,142.945,-9.4942,48.9838,3.65446
3968,95.8049,95.8049,-0.411545,48.8532,3.33112
4160,121.669,121.669,36.5062,73.4443,2.90103
1344,148.164,148.164,3.17119,65.3847,14.0085
704,101.891,101.891,5.07971,45.0067,5.36174
448,168.727,168.727,-26.0559,53.5145,6.52916
3008,232.775,232.775,27.0906,68.8959,10.0505
3104,153.519,153.519,-7.95193,41.037,16.3398
4256,64.3343,64.3343,41.5201,70.0856,15.7292
4768,124.83,124.83,21.1602,44.2288,13.711
2464,128.526,128.526,-10.3596,49.5033,-15.1669
4000,66.3501,66.3501,20.8079,58.2747,17.8192
2656,664.244,664.244,24.038,72.5473,-4.45765
4448,123.076,123.076,-12.2732,62.5459,-0.136096
1248,197.61,197.61,7.08324,64.2284,8.11376
736,107.568,107.568,21.0055,65.249,14.8529
2784,285.545,285.545,-15.9348,51.1257,-21.1179
4576,357.216,357.216,21.1379,36.1578,14.2966
1040,132.037,132.037,-24.7458,33.1094,-22.1762
3600,281.859,281.859,17.3568,39.8596,20.9813
4368,254.782,254.782,-35.6911,44.477,-21.4524
144,95.4302,95.4302,-13.9237,44.8705,-1.47683
2704,1858.91,1858.91,43.4968,62.9306,13.8434
400,80.1905,80.1905,22.4608,68.6766,10.6321
4496,220.389,220.389,10.6181,37.9305,13.1051
2960,192.175,192.175,-20.3127,37.5565,-21.0631
3152,104.659,104.659,23.9502,52.1247,18.4979
720,94.1338,94.1338,22.034,42.5915,18.6304
48,164.21,164.21,-16.6056,57.3972,-9.30579
2096,87.4022,87.4022,2.96116,68.3681,10.4916
560,184.561,184.561,-23.2801,50.6709,-19.7253
3376,213.207,213.207,17.3919,59.9951,15.2139
2224,196.84,196.84,-39.1231,45.328,-15.8815
432,225.484,225.484,-2.12509,58.0823,18.8951
1968,111.299,111.299,-39.007,51.7758,-13.2462
4208,100.702,100.702,26.7486,48.5045,6.75565
2288,58.085,58.085,32.7929,56.5283,5.97331
3312,102.523,102.523,-30.5744,46.3668,3.53451
752,110.87,110.87,-19.8174,59.7035,-4.80595
1520,240.064,240.064,26.5545,52.5946,-13.7072
