Label, Parent Label
1536,7
256,6
768,6
1152,6
4736,7
3712,7
3968,7
4160,3
1344,1
704,7
448,7
3008,4
3104,7
4256,5
4768,10
2464,7
4000,2
2656,1
4448,7
1248,6
736,3
2784,7
4576,1
1040,7
3600,1
4368,7
144,7
2704,5
400,3
4496,1
2960,7
3152,3
720,10
48,7
2096,1
560,7
3376,10
2224,7
432,7
1968,7
4208,3
2288,5
3312,7
752,7
1520,1
2056,7
904,7
3656,3
1992,7
1064,1
1320,5
2856,5
1832,7
1192,3
1704,5
1448,7
104,7
2152,7
1128,2
3688,7
1896,1
3736,7
3992,7
4184,7
1112,7
344,1
856,7
3928,7
2264,7
1240,7
472,7
4056,5
1080,3
696,7
3768,7
952,3
3000,7
3704,7
1272,5
760,2
1016,4
2052,7
1540,5
2308,7
3844,7
644,1
2116,7
1348,7
2884,7
708,7
292,3
1316,6
3876,7
1188,7
100,5
1380,7
3428,10
2916,6
3940,6
740,7
3556,7
4068,1
1812,5
148,7
4500,4
2516,6
1492,6
3028,1
3124,6
2356,2
2868,7
3764,3
116,1
1140,7
628,6
2932,7
3316,4
3572,7
1012,6
780,3
140,1
1676,6
1420,6
908,7
3916,6
460,7
2508,4
3020,7
4652,7
3628,5
1324,7
3372,7
3756,7
940,7
620,7
4332,7
2588,7
796,7
4252,3
1180,4
2716,3
3740,5
4508,7
4572,5
2524,7
1500,6
988,7
3036,7
4284,7
4220,7
1916,7
764,7
508,7
4092,7
1794,7
3842,5
3906,6
4290,7
3266,1
962,1
3618,4
418,3
3490,7
2402,7
3426,7
4322,10
1762,6
2530,7
994,7
4626,6
3346,1
786,7
2834,6
2194,6
4754,7
3474,7
3986,3
4434,6
3282,5
4146,7
2098,7
178,3
1202,2
2482,1
4210,7
4722,5
4466,7
498,7
522,6
266,4
2826,7
4746,7
1674,7
3722,5
3466,7
3146,7
1226,7
2762,7
2506,1
4042,1
42,5
4138,5
1450,7
938,7
1962,7
3178,1
1386,1
490,7
1050,7
154,6
410,1
1434,7
3482,1
2970,7
2138,5
2394,5
3930,6
2266,3
1242,7
986,7
3130,1
4666,2
2618,5
1594,7
314,3
1338,5
2874,7
3258,7
698,3
122,7
2170,6
1146,1
634,2
4730,2
3706,7
4474,7
1402,7
4602,4
518,7
1542,7
3590,7
2438,4
1926,7
4422,4
2886,5
1222,7
3270,7
1734,3
4038,6
4646,7
4390,7
806,7
4518,7
102,1
2150,4
1126,7
358,6
1254,1
1046,7
3094,3
4630,7
278,7
790,3
1686,7
918,5
1942,2
598,5
342,7
4566,7
1334,1
822,7
1462,7
2998,10
3446,7
246,5
2294,2
4598,7
2550,6
1526,7
4110,1
1550,6
3598,7
3854,7
654,7
1678,7
3726,7
2638,1
1870,7
3278,7
2510,6
4142,7
558,5
174,7
2734,2
1774,7
2542,1
3102,1
2590,7
2846,7
4254,4
2718,7
1950,7
862,7
3934,1
3294,4
734,1
1502,7
3550,6
2014,5
1086,1
3134,1
2622,3
830,5
3902,2
190,7
3006,5
126,4
3710,7
4350,7
2814,7
1025,1
2305,7
4481,2
3649,6
4545,7
289,3
801,7
2209,6
2145,3
3169,7
609,2
3937,7
3553,6
2017,6
4113,7
3217,7
2705,5
3729,2
721,7
2769,6
4561,7
3025,7
4273,7
4529,6
2481,1
2161,1
1393,1
3441,7
881,4
3825,7
3057,3
4105,7
4233,5
2697,5
2953,10
1929,7
4137,5
2089,7
809,7
4521,7
2473,6
3177,4
4713,6
3689,6
2921,10
1897,7
3945,1
1257,6
4585,5
4073,6
4121,3
793,7
1817,7
4249,3
1177,7
2649,1
345,7
729,7
2777,7
2521,10
985,7
2009,7
4057,1
4153,10
1593,7
3641,2
2361,10
4281,3
633,7
2809,4
3577,7
4101,7
1029,7
2949,6
3973,7
2117,7
3141,7
2885,3
709,1
3013,7
37,7
4773,5
421,7
3173,3
3685,6
357,6
1381,7
229,7
4581,7
3557,1
2581,5
3349,1
789,7
4757,7
1685,7
4501,2
2453,5
725,6
2005,7
2741,7
4533,7
4213,10
3189,6
373,3
2421,1
4341,6
2805,4
4085,6
2061,7
1293,6
1165,6
1421,7
3469,3
3149,1
3917,5
301,1
1837,7
3245,7
1965,7
4013,7
2669,2
1645,6
3821,7
2333,7
1181,7
2461,7
2141,3
3677,7
3549,7
573,7
1341,4
957,7
4029,7
3197,7
2941,7
3965,7
2301,3
1789,1
3837,7
2947,7
2371,7
3267,4
2595,1
2851,6
3875,5
2723,7
2147,7
1379,1
3555,7
2019,5
3091,7
659,7
2707,7
2451,7
3987,5
1107,1
4691,1
3667,2
4435,1
979,7
563,7
2611,10
3379,7
1843,7
2483,7
1459,7
115,5
1139,6
3187,5
1907,7
1011,7
11,7
1035,5
1547,7
139,7
3979,3
971,1
3019,6
2731,1
2475,7
1963,5
1131,1
1387,7
3435,3
1899,7
3947,5
3307,6
3099,5
4379,7
2843,6
3867,7
3227,1
1691,4
1947,7
603,4
4315,10
2267,7
1755,7
4571,3
3547,7
987,4
3035,10
3643,7
4411,4
827,7
1851,2
1531,5
4103,7
2567,7
3463,1
903,7
2119,3
3655,7
839,6
2247,1
1063,7
2599,7
295,5
2855,1
2727,5
935,7
103,7
