Label, Parent Label
4608,4
2560,7
3584,1
1792,9
3840,6
4736,5
1664,9
2432,9
1408,9
2944,7
1920,9
4160,10
2624,7
1600,9
2240,7
4544,3
2496,9
1472,9
3008,7
4128,6
4640,3
2336,7
4256,6
4768,4
2656,7
4448,1
3936,1
3296,7
2784,7
3808,7
1504,9
2064,9
3088,9
2576,7
3344,9
2832,7
1680,9
3472,7
2960,7
3984,6
4176,1
2128,7
2640,9
1616,9
3664,7
2384,7
3280,9
3792,7
3024,7
2000,9
4144,9
3120,9
2608,7
1584,9
3376,7
2224,9
2480,7
1456,9
2992,7
2160,7
3184,7
1648,9
1392,9
3440,1
1904,9
3312,7
2800,7
4592,1
1520,7
3056,9
4080,10
4104,6
1544,9
3592,1
4360,3
2824,7
2184,9
1672,9
4488,6
2952,7
1928,9
3144,9
4680,3
2632,9
3656,1
4424,5
2888,7
2248,7
4552,3
2504,7
1480,9
2088,9
3624,6
4904,5
1832,9
4264,1
2216,7
2728,7
2472,9
1448,9
4008,6
4200,1
2152,7
4456,4
2408,7
2920,9
3816,9
4376,1
2840,9
1816,9
4248,2
2200,7
4760,2
2712,7
3480,1
2968,7
3992,1
4184,2
2136,7
2648,7
1624,9
4440,1
2392,7
2904,7
4312,2
2776,7
4568,5
2520,7
3544,7
4056,1
3768,6
4536,5
1464,9
1976,9
4216,2
2168,9
1656,9
3960,1
2296,7
2040,7
2052,7
2308,7
3332,9
2820,9
2692,7
3716,9
4164,6
1604,9
3652,6
2372,7
1348,9
2884,9
1860,9
3908,10
4292,6
4804,5
2756,7
2500,7
1476,9
3012,9
1572,9
3620,7
2340,7
3236,7
4772,5
2724,7
3748,9
2468,9
1444,9
3684,1
2916,7
2276,7
1252,9
4836,5
3812,7
2532,7
3556,1
3044,7
2068,9
4628,5
1556,9
3604,1
1812,9
2196,9
3220,9
2708,7
1428,9
1940,9
4436,2
2388,9
1876,9
2260,7
3284,7
4820,3
2004,9
2100,9
4404,2
2868,7
2228,9
3252,7
4788,3
3508,7
1972,9
3188,9
1396,9
2932,7
2804,9
4364,2
1292,9
4492,1
2444,7
1420,9
1932,9
4684,3
3916,6
2252,7
3276,7
2764,7
2508,7
3532,7
1996,7
4044,10
2092,7
3628,9
4396,2
1324,9
4908,5
2860,9
1836,9
3884,6
4780,5
2732,7
2668,7
1644,9
3436,9
4332,6
2796,9
1772,9
3820,1
1516,9
2028,9
4124,6
3100,7
2588,7
2332,9
3356,7
2844,9
3228,7
4764,3
3740,6
1436,9
3484,9
2972,7
1948,9
2140,9
3164,9
4444,4
3420,7
3932,1
2268,7
4572,5
2524,7
3036,7
4060,9
2108,9
3132,9
4668,5
2620,7
1596,9
4412,3
2364,7
4924,5
2876,7
4540,3
2172,7
2684,9
3452,9
4348,6
3324,7
2812,7
3068,9
2044,9
1538,9
1794,9
4226,6
1410,9
3970,9
2114,7
3650,1
2370,9
1346,9
2882,7
1858,9
2242,7
3778,6
4546,4
3010,9
4130,1
3618,7
4386,2
1314,9
4258,6
2722,7
1442,9
2978,9
1954,9
3170,7
2402,7
1378,9
4322,2
1250,9
4834,5
1762,9
1506,9
2018,9
4114,2
1554,9
2322,7
4882,5
3858,1
1682,9
3474,9
2962,7
4690,4
2642,7
4434,5
1874,9
3922,6
4306,6
4818,3
1746,9
4562,5
1490,9
3538,7
3122,7
2610,7
3634,1
4914,5
1842,9
4274,6
1202,9
4786,5
4530,3
2162,9
1650,9
3698,9
4466,1
1394,9
4338,3
1266,9
3314,7
3826,7
1522,9
3082,7
4618,1
3338,7
2826,7
1802,9
3850,7
4234,3
2698,7
1674,9
1930,9
3978,6
2634,9
1610,9
1354,9
3402,9
2890,7
4298,3
2250,7
1738,9
3786,1
4554,3
3018,7
3114,7
