Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
2560,314.415,314.415,17.2424,-37.3921,22.5431
4224,97.5563,97.5563,14.9344,-48.3863,9.7214
2176,111.079,111.079,-17.3566,-57.7233,6.95329
640,142.454,142.454,-42.6857,-71.976,-10.1671
2688,202.207,202.207,39.3477,-37.6519,9.76569
896,144.35,144.35,-23.1384,-73.6504,-8.64974
2944,220.817,220.817,24.444,-58.3848,1.3382
2112,152.149,152.149,-31.8122,-48.9531,-27.7738
1088,134.357,134.357,-18.1066,-79.8039,1.0076
4672,161.382,161.382,-50.4588,-44.5933,-17.7265
320,243.665,243.665,-0.738555,-41.3147,2.21524
192,321.703,321.703,20.5553,-29.94,15.8239
3776,274.855,274.855,48.5775,-54.1727,5.86041
4032,107.287,107.287,35.6727,-41.5298,8.90824
4640,104.532,104.532,18.022,-50.8792,11.3631
800,146.817,146.817,26.0866,-57.2041,3.5828
160,143.505,143.505,-14.1085,-61.4413,3.67292
1184,107.235,107.235,27.4207,-45.4515,-5.40576
3232,208.639,208.639,3.61333,-52.3056,9.55279
3744,100.752,100.752,-11.878,-68.0893,5.86961
4512,82.6766,82.6766,-18.0527,-61.4284,9.63746
3488,71.8666,71.8666,31.0928,-46.6029,-3.00858
928,269.211,269.211,7.55598,-32.9798,14.3575
2976,95.8714,95.8714,15.232,-50.8641,6.2147
608,277.587,277.587,31.1969,-25.1009,7.12679
2912,85.7595,85.7595,-19.7133,-71.7474,-6.4675
3808,245.208,245.208,-0.254523,-53.2264,0.830958
3552,261.633,261.633,33.5664,-47.2997,-6.65442
16,58.6794,58.6794,-13.3894,-62.3135,13.1964
4112,129.779,129.779,22.4238,-46.5614,6.849
2576,142.143,142.143,-33.6601,-40.0174,-16.6125
2832,128.018,128.018,-21.4955,-54.9231,0.469162
1808,100.261,100.261,-26.9885,-46.632,-13.3017
1168,138.446,138.446,-31.1473,-58.07,2.64652
3216,183.394,183.394,23.5358,-58.6369,13.779
2448,172.035,172.035,-28.0636,-60.3545,0.388796
1936,91.1152,91.1152,43.9633,-42.1844,10.2153
80,172.001,172.001,13.417,-64.9432,14.4562
3664,160.095,160.095,-27.1998,-66.2787,-24.9393
1360,174.421,174.421,26.5283,-39.4024,13.6797
208,257.657,257.657,7.37304,-50.8148,23.2619
4560,95.0395,95.0395,-7.65674,-59.7586,9.59746
3536,155.38,155.38,29.8793,-43.2086,24.697
2000,183.323,183.323,9.14965,-71.4228,16.3524
4048,176.314,176.314,-27.9388,-78.8326,-17.7135
3120,94.5437,94.5437,-18.2508,-66.7286,1.22084
4656,116.282,116.282,-21.3817,-81.2552,6.16626
3632,134.886,134.886,-1.43369,-60.7269,13.7071
3888,95.2962,95.2962,12.6241,-58.8845,13.8548
1712,149.665,149.665,-27.5153,-74.5541,-2.98815
1136,119.112,119.112,15.8803,-42.3124,13.2832
3184,90.7404,90.7404,19.3546,-43.0583,5.43103
240,147.484,147.484,-29.994,-78.6997,-0.498018
1264,129.597,129.597,6.4072,-61.4348,18.2024
3568,101.234,101.234,18.5105,-51.0221,3.40636
2032,197.191,197.191,-25.0377,-70.1862,-27.0618
4080,209.131,209.131,-35.8422,-71.0576,-9.38615
3208,139.225,139.225,-14.0848,-71.6002,15.4495
2952,100.33,100.33,2.41522,-68.5519,8.61778
1928,122.513,122.513,27.7276,-41.8889,-4.52078
2120,99.3266,99.3266,36.859,-42.0702,2.91673
2376,115.231,115.231,9.88827,-62.2581,14.9454
2888,133.971,133.971,-45.4692,-55.6317,-10.3189
4296,143.279,143.279,-37.1291,-79.9977,-13.1163
968,155.47,155.47,-35.0675,-57.3447,-10.5961
2088,127.19,127.19,-21.2001,-65.5147,-2.01818
296,112.64,112.64,-42.3071,-50.4935,-10.6478
680,227.828,227.828,-32.5854,-44.9284,-19.7173
3752,154.83,154.83,-18.9552,-74.8588,14.8709
2984,375.205,375.205,19.1539,-49.5049,-14.8124
4200,158.687,158.687,-20.5781,-62.9692,-11.5739
872,104.841,104.841,24.9805,-41.2377,1.64981
2920,211.818,211.818,39.9282,-29.4575,8.71913
232,142.11,142.11,-38.496,-86.1065,-21.0394
4072,224.138,224.138,-29.071,-56.9377,-21.231
536,156.452,156.452,16.5257,-52.9176,8.9068
2584,138.646,138.646,-14.6075,-82.6323,8.24327
2328,157.751,157.751,-35.1918,-75.3458,3.60069
3352,227.06,227.06,35.3175,-62.4685,6.08846
152,176.079,176.079,-21.2295,-72.6283,-23.3941
1688,150.623,150.623,6.84446,-53.4947,3.15987
408,225.915,225.915,31.2194,-39.2533,8.34124
3160,123.787,123.787,-43.2895,-57.6152,-6.18541
4696,159.415,159.415,-7.94996,-74.9525,18.7591
3416,98.8548,98.8548,28.0181,-41.4553,17.5463
1880,111.002,111.002,-3.76482,-71.5096,8.19578
4312,205.784,205.784,33.8631,-56.818,-2.78013
4568,192.84,192.84,-24.2194,-54.2974,-20.5863
2520,180.419,180.419,-21.1833,-67.9548,-12.7288
1496,384.943,384.943,10.2309,-55.1987,-7.9134
2616,49.4198,49.4198,25.5562,-54.0192,-0.306381
3640,75.5784,75.5784,23.1662,-41.6449,15.3068
312,150.461,150.461,-23.4286,-78.9276,-2.4541
2360,125.289,125.289,-24.6158,-45.7308,-14.3527
824,142.936,142.936,-51.4502,-73.5532,-14.9607
2872,198.227,198.227,18.4243,-62.4031,21.3743
1208,150.83,150.83,37.7366,-45.0614,21.444
2168,133.345,133.345,-1.76957,-72.7644,24.5892
2936,72.5829,72.5829,30.8071,-41.6666,8.61527
3960,161.601,161.601,30.9119,-39.3418,-3.34872
1784,155.204,155.204,27.1392,-42.9076,5.57589
2552,170.86,170.86,16.4685,-44.0423,-5.26642
1528,106.558,106.558,35.8242,-44.1534,8.40967
2040,252.918,252.918,-53.4249,-52.8724,-21.7006
3076,288.314,288.314,23.7953,-30.7677,7.23029
3332,198.821,198.821,39.6702,-47.6994,-4.70252
772,117.049,117.049,20.2734,-46.9289,10.9894
900,115.456,115.456,-19.9338,-59.1249,-14.9118
3972,322.451,322.451,33.3895,-57.7067,-9.90133
68,146.407,146.407,6.32499,-71.9162,11.3705
2372,143.193,143.193,-33.4746,-51.0781,-2.52069
3396,171.736,171.736,-37.5516,-75.4658,-5.06469
1220,184.987,184.987,-32.1511,-65.9603,-23.0119
2756,126.215,126.215,-39.2494,-54.4902,-1.40653
2084,225.171,225.171,25.4699,-51.9257,20.7721
4644,211.739,211.739,21.6449,-67.685,20.6326
2596,263.705,263.705,8.70481,-36.0059,-9.20907
3364,150.562,150.562,-33.0089,-77.7867,-3.20338
676,94.7077,94.7077,11.8942,-50.7329,18.101
2724,143.084,143.084,-10.6768,-67.3027,1.50131
612,137.568,137.568,-23.931,-73.4959,12.1549
2404,241.902,241.902,12.258,-53.6944,24.5734
1252,160.51,160.51,23.4742,-53.0933,-2.44449
4580,201.048,201.048,15.2776,-54.8146,18.5477
1508,141.651,141.651,6.8298,-61.4315,6.9545
996,98.9879,98.9879,-17.7688,-67.3839,-4.98383
20,262.61,262.61,0.536121,-41.1459,10.4166
276,87.2716,87.2716,17.0322,-34.2518,10.6778
3860,165.021,165.021,-19.3864,-48.9958,-19.389
4244,139.075,139.075,8.63603,-77.0176,14.5563
1172,259.222,259.222,19.7859,-62.229,12.9366
1684,186.712,186.712,-14.7451,-66.887,-1.73235
404,150.453,150.453,-20.3247,-40.1257,-23.427
4692,257.434,257.434,37.213,-48.2271,-11.8436
2900,104.461,104.461,-19.4763,-73.3854,10.3139
724,143.741,143.741,-33.219,-82.2016,-15.9882
2772,192.852,192.852,-46.1094,-51.0878,-14.8378
3796,136.558,136.558,-10.6848,-61.9738,6.40528
4052,199.347,199.347,20.3389,-58.3042,7.09819
52,172.394,172.394,-11.2713,-75.955,22.1206
4276,289.659,289.659,35.85,-28.225,-3.50344
2228,141.46,141.46,-28.6781,-72.8364,-6.93082
2740,239.095,239.095,-24.6666,-56.9905,-8.02822
2484,227.294,227.294,-43.8177,-61.8318,-14.4289
1460,171.563,171.563,-23.2369,-35.206,-25.1458
3508,172.777,172.777,-24.8074,-73.771,-13.3112
948,200.174,200.174,15.1366,-34.0739,3.74891
2292,187.476,187.476,-44.2329,-45.8193,-23.0531
2572,216.584,216.584,22.3185,-40.089,-6.12268
268,118.309,118.309,-2.16669,-57.2822,20.443
1164,196.702,196.702,22.72,-47.2994,-6.69705
4492,76.4846,76.4846,20.3366,-54.0993,3.75343
3980,251.941,251.941,0.192353,-48.0706,-2.48384
2636,128.95,128.95,-15.0261,-43.9833,-23.2884
1612,230.704,230.704,-48.0112,-48.7207,-23.508
3660,105.991,105.991,-26.5302,-53.0337,2.13366
204,258.659,258.659,1.97427,-37.3014,0.175014
3276,152.792,152.792,19.4793,-54.009,-0.37031
716,178.003,178.003,36.0887,-47.3459,17.5121
1484,131.036,131.036,1.3362,-57.653,12.1777
1996,152.003,152.003,-38.169,-55.1869,-17.0803
44,120.111,120.111,-18.7876,-62.6499,4.43519
2220,294.592,294.592,-43.7771,-76.3688,-25.9623
684,176.839,176.839,-14.7011,-71.9118,8.02992
4524,237.822,237.822,17.2499,-67.4456,15.7053
1452,99.7298,99.7298,22.1441,-37.388,12.5324
1964,118.882,118.882,2.36487,-66.5985,19.3344
4012,191.211,191.211,26.9686,-34.1601,-4.25738
4204,95.3381,95.3381,28.0058,-36.8165,12.4272
