Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
2560,440.61,440.61,17.1773,-37.418,22.6141
4224,69.4247,69.4247,14.8757,-48.396,9.78858
2176,89.5399,89.5399,-17.3745,-57.6731,6.96157
640,120.239,120.239,-42.6623,-71.9267,-9.87021
2688,204.515,204.515,39.5303,-37.6868,9.70294
896,130.145,130.145,-23.1182,-73.6968,-8.58061
2944,171.662,171.662,24.2944,-58.3046,1.02442
2112,144.608,144.608,-31.8619,-48.9228,-27.7683
1088,114.373,114.373,-18.1047,-79.8214,1.01347
4672,145.278,145.278,-50.4991,-44.5412,-17.7314
320,297.438,297.438,-0.843468,-41.3179,2.24743
192,419.929,419.929,20.6324,-29.8468,15.8759
3776,252.614,252.614,48.7881,-54.2326,5.65925
4032,73.9995,73.9995,35.6679,-41.5553,8.91995
4640,65.2302,65.2302,17.9402,-50.8567,11.5015
800,96.2948,96.2948,26.0884,-57.036,3.2728
160,133.602,133.602,-14.1133,-61.4023,3.59204
1184,83.1939,83.1939,27.3913,-45.4498,-5.43316
3232,222.823,222.823,3.64517,-52.3014,9.64017
3744,71.6171,71.6171,-11.9437,-68.0541,5.78887
4512,49.911,49.911,-18.0021,-61.4872,9.73146
3488,43.3412,43.3412,31.088,-46.6352,-3.05249
928,330.325,330.325,7.46681,-32.9638,14.394
2976,62.775,62.775,15.2625,-50.8021,6.05589
608,335.137,335.137,31.139,-25.0308,7.12944
2912,59.1622,59.1622,-19.7368,-71.7169,-6.54412
3808,295.45,295.45,-0.316234,-53.2004,0.844155
3552,272.525,272.525,33.5649,-47.251,-6.85308
16,30.4324,30.4324,-13.379,-62.3062,13.1906
4112,103.947,103.947,22.4366,-46.4705,6.8484
2576,120.962,120.962,-33.6828,-40.0272,-16.5932
2832,113.28,113.28,-21.4322,-54.878,0.442771
1808,63.8469,63.8469,-27.0022,-46.6834,-13.2232
1168,119.909,119.909,-31.2209,-58.111,2.59759
3216,158.42,158.42,23.4963,-58.6987,13.7881
2448,156.71,156.71,-28.0407,-60.4072,0.425615
1936,58.168,58.168,43.98,-42.1163,10.1964
80,165.248,165.248,13.4556,-64.8993,14.3978
3664,144.75,144.75,-27.2537,-66.2862,-25.0288
1360,140.429,140.429,26.5673,-39.4626,13.6625
208,311.877,311.877,7.34654,-50.7849,23.2507
4560,75.6633,75.6633,-7.66841,-59.7501,9.55695
3536,142.682,142.682,29.9125,-43.1178,24.7619
2000,192.851,192.851,9.19013,-71.3977,16.3566
4048,156.034,156.034,-27.9654,-78.9308,-17.7538
3120,67.3574,67.3574,-18.2528,-66.7407,1.20997
4656,87.5592,87.5592,-21.3955,-81.267,6.24553
3632,113.639,113.639,-1.43071,-60.7356,13.7052
3888,62.2129,62.2129,12.6577,-58.7219,13.7508
1712,122.8,122.8,-27.3449,-74.4952,-2.84116
1136,96.1021,96.1021,15.8848,-42.344,13.2946
