Label, Parent Label
2560,1
4224,6
2176,7
640,7
2688,4
896,7
2944,2
2112,9
1088,7
4672,9
320,1
192,1
3776,5
4032,5
4640,6
800,3
160,7
1184,3
3232,6
3744,7
4512,7
3488,4
928,1
2976,6
608,1
2912,7
3808,1
3552,3
16,7
4112,5
2576,9
2832,7
1808,7
1168,7
3216,2
2448,7
1936,5
80,10
3664,9
1360,3
208,1
4560,7
3536,1
2000,7
4048,9
3120,7
4656,7
3632,7
3888,6
1712,7
1136,6
3184,6
240,7
1264,7
3568,6
2032,9
4080,7
3208,7
2952,7
1928,3
2120,5
2376,6
2888,7
4296,7
968,7
2088,7
296,7
680,9
3752,7
2984,1
4200,7
872,4
2920,1
232,9
4072,9
536,6
2584,7
2328,7
3352,3
152,9
1688,6
408,4
3160,7
4696,7
3416,3
1880,7
4312,3
4568,9
2520,7
1496,1
2616,3
3640,3
312,7
2360,7
824,9
2872,10
1208,3
2168,7
2936,5
3960,3
1784,5
2552,2
1528,5
2040,9
3076,2
3332,4
772,6
900,7
3972,1
68,7
2372,7
3396,7
1220,9
2756,7
2084,2
4644,1
2596,1
3364,7
676,6
2724,7
612,7
2404,1
1252,2
4580,10
1508,6
996,7
20,1
276,6
3860,9
4244,7
1172,10
1684,7
404,9
4692,1
2900,7
724,9
2772,9
3796,7
4052,2
52,7
4276,1
2228,7
2740,7
2484,7
1460,9
3508,7
948,6
2292,9
2572,2
268,7
1164,2
4492,6
3980,1
2636,9
1612,9
3660,7
204,1
3276,2
716,4
1484,7
1996,9
44,7
2220,9
684,7
4524,10
1452,3
1964,7
4012,2
4204,3
2156,7
1132,7
492,9
2028,7
1052,7
3612,7
284,5
3356,7
156,6
2204,1
3228,4
1436,4
3996,9
2652,9
4316,2
1244,6
476,7
3548,4
572,3
4412,7
1212,7
3516,4
3004,7
2172,9
2684,5
380,7
4476,7
252,1
3324,7
2812,1
4604,4
3068,9
1026,7
4610,7
2306,5
2178,10
1666,7
2370,9
834,1
2242,7
1218,7
706,6
3778,5
4034,9
2082,6
4642,7
1570,9
1314,7
802,7
1698,7
4002,9
4194,7
1634,9
3682,5
866,1
3810,9
4578,1
1506,1
4066,2
3090,6
2578,1
274,3
1298,2
402,7
1426,1
2130,7
1106,5
1874,2
722,3
3794,6
50,7
4658,2
1586,7
3378,9
3250,1
4530,1
2994,7
114,9
1650,9
1394,5
2290,1
3314,4
3826,6
4594,7
2546,7
2570,9
1290,10
3338,9
2186,7
1418,2
3978,1
4682,7
3402,9
1866,1
1738,6
3018,7
3114,7
3370,2
3882,9
1194,7
4522,5
2474,7
3498,6
4202,7
4714,7
362,7
1002,9
3050,1
26,7
3354,7
2842,9
4506,9
2458,6
3994,7
4314,6
3290,7
730,7
474,7
1498,7
3546,6
570,7
4410,5
186,5
2746,7
3770,2
954,1
3194,9
1658,9
890,7
2298,9
2554,6
1530,7
3578,9
1018,1
2042,10
3078,1
2310,1
1286,9
4230,7
390,9
2950,6
3974,9
326,9
1350,1
4550,5
38,5
3110,7
550,7
678,7
422,6
2470,9
4454,6
3430,7
1894,7
2534,1
3046,5
4118,7
1558,7
3350,7
1814,7
3862,1
3478,7
2646,10
4438,7
1366,9
854,9
1238,1
3286,7
726,7
470,9
982,2
2614,7
1590,9
438,7
1142,3
3190,5
630,7
4726,6
758,7
4622,7
3342,5
2830,7
4238,3
4750,7
2446,7
910,7
78,1
3662,10
2894,2
4558,7
1486,10
3022,7
3118,5
4654,6
1582,9
3630,7
302,9
814,7
1710,7
2478,7
110,9
3694,9
4462,1
2798,7
4638,7
3614,4
4382,4
1822,6
158,4
414,7
4510,1
4190,2
3166,7
2270,4
4574,4
1598,3
3646,7
318,7
1342,3
3390,7
446,9
4542,7
4478,3
254,2
2302,7
766,6
3070,6
3073,7
3841,2
2689,1
1665,2
1409,7
2945,7
1089,7
1601,6
2369,7
4289,1
961,1
1057,7
1569,5
2337,9
1313,1
161,7
673,7
3745,1
4513,7
