Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
1792,105.352,105.352,-48.953,-16.1121,2.28678
4224,149.383,149.383,19.9676,20.854,4.15543
2176,136.759,136.759,-38.1359,-6.53328,16.0368
3968,77.1376,77.1376,10.4204,19.0287,8.69384
4160,127.671,127.671,18.819,20.5608,11.7062
2112,97.8335,97.8335,-40.5811,-15.6782,-12.6549
2880,137.37,137.37,-19.1424,-7.11386,14.1124
4288,299.653,299.653,24.7562,13.2882,10.7188
3264,203.996,203.996,-9.37336,-7.39972,5.11851
3776,85.212,85.212,4.00044,24.4743,14.2889
2592,111.406,111.406,-28.6323,-25.9784,-10.9601
3744,95.0331,95.0331,2.92847,9.17457,12.3616
2464,178.145,178.145,-29.6266,1.57789,19.622
3488,117.004,117.004,-3.17105,7.58343,-0.500328
2144,186.19,186.19,-39.7737,-20.5008,-12.5888
3424,143.111,143.111,-5.68182,27.5396,15.5067
4320,202.913,202.913,25.363,16.8456,14.246
2016,145.352,145.352,-41.8264,-16.9923,-18.3956
4064,118.299,118.299,15.0293,13.3077,8.39658
2064,26.3196,26.3196,-43.6524,-17.1177,-7.43327
2576,93.1113,93.1113,-29.5212,-20.6643,-0.972377
3344,64.2231,64.2231,-9.55084,12.3155,0.110981
2192,129.788,129.788,-38.3684,3.4315,12.1884
3984,300.348,300.348,14.5187,-0.261347,12.5782
3664,180.256,180.256,1.74921,19.4386,-5.25725
3376,116.701,116.701,-6.76099,8.41764,-3.79671
3888,159.205,159.205,9.57512,25.761,2.11955
3504,55.1441,55.1441,-4.53171,14.8942,12.1976
4016,90.2984,90.2984,12.8288,22.9063,11.6622
4208,275.051,275.051,21.0943,16.5257,13.8245
3696,156.635,156.635,2.90142,21.7218,-1.6505
2416,124.07,124.07,-33.4562,-23.0499,-12.0403
3952,92.6446,92.6446,10.5338,23.7277,5.10261
2056,107.78,107.78,-41.3796,-29.4749,-2.08901
2568,83.5982,83.5982,-29.637,-21.8065,-3.65006
2824,160.671,160.671,-21.7057,0.526738,3.57328
2696,103.701,103.701,-26.6173,-21.5807,-15.6156
1928,94.0443,94.0443,-45.2791,-13.9149,-7.10216
3400,115.707,115.707,-5.84189,-0.553444,-1.8647
2888,119.596,119.596,-19.9878,8.6177,14.7004
3528,128.797,128.797,-3.4256,18.8334,6.89299
3016,222.438,222.438,-16.3628,24.1221,5.84266
4040,260.699,260.699,17.1132,8.3163,18.5479
3624,82.835,82.835,-1.43999,15.679,3.46946
3880,295.738,295.738,10.4267,7.51197,-14.2415
1960,107.06,107.06,-44.6192,-20.6549,-12.5552
2152,119.463,119.463,-39.5198,-1.29924,0.512436
3688,168.346,168.346,4.89693,10.4958,19.6593
3432,106.193,106.193,-6.0875,19.4168,10.6517
1896,102.793,102.793,-46.1456,-5.79862,-0.794514
2792,185.648,185.648,-22.7881,5.85176,13.7032
3816,126.439,126.439,5.58624,13.2877,1.47991
3560,317.774,317.774,1.13,-9.1227,-3.43101
3048,97.2398,97.2398,-20.652,3.98459,10.0647
4120,243.437,243.437,17.9083,19.7816,-5.62724
3608,102.748,102.748,0.639534,24.4494,19.7016
2328,123.045,123.045,-34.9992,-4.57977,-2.53651
3224,209.496,209.496,-11.8553,23.8451,9.95752
3992,199.563,199.563,14.4965,34.1299,-5.63953
4184,126.146,126.146,18.545,24.0567,4.55708
1624,131.958,131.958,-53.2411,-23.6346,-14.2014
3672,99.9852,99.9852,0.358586,17.4274,5.00539
3928,148.996,148.996,10.9148,5.49879,-1.46374
3288,206.671,206.671,-8.07928,-8.847,-5.33255
3800,105.906,105.906,5.46631,6.16807,-4.96975
2104,120.57,120.57,-41.0469,-35.0569,-9.77185
2616,99.7566,99.7566,-28.3927,-20.8664,-13.6765
3640,67.555,67.555,-0.400489,11.8059,-3.11077
3896,145.861,145.861,8.54933,11.4002,5.8261
3768,263.262,263.262,5.38419,-4.03157,-9.23724
2168,69.2165,69.2165,-40.6,-24.6746,-0.930024
3192,145.04,145.04,-11.73,6.87115,-1.32306
2680,104.811,104.811,-26.371,-7.08866,7.16594
3704,113.062,113.062,1.65403,21.3459,7.23921
2424,129.449,129.449,-32.3345,-6.40581,14.386
2296,98.5368,98.5368,-37.3477,-20.8981,-13.2953
3320,138.031,138.031,-8.54331,19.5968,-7.28441
3832,111.722,111.722,6.05637,13.2074,16.7767
2308,28.4385,28.4385,-37.4434,-22.2574,-11.4651
3844,113.086,113.086,7.24076,18.8682,11.5473
3716,102.718,102.718,2.47889,4.52719,5.54879
3972,283.018,283.018,13.7539,29.7006,-10.5139
3652,240.132,240.132,0.879314,-6.31958,-9.17508
2372,101.574,101.574,-34.5297,-23.7605,-4.3011
2500,104.973,104.973,-31.351,9.67175,13.229
4132,130.827,130.827,17.6443,17.0443,10.0521
2340,10.8584,10.8584,-36.9621,-19.3872,-6.70895
3876,369.017,369.017,11.2296,4.66086,12.1765
2212,120.077,120.077,-37.3741,-13.1575,-15.0506
2468,86.5396,86.5396,-31.783,-21.2454,5.08314
4004,134.354,134.354,13.2156,19.6876,16.7729
2404,186.162,186.162,-32.8086,-19.434,-17.5058
3428,103.078,103.078,-4.43065,14.2017,23.5139
2276,169.041,169.041,-35.3564,-1.84866,13.3178
1764,78.6837,78.6837,-49.5783,-13.7983,-11.6797
3812,155.483,155.483,6.15914,18.5628,15.5061
3044,126.14,126.14,-14.9951,0.485739,7.24104
1556,100.461,100.461,-55.7824,-13.8682,-22.2258
2324,100.19,100.19,-35.8604,-37.0283,-12.108
3348,309.201,309.201,-5.16812,-9.68227,1.36047
1812,159.185,159.185,-47.8328,-25.7458,-12.7611
3476,82.173,82.173,-4.08284,13.1283,-4.85015
3988,211.093,211.093,12.8138,16.7394,8.54384
2132,93.1532,93.1532,-39.7126,-21.0247,8.20961
3668,172.42,172.42,2.07036,3.73467,-7.97236
3412,100.698,100.698,-6.111,22.8444,13.6766
3924,51.8233,51.8233,9.26842,21.3895,1.05148
2004,198.813,198.813,-42.2711,-24.001,-14.3473
1844,120.54,120.54,-47.2204,-22.9069,0.372525
2996,179.943,179.943,-16.6554,11.4305,0.645478
2420,162.178,162.178,-32.1843,-16.5827,13.1356
2036,104.434,104.434,-43.288,-31.6842,-11.0333
4108,115.036,115.036,15.8284,28.7791,12.837
3340,361.965,361.965,-5.17514,21.6721,-14.3811
3724,69.5909,69.5909,2.5533,20.5653,11.7207
3468,96.872,96.872,-4.2498,10.4321,-10.7135
2124,78.1264,78.1264,-41.6599,-23.9018,-9.08959
3148,179.857,179.857,-12.5616,9.8315,-14.9694
3660,93.8894,93.8894,1.07396,14.6669,-7.17257
2380,124.608,124.608,-35.4774,-14.466,-1.7959
3404,81.7494,81.7494,-6.00024,10.3134,-1.50456
2892,186.4,186.4,-19.2187,13.4877,8.14948
2252,151.676,151.676,-37.4609,-21.9255,-6.38682
