Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
1792,88.9934,88.9934,-48.9859,-16.0848,2.28868
4224,126.026,126.026,19.9568,20.8081,4.17118
2176,129.823,129.823,-38.1526,-6.55286,16.0565
3968,45.6653,45.6653,10.4204,19.0569,8.71737
4160,107.628,107.628,18.9088,20.6032,11.6832
2112,66.2322,66.2322,-40.5964,-15.7186,-12.726
2880,125.797,125.797,-19.1268,-7.13037,14.1242
4288,358.145,358.145,24.819,13.2587,10.5824
3264,226.29,226.29,-9.37452,-7.42777,5.17698
3776,56.9317,56.9317,4.01884,24.449,14.3144
2592,92.8236,92.8236,-28.6171,-25.9801,-10.968
3744,60.9779,60.9779,2.94361,9.12435,12.3028
2464,184.496,184.496,-29.6261,1.54516,19.6625
3488,97.4575,97.4575,-3.13974,7.59866,-0.557613
2144,129.491,129.491,-39.8078,-20.586,-12.6685
3424,132.208,132.208,-5.7317,27.5326,15.5606
4320,200.691,200.691,25.4364,16.8352,14.2567
2016,113.263,113.263,-41.7466,-16.9627,-18.3985
4064,93.9295,93.9295,15.063,13.3111,8.3306
2064,9.16334,9.16334,-43.6841,-17.108,-7.42278
2576,71.0622,71.0622,-29.5232,-20.7004,-0.970309
3344,37.8712,37.8712,-9.5357,12.3283,0.122942
2192,120.751,120.751,-38.3886,3.43643,12.2171
3984,378.831,378.831,14.531,-0.304096,12.5997
3664,168.162,168.162,1.76524,19.5001,-5.34966
3376,92.2558,92.2558,-6.90242,8.35739,-3.8364
3888,121.911,121.911,9.52258,25.741,2.02753
3504,31.3989,31.3989,-4.54595,14.8862,12.2208
4016,57.8784,57.8784,12.8443,22.9185,11.6973
4208,316.915,316.915,21.0298,16.5714,13.955
3696,144.482,144.482,2.9204,21.7396,-1.62702
2416,112.514,112.514,-33.4976,-23.0472,-12.1251
3952,63.4516,63.4516,10.4719,23.7407,5.12965
2056,92.0038,92.0038,-41.3889,-29.4834,-2.01357
2568,57.2706,57.2706,-29.6174,-21.7828,-3.68827
2824,166.582,166.582,-21.7127,0.520226,3.58543
2696,69.4821,69.4821,-26.5831,-21.7133,-15.6105
1928,70.8187,70.8187,-45.2718,-13.9217,-7.05344
3400,106.22,106.22,-5.82151,-0.526434,-1.87871
2888,98.654,98.654,-19.9877,8.64351,14.7049
3528,104.158,104.158,-3.51271,18.7384,6.72241
3016,246.969,246.969,-16.3549,24.1284,5.88261
4040,305.212,305.212,17.233,8.20792,18.4234
3624,47.3766,47.3766,-1.51536,15.6499,3.30027
3880,411.743,411.743,10.4754,7.51667,-14.3218
1960,70.4991,70.4991,-44.6578,-20.6974,-12.6589
2152,106.519,106.519,-39.5215,-1.26542,0.500842
3688,160.534,160.534,4.91818,10.4821,19.6814
3432,83.6989,83.6989,-6.14047,19.4702,10.6868
1896,82.2516,82.2516,-46.1572,-5.77715,-0.83016
2792,195.119,195.119,-22.8887,5.83815,13.7496
3816,107.763,107.763,5.56882,13.2414,1.45993
3560,424.254,424.254,1.1181,-9.1158,-3.47783
3048,44.0688,44.0688,-20.3735,4.12316,9.87521
4120,266.38,266.38,17.9773,19.6864,-5.56648
3608,77.9846,77.9846,0.627471,24.4904,19.7027
2328,100.873,100.873,-34.9843,-4.59495,-2.63718
3224,182.989,182.989,-11.8616,23.97,9.93437
3992,221.805,221.805,14.4826,34.2071,-5.6208
4184,96.5778,96.5778,18.5935,24.1829,4.68791
1624,120.3,120.3,-53.2737,-23.612,-14.1443
3672,60.4322,60.4322,0.366757,17.4085,5.01295
3928,129.852,129.852,10.9633,5.39789,-1.54994
3288,233.384,233.384,-8.15163,-8.94816,-5.30598
3800,84.0844,84.0844,5.47577,6.11555,-4.97759
2104,104.77,104.77,-41.0897,-35.0594,-9.76882
2616,74.8527,74.8527,-28.3911,-20.8755,-13.6998
3640,40.6343,40.6343,-0.428259,11.777,-3.07683
3896,127.453,127.453,8.55795,11.3081,5.73391
3768,341.156,341.156,5.4669,-4.07802,-9.29402
2168,32.6844,32.6844,-40.6069,-24.7903,-1.15822
3192,128.034,128.034,-11.8053,6.95415,-1.23913
2680,86.8563,86.8563,-26.3867,-7.10635,7.18153
3704,70.7124,70.7124,1.59445,21.3048,7.1961
2424,113.702,113.702,-32.2996,-6.40401,14.4049
2296,50.1434,50.1434,-37.3417,-20.9206,-13.2693
3320,120.792,120.792,-8.51129,19.6197,-7.35957
3832,82.4366,82.4366,6.0548,13.2007,16.7515
2308,10.2315,10.2315,-37.4345,-22.2656,-11.4597
3844,81.4557,81.4557,7.23165,18.8981,11.5281
3716,71.8294,71.8294,2.5479,4.59417,5.57394
3972,333.109,333.109,13.7794,29.7439,-10.5882
3652,285.424,285.424,0.871027,-6.40675,-9.24435
2372,78.9767,78.9767,-34.504,-23.7374,-4.26503
2500,87.3759,87.3759,-31.3698,9.68597,13.2184
4132,111.63,111.63,17.6277,17.0139,10.0004
2340,1.99144,1.99144,-36.9633,-19.4617,-6.87571
3876,489.099,489.099,11.2438,4.69137,12.1872
